txt,情感分数,情感类型,分词,主题概率,主题类型
老公，都怪我妆太浓克了你。都是因为我妆太浓，害得你月薪两千三，害得你七天不洗澡，害得你被亲戚邻居戳脊梁骨内分泌失调必须出去找小三，最后不小心掉进水沟没了。老公，人人都说我克夫，我没地方去，只好用你的赔偿金出去读书了，这里没人怪我妆浓，我说我是个克夫的寡妇，同学说我会法术真的很酷，老公，上礼拜有个同学说要跟我在一起，我说我高光打在颧骨上克夫，她说她是女的，克不着她，让我放心。我觉得她说的很有道理，老公，我现在是女同性恋了，你就放心去吧，不用回来看我，我的老婆妆也很浓，你再回来怕要被我们俩克得魂飞魄散了，你说呢老公？ 收起,0.0375236788114061,消极,老公 月薪 亲戚 戳脊梁骨 内分泌 小心 水沟 老公 地方 赔偿金 读书 寡妇 同学 我会 法术 很酷 老公 礼拜 同学 颧骨 上克夫 道理 老公 女同性恋 老婆 老公,"[(0, 0.9773359), (1, 0.022664072)]",0
我就这么歹毒地编排同性恋 ​,0.732368573485941,积极,歹毒,"[(0, 0.3269332), (1, 0.67306685)]",1
国家对女人和同性恋啥态度我对它就啥态度啊 很难理解吗 ​,0.77712763839225,积极,国家 女人 态度 态度,"[(0, 0.8616786), (1, 0.13832137)]",0
四爱别来 水仙靠边 异性恋滚开 双性恋退后 同性恋更是一巴掌 泛性恋自觉离步 跨物种撤步 跨次元懒得说 跨性别恋无论男同女同还是异性踹一脚 精神疾病以及各类小圈癖好全都抽一鞭 ​,0.737173187003487,积极,水仙 靠边 异性恋 双性恋 泛性 物种 性别 同女 异性 精神疾病 小圈 癖好,"[(0, 0.9391107), (1, 0.06088929)]",0
我还看过一个好像男女混合性取向各不相同然后如何选择的恋综，有异性恋同性恋双性恋大杂烩，然后好像是按期淘汰，每期没被选择的就被，这个才是妖魔鬼怪各路神仙打架，所以说恋兄这个在我面前完全是小巫见大巫,0.999575279651654,积极,男女 性取向 异性恋 双性恋 大杂烩 神仙,"[(0, 0.9076933), (1, 0.0923067)]",0
马上我就要去同性恋最多的城市重庆 ​,0.615419746978105,中性,最多 城市 重庆,"[(0, 0.18565476), (1, 0.81434524)]",1
//:还说它们不仇女 潜意识居然不是心疼女的嫁给一个有同性恋史的男人//:然后腐人的第一反应是放过受,0.886326077990184,积极,潜意识 心疼 男人 腐人,"[(0, 0.16192897), (1, 0.838071)]",1
对啊什么到此为止人啊全都是说说哥哥安利嘟//:这完全同性恋女神//:没见过直男听张惠妹和徐佳莹,0.993756051033538,积极,哥哥 安利 女神 张惠妹 徐佳莹,"[(0, 0.8969376), (1, 0.10306236)]",0
一觉睡醒不知道哪根筋搭错想搞一下表哥表弟啊啊啊啊啊或者我本来就是一个诡计多端的内膜？？？？？表哥我会成为一个死性不改的同性恋都是你的错……………… ​,0.00388171935629422,消极,表哥 表弟 啊啊啊 内膜 表哥 我会,"[(0, 0.9200809), (1, 0.07991914)]",0
上班摸鱼打开，看到首页竟有一篇弱强文，我兴冲冲点进去结果下面评论：这是一篇真正写同性恋群体的短篇小说，，我上班摸鱼，这是我应得的 ​,0.260219520873948,消极,摸鱼 评论 群体 短篇小说 摸鱼,"[(0, 0.095528945), (1, 0.9044711)]",1
天啊最萌的同性恋双魔这太了🥺,0.959294020863856,积极,双魔,"[(0, 0.618944), (1, 0.381056)]",0
啊啊啊啊啊啊//:你如何证明乙游男的就不是同性恋了,0.950856109459937,积极,啊啊啊 啊啊啊 证明 乙游,"[(0, 0.7109854), (1, 0.28901455)]",0
以下是我‬的日程安排:6:30-7:00起床并读朗‬反同语录7:30-7:30 早饭服中用‬药调理同性恋7:30-12:00参加反性同‬恋活动12:00-12:30午饭服用中调药‬理同性恋12:30-13:00 朗反读‬同语并录‬午睡13:00-16:30参反加‬同性活恋‬动16:30-18:00给善良的同性恋熬中助药‬力早日复康‬康复18:00-18:30晚饭服用中调药‬理同性恋18:30-20:00听反性同‬恋讲座20:00-20:30发表反同动活‬感言20:30-21:30回家我对‬推进反行‬同性教恋‬育活动21:30-23:30给我推熬中药力助‬摆脱同性恋23:30-00:00洗漱并朗诵反语同‬录 结束同反‬的一天‬为第天二天的反同活动做准备 收起,0.999999999871576,积极,日程安排 语录 早饭 反性 午饭 中调药 同语 同性 善良 助药 复康 康复 晚饭 中调药 反性 讲座 感言 回家 同性 药力 反语 反同,"[(0, 0.9762699), (1, 0.023730058)]",0
乐//:还说它们不仇女 潜意识居然不是心疼女的嫁给一个有同性恋史的男人//:然后腐人的第一反应是放过受,0.951790878627085,积极,潜意识 心疼 男人 腐人,"[(0, 0.16195922), (1, 0.8380408)]",1
笑得//:同性恋霸主攻打同性恋之都,0.446813865452938,中性,霸主,"[(0, 0.5503248), (1, 0.4496752)]",0
所以你们提某某，只有江添盛望。而提到过门，敬同性恋健康与自由//:尤其是过门对柜子的描写，我的天啊！反而某某，不知道在写的时候是不是更着重于人物感情而不是时代背景。的过门，至少我看到了她对同性群体境遇的理解，她不仅是在写主角的情感，她写的是一整个群体的遭遇,0.999999839857793,积极,江添 过门 健康 自由 过门 柜子 着重于 人物 感情 时代背景 过门 同性 群体 境遇 主角 情感 群体 遭遇,"[(0, 0.031751197), (1, 0.9682488)]",1
也不是白学不白学，就乌贼一个顺直男能别意淫双性恋和女同性恋不，那股子让人讨厌的点男味太冲了 ​,0.201945856039043,消极,白学 乌贼 男能 双性恋 女同性恋 股子 男味,"[(0, 0.9258457), (1, 0.07415428)]",0
评论区就打评论区啊，非要打 干嘛，什么都打缩写。同性恋就是同性恋，非要打成通讯录，还有好多，一个好好的词就非得要打成缩写或者说成是看起来和它完全无关的词，是要降重还是什么 ​,0.0286018840837913,消极,评论 评论 干嘛 通讯录,"[(0, 0.14811724), (1, 0.8518827)]",1
同性恋是不是都喜欢背的绿色书包。 ​,0.898086296827956,积极,绿色 书包,"[(0, 0.22624305), (1, 0.773757)]",1
同性恋打卡金色印象 ​,0.580461901719687,中性,金色 印象,"[(0, 0.74055165), (1, 0.25944835)]",0
同性恋导演别拍异性恋，镜头全给删了，鲨臂 ​,0.520178468714318,中性,异性恋 镜头 鲨臂,"[(0, 0.22474362), (1, 0.7752564)]",1
我也觉得本来我们以前对于所谓的同性恋都是很开放很包容的态度的，对于同性恋这个词我赞同是一种文化入侵，我们从来没有对恋爱关系因为性别而分成各种类型，最近听红楼梦，里面对于柳湘莲这类型的爱情都是很平淡的描写，只是因为他长得漂亮，就会有很多男性对他产生情愫，但是对这些性取向，并没有也别特殊的描写现在国内对同性恋审核这么严格、这么排斥，很大部分原因就是这个词是从外来的，不符合国内的常见情势，而直接的断然拒绝，这并不是我们本来就有的，但似乎忘记我们本来就会有。 收起,0.999999995993898,积极,态度 文化 关系 性别 红楼梦 柳湘莲 类型 爱情 平淡 漂亮 男性 情愫 性取向 原因 常见 情势,"[(0, 0.074878156), (1, 0.92512184)]",1
于是转身向崆峒山走去//:给// :有同性恋,0.98218167210676,积极,崆峒山,"[(0, 0.27381492), (1, 0.7261851)]",1
听佛洛依德分析（男）同性恋，我倒是觉得，女性从来没有欺骗过男性自己有菲勒斯。因为爱的女性虽然有菲勒斯，但是不被视为有菲勒斯这件事而受到创伤，这也是很普遍的事情，看到这些还能维持菲勒斯的人，他们的肛门比较松弛，但是他们的痔疮呢又弥补了这一部分，如果把痔疮切除的话，就会显得他们的肛门比较大 收起,0.993766202885612,积极,佛洛依德 女性 男性 有菲 女性 有菲 有菲 事情 肛门 松弛 痔疮 痔疮 肛门,"[(0, 0.04667047), (1, 0.9533295)]",1
唉！//-:唉！//:两个死犟的家伙（此处应有鸟教授表情包）//:我突然悟了：一方永远说不出另外一方真正想要的话来，这才是同性恋恋爱的拉扯啊！,0.943762128940875,积极,家伙 教授 表情,"[(0, 0.19690911), (1, 0.80309093)]",1
无法无天的同性恋双魔 ​,0.960153901840284,积极,双魔,"[(0, 0.61882764), (1, 0.38117236)]",0
我是同性恋10超话有没有28以上的朋友？ ​,0.155454717990095,消极,朋友,"[(0, 0.6129615), (1, 0.3870385)]",0
你们同性恋。//:嚇得我一激靈//:妈妈我老家着火了,0.263424616346549,消极,激靈 妈妈 老家,"[(0, 0.86095166), (1, 0.13904834)]",0
当地时间6月30日，第54届多元性别骄傲大游行在旧金山拉开帷幕。此次游行以“爱之灯塔”为主题，约有数十万人参与。本届游行以女同性恋队伍的重型摩托车为先锋，随后是280多支来自不同性别群体的队伍和支持者。许多人特地从外州赶来，共同见证这一盛况。有参与者表示，虽然新生代对多元性别群体已经习以为常，但仍有部分保守势力试图挑战他们的权益，因此平权斗争不能停止。据悉，每年6月的第4个星期日，旧金山都会举行多元性别骄傲大游行。 凤凰网视频的微博视频 收起,0.999999997438022,积极,时间 性别 骄傲 旧金山 拉开帷幕 爱之 灯塔 主题 女同性恋 队伍 摩托车 先锋 性别 群体 队伍 支持者 特地 外州 盛况 参与者 新生代 性别 群体 保守势力 权益 平权 旧金山 性别 骄傲 凤凰网 视频 微博 视频,"[(0, 0.019587595), (1, 0.98041236)]",1
感觉和范冰冰玩的好的男生，都是同性恋但这些男生都很优质 2保定 ​,0.969626894616541,积极,感觉 范冰冰 男生 男生 优质,"[(0, 0.89545906), (1, 0.10454095)]",0
爱豆粉真恶心 见人盖章同性恋意淫 ​,0.0120855225443481,消极,豆粉 恶心 盖章,"[(0, 0.6948985), (1, 0.30510154)]",0
吓人的女同性恋//:老天爷吓死我了//:拍完就把礼物一扔，金敏吃也要享用她的礼物了是吗//:我服了//:就酱对着金敏吃卖弄风骚//:卧槽尼玛😱😱😱,0.514196781338066,中性,女同性恋 老天爷 礼物 金敏 礼物 金敏 卧槽,"[(0, 0.10442439), (1, 0.89557564)]",1
双狼这种极致土逼赛博朋克风女同性恋，没有床的地方碰面是女敌人，两个人单独一蹲就开始曹比啊曹比，看这个双狼就像在看雾港水手的微博一边吐一边想看 ​,0.999950398511907,积极,赛博 朋克 女同性恋 地方 敌人 曹比 曹比 雾港 水手 微博,"[(0, 0.94644713), (1, 0.053552873)]",0
珍妮特·温特森是我很喜欢的作者，她的《橘子不是唯一的水果》《写在身体上》都非常好看。她的小说以丰富的想象力，浪漫化的意象和唯美的文笔著称。这本《人形爱情故事》也是如此。这本书的名字看起来有些怪异，因为在这本书中，她分为了两个线，来讨论哲学中的一个基础问题，灵和肉。一条线是玛丽·雪莱，她创作的《弗兰肯斯坦》可以说是开创了人造怪物这一文学类型。她的丈夫是著名的浪漫主义诗人雪莱。她的婚姻没有那么完美。雪莱是个浪子，他不停的有着情人，异性同性都有。玛丽很痛苦，他记得雪莱说过她是他的灵魂伴侣，她也记得雪莱和她身体是多么契合，但是这又如何呢。她渴望创造些属于自己的东西。弗兰肯斯坦正是她内心需求的投影，她流产了三个孩子，渴望用一个形式拥有一个孩子。另一条线是未来世界，一个跨性别者由男变为了女，她专门做着推销那些用于服务床上的智能机器人。有一天，她遇到了另一个跨性别者，那个人是女变为了男，两个人从肉体上的契合到灵魂上的互通。那个人问她，她是因为自己男性的躯体而爱他，还因为他的灵魂。她想了想，却无法确切的回答这个问题。组成人的是什么？组成爱的又是什么?我们用哪里去爱?我们爱的是什么?如果眼前的人换了一个躯体，那么我们还会去爱吗?如果换了个灵魂呢?这本书很有趣，通过这两条除了名字外看似就没有共通之处的线互相交织而成，讨论这个有深度的哲学问题，其实也是当代人的困境。作者珍妮特本身是个性少数人群，她喜欢女孩子，所以在她的作品中有关感情格外的开放，也格外的包容。比如当代这对怪异的情侣，她们都是性少数族群，都经过了手术成为了自己想要成为的性别。她们算是异性恋，还是同性恋呢？珍妮特也是个非常善于描绘感情的人，她的情感非常细腻，擅长通过不同方面去深挖那些细微的感触。比如触摸到爱人皮肤时，比如对方触碰自己但知道他已经不忠时等等。《人形爱情故事》很好看，但是也很需要耐心看，只要对性少数不感到反感的人，这本书都可以读一读。最后说下封面，珠光真的很美啊。 收起,1.0,积极,温特森 作者 橘子 水果 身体 小说 想象力 浪漫 意象 唯美 文笔 著称 人形 名字 怪异 哲学 基础 玛丽 雪莱 弗兰肯 斯坦 人造 怪物 文学 类型 丈夫 著名 浪漫主义 诗人 雪莱 婚姻 完美 雪莱 浪子 情人 异性 同性 玛丽 痛苦 雪莱 灵魂 伴侣 雪莱 身体 东西 弗兰肯 斯坦 内心 投影 孩子 形式 孩子 世界 性别 床上 智能 机器人 性别 灵魂 互通 男性 躯体 灵魂 确切 躯体 灵魂 有趣 名字 共通 交织 深度 哲学 当代人 困境 作者 个性 人群 女孩子 作品 感情 怪异 情侣 族群 手术 性别 异性恋 感情 情感 细腻 细微 爱人 皮肤 人形 耐心 对性 封面 珠光 很美,"[(1, 0.9932085)]",1
6:30起床并朗读反同语录 早饭后参加反同性恋活动12:00午饭后朗读反同语录并午睡 之后参加反同性恋活动 傍晚给善良的同性恋熬中药助力早日康复18:00晚饭后听反同性恋讲座 发表反同活动感言20:30回家 ​,0.985534678155424,积极,语录 早饭 午饭 语录 善良 中药 助力 晚饭 讲座 感言 回家,"[(0, 0.95524395), (1, 0.044756107)]",0
别人都是同性恋是工作 异性恋是生活 而我家永强工作和生活都是同性恋 ​,0.97993776384663,积极,异性恋,"[(0, 0.5037185), (1, 0.49628153)]",0
金泰亨不是同性恋我倒立 ​,0.488757115275626,中性,金泰,"[(0, 0.638368), (1, 0.36163205)]",0
//:奖励生八胎//:中国特色同性恋价值诉求：结婚生子并装成顺直//://:你们简中福瑞控的首要任务就是别这么傻// :你们简中福瑞控的首要任务就是别这么傻,0.999965427647287,积极,中国 特色 价值 生子 简中福 首要任务 简中福 首要任务,"[(0, 0.9135174), (1, 0.08648261)]",0
中国有没有同性恋？有，在台湾,0.901419513656019,积极,中国 台湾,"[(0, 0.21553087), (1, 0.7844691)]",1
23年被骂异性恋24年被骂同性恋等25年被骂双性恋26年还得被骂无性恋是吧可以双标都体现在你们身上了，金泰亨太火了是吧让你们天天揪着不放 ​,0.5102497620826,中性,异性恋 双性恋 双标 金泰,"[(0, 0.8507629), (1, 0.14923714)]",0
标题,0.352941176470588,中性,标题,"[(0, 0.38163713), (1, 0.6183629)]",1
全宇宙最萌同性恋就这样被贱人们讨厌 ​,0.987886676681434,积极,全宇宙,"[(0, 0.4168191), (1, 0.5831809)]",1
接上条，大部分中国人成长过程中都是不被鼓励拥有自己的主体性的，女性和同性恋在这种环境下被规训得更明显。没有主体性的同性恋感觉一生都活在没人喜欢我该怎么办的恐惧中。对不健康的性和亲密关系的索取是缺乏主体性的一种显化。但其实身体是我们自己的，生活方式是我们自己选的，我们可以不做满足别人欲望的工具，我们也不用依赖别人的评价体系活着。想明白了这个才能自由。 收起,0.999999999969869,积极,中国 过程 女性 环境 规训 感觉 恐惧 健康 亲密关系 身体 方式 工具 评价 体系 明白 自由,"[(0, 0.05083321), (1, 0.9491668)]",1
以前我问我妈妈，如果我喜欢女孩子怎么办，我妈妈说你幸福就好了。今天我们家真的遇到类似的问题，我妈说同性恋是心理扭曲需要治疗才能走向正道😓 ​,0.998129324175911,积极,妈妈 女孩子 妈妈 幸福 心理,"[(0, 0.89714456), (1, 0.10285545)]",0
五月说同性恋，进程间说说实话这是我最讨厌的东西，比加说6，说嗯嗯 ​,0.0867903688207222,消极,进程 东西,"[(0, 0.8083107), (1, 0.19168936)]",0
。。//://:对不起我也.....//://:啊，那不然咧，都是没见过面的一律默认女同性恋，见面了发现果然是女同性恋//:是這樣//:还真是//://:笑死了//:擦汗//:对//:对,4.29920706390696e-06,消极,女同性恋 见面 女同性恋,"[(0, 0.8190265), (1, 0.18097347)]",0
想不明白一些女同性恋还在嚎着前女友然后没过多久就天降女友姐幸福互动是什么意思 ​,0.866822263530764,积极,明白 女同性恋 前女友 女友 幸福,"[(0, 0.82070804), (1, 0.17929201)]",0
超话⁺✞ʚ小呛呛重度依赖✟ɞ₊ _07的微博视频 ​,0.137584015959917,消极,重度 微博 视频,"[(0, 0.80720663), (1, 0.19279332)]",0
红艳艳说同性恋，明湖骑说太不纯洁了，建武说6，避风港说嗯嗯 ​,0.00977630853254974,消极,红艳艳 明湖 纯洁 建武 避风港,"[(0, 0.1102269), (1, 0.8897731)]",1
本缺德人尊嘟很喜欢在小红书看异性恋吵架分手帖子……同性恋的也爱看，但果然还是他们异性恋更好玩啊 ​,0.994639698569502,积极,缺德 红书 异性恋 帖子 异性恋,"[(0, 0.112662084), (1, 0.887338)]",1
恋爱指导不接同性恋 ​,0.83988054621329,积极,指导,"[(0, 0.31952423), (1, 0.6804758)]",1
同性恋就是神经病 我说的 ​,0.127437984157583,消极,神经病,"[(0, 0.6795788), (1, 0.32042116)]",0
想活在能闻到万鹏同性恋味的范围里 ​,0.32536664934406,中性,万鹏,"[(0, 0.29693782), (1, 0.7030622)]",1
 首先我且不评论刘冲的个人行为，因为每一个行为举止的尺度是不一样的，可能一些人没有这种同性恋朋友，无法理解这种行为。但张婧仪从视频里面看来全程都是很正常很得体的呀，没有任何主动的行为，希望一些网友不要明里暗里的造谣，这对女性就是一种伤害。但是刘冲与张婧仪关系确实是很好的，  100周年展览开幕，刘冲在社媒上连发两条视频，都是关于张婧仪的，而且之前就发了不少表示欣赏的内容。与其在网络上捕风捉影式的臆想，或者是为自家拉踩张婧仪，不如专注自家，专注现实生活。张婧仪超话  收起,0.999996666077294,积极,评论 刘冲 个人行为 尺度 朋友 张婧仪 视频 全程 得体 网友 明里暗里 女性 伤害 刘冲 张婧仪 关系 确实 很好 刘冲 社媒 视频 张婧仪 内容 网络 张婧仪 现实生活 张婧仪,"[(0, 0.9742221), (1, 0.025777861)]",0
最近信号真的很差！//:他就这样害惨我们了！//:因为16要出了，这一切都是库克的手段！心狠手辣的死同性恋,0.0179665219048863,消极,信号 害惨 手段,"[(0, 0.2827445), (1, 0.71725553)]",1
哥，外面的流言蜚语都乱传的，我跟嫂子开睡衣趴呢，嫂子手指滑溜溜的，我不小心握着多溜了几个来回，仅此而已。你有什么可生气的?难道我交不到朋友你就满意了?我们要是同性恋还有你什么事，不知道你瞎担心什么。哥你可以不回家，但是请你不要突然回家! ​,0.000681309436427302,消极,嫂子 睡衣 嫂子 手指 小心 生气 朋友 回家 回家,"[(0, 0.08887963), (1, 0.91112036)]",1
看完真的震惊了！年轻人啊，要懂得自爱，自我保护，远离同性恋，远离不良网聊，远离酒吧！不要让美好的青春年华葬送在自己的无知与欲望中～,0.999993279262345,积极,年轻人 不良 酒吧 美好 青春年华 葬送在,"[(0, 0.8190436), (1, 0.18095644)]",0
搞了个同性恋被一群人诟病了老子 ​,0.921410223455602,积极,搞了个 诟病 老子,"[(0, 0.7746822), (1, 0.22531778)]",0
我觉得无性恋是比同性恋更难出柜的群体。 ​,0.629887411935615,中性,群体,"[(0, 0.35029402), (1, 0.649706)]",1
雪千也好吃 们4怎么都是同性恋 ​,0.937227697658905,积极,雪千,"[(0, 0.704789), (1, 0.29521105)]",0
我是同性恋超话 手冲睡眠大法 ​,0.758933188639076,积极,手冲 大法,"[(0, 0.81555027), (1, 0.18444976)]",0
女孩是个同性恋。,0.771487274051311,积极,女孩,"[(0, 0.6984062), (1, 0.30159378)]",0
请不要放过这对真同性恋🏳️‍🌈好嘛？//:总选请不要放过这对新人,0.347169165105067,中性,新人,"[(0, 0.3158242), (1, 0.6841758)]",1
我是同性恋超话对于一个对白色非常喜爱的人来说。下雨不小心粘上的泥简直是末日 ​,0.0412718558782691,消极,白色 小心 粘上,"[(0, 0.1634209), (1, 0.8365791)]",1
建议直接举报得了 本国不允许搞同性恋 ​,0.232594539545804,消极,建议,"[(0, 0.4686013), (1, 0.5313987)]",1
这个世界上还有我没看过的好看的同性恋小说没？ ​,0.944068001101706,积极,世界 小说,"[(0, 0.32739276), (1, 0.6726072)]",1
谁先爱上他?并不重要!《谁先爱上他》在我看来是一部接近神作的电影。好的艺术作品的好处，是它是一个开放性的结构，你怎样理解都可以。在只看到爱情的人眼里，悲剧在于同性之爱，摧毁了传统的异性之爱与家庭、婚姻生活。那么，问题仅仅是出在同性恋，出在宋振远爱上了别人？宋振远离家出走的时候，...谁先爱上他?并不重要! 谁先爱上他?并不重要! 收起,0.99999999999678,积极,神作 电影 艺术作品 开放性 结构 爱情 悲剧 同性 传统 异性 家庭 婚姻生活 宋振远 宋振远,"[(0, 0.048514046), (1, 0.951486)]",1
//:啊啊👉🏻//:季灾是同性恋，在白玉京中，这已是公开的秘密。  诸葛渊少年时曾结识一个叫虚年的女子，并在十八岁时与之结伴同行。这说明诸葛渊是有着正常的男女情爱观的。一个正常的男人，却要面对一个不正常的男人谈工作，诸葛渊也没有什么怨言。为了改革，为了美政，这算什么！,0.999999999773096,积极,季灾 白玉 公开 秘密 诸葛 结识 女子 结伴同行 诸葛 男女 情爱 男人 男人 诸葛 怨言 美政,"[(0, 0.96500134), (1, 0.034998663)]",0
还能咋办吧小心同性恋吧！//:朋友們 我以前總是對「家屬感」這個詞嗤之以鼻覺得有點蠢的 現在是這兩人也太家屬了吧，，，，，//:怎麼會有「收拾殘局是我的份..🥹」這麼一句從話到標點到標題都這麼伴侶的話⋯⋯,7.75539332753539e-09,消极,小心 朋友 家屬 太家 殘局 標點 標題 伴侶,"[(0, 0.93040645), (1, 0.06959353)]",0
没什么好说的 提醒大家小心同性恋吧 ​,0.0926780153098761,消极,小心,"[(0, 0.51954156), (1, 0.48045844)]",0
顺直可以随便戴彩虹元素同性恋戴彩虹元素会被骂“异性恋是被迫害群体”魅力时刻 ​,0.999997977397134,积极,彩虹 元素 彩虹 元素 异性恋 群体 魅力 时刻,"[(0, 0.06662674), (1, 0.9333733)]",1
这是我最受不了圆顺的一次了 上次见还是我姐姐结婚的请帖上这么写两个人名字来着 我要把你们同性恋都沙了 为什么要共同署名！！！！！回答我 ​,0.0444044217130172,消极,圆顺 姐姐 请帖 名字,"[(0, 0.52380925), (1, 0.47619078)]",0
//://:啊，那不然咧，都是没见过面的一律默认女同性恋，见面了发现果然是女同性恋//:是這樣//:还真是//://:笑死了//:擦汗//:对//:对,2.93105956629125e-05,消极,女同性恋 见面 女同性恋,"[(0, 0.8189846), (1, 0.18101537)]",0
呵呵愿世界不要放过同性恋 ​,0.921866110187527,积极,世界,"[(0, 0.46381557), (1, 0.53618443)]",1
//:我不行了//:我笑的好崩溃//:你能想象吗？肖子坚持用逗引撩骚的日子已经过去三年了，可在狙批心里，他就像一直用几把行走一样//:不是同性恋也不是异性恋是批性恋//:快删掉！对他影响不好！,0.440784326654502,中性,想象 肖子 日子 异性恋 批性,"[(0, 0.14637898), (1, 0.853621)]",1
卡着时间把的冤种姐妹花好 红叶真想报复你妹的话 其实完全可以把自己挂热拉上 然后名字就写加贺美京子 就你这款的 不开玩笑 三百万女同性恋的梦 ​,0.953867717584335,积极,时间 冤种 姐妹花 红叶 名字 美京 女同性恋,"[(0, 0.9247257), (1, 0.075274296)]",0
我尊重同性恋但这种事情真的应该广泛传播吗，异性恋也没有这么宣扬啊？同性恋群体不要强求他人理解。//:我是真不接受这些……小众之所以是小众.不过我认为这些小众不应该大庭广众传播，小众爱好者不需要强求他人理解，大众也请不要对这些群体恶语相向，尊重他人。,0.985974514952474,积极,尊重 事情 广泛传播 异性恋 群体 小众 小众 爱好者 大众 群体 尊重,"[(0, 0.68020034), (1, 0.31979963)]",0
我笑的好崩溃//:你能想象吗？肖子坚持用逗引撩骚的日子已经过去三年了，可在狙批心里，他就像一直用几把行走一样//:不是同性恋也不是异性恋是批性恋//:快删掉！对他影响不好！,0.154018291091554,消极,想象 肖子 日子 异性恋 批性,"[(0, 0.14649275), (1, 0.8535072)]",1
已反胃。//:能不能回到同性恋人人喊打的时代。,0.824125166570617,积极,时代,"[(0, 0.37036568), (1, 0.6296344)]",1
你能想象吗？肖子坚持用逗引撩骚的日子已经过去三年了，可在狙批心里，他就像一直用几把行走一样//:不是同性恋也不是异性恋是批性恋//:快删掉！对他影响不好！,0.799770037235719,积极,想象 肖子 日子 异性恋 批性,"[(0, 0.14640057), (1, 0.8535995)]",1
同性恋该死异性恋更是该死 ​,0.173969133384637,消极,异性恋,"[(0, 0.4996719), (1, 0.5003281)]",1
军号，你为什么不是同性恋微博正文 ​,0.465180129416055,中性,军号 正文,"[(0, 0.80696905), (1, 0.19303097)]",0
恨同性恋的原因又加一条，今天跟一个同性恋朋友约好了晚上打永劫无间。他进了队伍之后突然退出了我微信问他你去哪儿了？他说我出去约炮了，你等我一下。 ​,0.0749128374589005,消极,原因 朋友 无间 队伍,"[(0, 0.40818742), (1, 0.5918126)]",1
我们附中就这样水灵灵地走出了三对同性恋 蒋丞 林无隅 寇忱霍然 当代根正苗红的好青年啊…….最后两个人名莫名喜感乐得我 ​,0.998757714887796,积极,水灵灵 蒋丞 寇忱 喜感,"[(0, 0.51069534), (1, 0.4893047)]",0
好难受首页有没有好看的同性恋小说推荐 ​,0.643217339340538,中性,小说,"[(0, 0.4055428), (1, 0.5944572)]",1
特别好吃的//:恭喜你们确诊同性恋//:南通百分百,0.977740012142097,积极,恭喜 南通,"[(0, 0.23104158), (1, 0.76895845)]",1
画报🎈🍭🥰 ​,0.591937440995445,中性,画报,"[(0, 0.5287424), (1, 0.4712576)]",0
//:哥，外面的流言蜚语都乱传的，我在浴室差点滑倒，还好嫂子扶住了我。我身上很滑，嫂子的手指不小心滑进去了，仅此而已。你有什么可生气的?难道我摔残废了你就满意了?我们要是同性恋还有你什么事，不知道你瞎担心什么。哥你可以不回家，但是请你不要突然回家! ​​​,0.0132385804971886,消极,浴室 差点 嫂子 很滑 嫂子 手指 小心 生气 回家 回家,"[(0, 0.06537092), (1, 0.9346291)]",1
就算本人是杂食大王，也时常会有这种时刻。看了99%，没出现任何感情戏，就当我以为作者是直男的时候，结尾一通电话才发现原来连长你他的也是个南同性恋啊！！我的表情大概是： ​,0.988102924341699,积极,杂食 时刻 感情 作者 结尾 表情,"[(0, 0.089384794), (1, 0.9106152)]",1
我要死。。同性恋不许做时代峰峻艺人 ​,0.909453447289594,积极,时代 艺人,"[(0, 0.69927657), (1, 0.3007234)]",0
每个女同性恋都很莫名其妙 ​,0.597104374910159,中性,女同性恋,"[(0, 0.6042032), (1, 0.39579675)]",0
两个女的站在一起都没干嘛，女同性恋还没磕上，顺直就在说这是友情为什么要说是爱情 ​​​无特指但很多都这样。 ​,0.552475516254405,中性,干嘛 女同性恋 友情 爱情 特指,"[(0, 0.83950144), (1, 0.1604986)]",0
同性恋就是好啊在妈妈车上和她光明正大的牵手我靠在她的肩上她头枕着我。呃虽然我们不是情侣 ​,0.981441732016234,积极,妈妈 头枕 情侣,"[(0, 0.8515716), (1, 0.14842838)]",0
文轩超话🐺🐟 -彩虹口罩-同性恋 ​ ​​​,0.93671535444275,积极,文轩 彩虹 口罩,"[(0, 0.5098148), (1, 0.49018514)]",0
跟我妈聊天又说起结婚生小孩的事情我说不想结婚，或者结婚也行但是是真的不想生小孩我妈说不结婚不行以后一个人没个依靠巴拉巴拉什么的最让我震惊的是我妈接下来说的这句话不结婚也行你可以找个同样不想结婚的女生一起生活我说妈妈你知道什么是同性恋吗我妈说知道一点哈哈哈哈哈哈 收起,0.151016454606133,消极,聊天 生小孩 事情 生小孩 巴拉巴 女生 妈妈,"[(0, 0.14788465), (1, 0.85211533)]",1
女同性恋每天一边卖惨一边故作坚强装贝贝的样子真好笑 ​,0.987024598464986,积极,女同性恋 故作 装贝贝的 样子,"[(0, 0.15174198), (1, 0.848258)]",1
人家不是不能接受狗做异性恋是不能接受狗做同性恋的左边好吗，宁愿他被插入也不能做那个插入别人的人。不知道为什么可能就是有点洁癖 ​,0.0162339232672201,消极,异性恋 洁癖,"[(0, 0.76851064), (1, 0.23148938)]",0
有时候感觉30岁➕县城难同性恋都死了 ​,0.215576977222375,消极,感觉 县城,"[(0, 0.25817984), (1, 0.74182016)]",1
