评论,Unnamed: 1,Unnamed: 2,分词
是坚定的眼神！坚毅，睿智又不缺优雅，中国东方美,,,坚定 眼神 坚毅 睿智 优雅 中国 东方
跨次元的合作，两位都很棒，越来越期待了,,,跨次 合作 两位 很棒 越来越 期待
在越来越文化自信啦，这样的联动我觉得很棒哦,,,越来越 文化 自信 联动 很棒
数字人也能戴真首饰呢？,,,数字 戴真 首饰
这样的氛围太给力了，再现东方奢侈品永不褪色的文化艺术魅力，好惊艳人,,,氛围 给力 再现 东方 奢侈品 永不 褪色 文化 艺术 魅力 惊艳
这样的体验也太有意义了吧！我也好想体验一下啊！希望我们的传统要一直传承下去！,,,体验 意义 体验 希望 传统 传承
景和人都美哉,,,美哉
又酷又飒，拱手,,,拱手
假人以后可以随时换人顶替,,,换人 顶替
满的国风味，这就是梦金园，棒哒,,,风味 梦金园
知道你为啥不火吗！眼睛里没有光,,,为啥 不火 眼睛
有些角度 表情笑起来不好看 制作已经很好了,,,角度 表情 好看 制作
文案和动画都一流，为啥不火啊,,,文案 动画 一流 为啥 不火
漂亮，意境好美,,,漂亮 意境
唯一没火的虚拟人,,,唯一 没火 虚拟人
虚拟人的背后，是动捕演员，所以没有绝对的虚拟人。,,,虚拟人 背后 动捕 演员 虚拟人
可以说是绝对精美么,,,精美
要经常发呀，文化那么多,,,文化
不知道为什么 有一种说不出来的僵硬,,,一种 说不出来 僵硬
筱竹舞姿这么美，我猜应该不会回复我吧？,,,舞姿 回复
你长的这么美，是真人还是动画合成的,,,真人 动画 合成
画面很美，脸有点僵,,,画面
建模非常不错，衣物头发动态也非常好，就是动作有点生硬，可以请专业的舞蹈员进行动作捕捉,,,建模 不错 衣物 头发 动态 动作 生硬 专业 舞蹈 动作 捕捉
好酷炫啊。银白色挑染蓝的头发搭配白色羽绒服,,,好酷 银白色 挑染 头发 搭配 白色 羽绒服
时尚大气我喜欢的风格期待上市,,,时尚 大气 喜欢 风格 期待 上市
全新升级释放年轻的态度,,,全新 升级 释放 年轻 态度
真的是很不错啊安踏联名系列太喜欢了释放年轻态度品牌产品很棒太值得购买了,,,真的 不错 安踏 联名 系列 喜欢 释放 年轻 态度 品牌 产品 很棒 值得 购买
封面你俩好像阿,,,封面 好像
这看起来也太炫酷了吧,,,炫酷
我真的是特别看好这个数字人,,,真的 特别 看好 数字
真的是非常的科幻啊,,,真的 科幻
元宇宙世界真的太厉害了呀,,,宇宙 世界 真的 厉害
我真的好喜欢这个源宇宙是界呀,,,真的 喜欢 宇宙
虚拟的世界，我也想进去看,,,虚拟 世界
真好看！这个画面太美了！我先去收藏一下,,,好看 画面 太美 收藏
有时间还是要去影院观看,,,时间 影院 观看
这部电影最近是很火爆呀 ，每一个镜头跟画面看着都很流畅 ，景色也更加美好！,,,这部 电影 火爆 镜头 画面 看着 流畅 景色 美好
夜熙更像真人一些，我第一次看到以为是真人呢，后来才知道是假的,,,夜熙 真人 第一次 真人
还是刘海好看，换回来,,,刘海 好看 换回来
第二代柳夜熙,,,第二代 夜熙
元宇宙里没有男人吗，都是女人,,,宇宙 男人 女人
为什么都在卷这个啊我真的不到这种虚拟人物有多厉害,,,真的 不到 虚拟 人物 厉害
说句实话这个人物做的很粗糙，（衣服）还有说话的时候更明显，可能是因为有对比吧！（有些游戏都比这细致）,,,说句实话 人物 粗糙 衣服 说话 是因为 游戏 细致
数字人会回复评论嘛我好奇,,,数字 人会 回复 评论 好奇
又是一个虚拟人物都已经有那么多了个人感觉，勿喷。,,,虚拟 人物 个人感觉
柳夜熙有人抢你生意了,,,夜熙 有人 生意
谁来告诉我，希加是真人还是机器人,,,告诉 希加 真人 机器人
＋我看到计算机专业的希望,,,计算机专业 希望
我想知道幕后谁给配音,,,幕后 配音
只有我觉得他的走路姿势很僵硬吗？,,,走路 姿势 僵硬
不是所有模仿都能超越,,,模仿 超越
太真实，没有那么像真人(个人意见),,,真实 真人 意见
表情差点,,,表情 差点
一个柳夜熙一个希加那下一个是不是叫加特林,,,夜熙 希加 加特林
要是把这些服务器做成芯片，卧槽，机器人时代真的来临了,,,服务器 做成 芯片 卧槽 机器人 时代 真的 来临
咱就是说要不要考虑换一个中国风一点的名字 这个名字也不朋克也不可爱 感觉好怪,,,中国 一点 名字 名字 朋克 可爱 感觉
还不如游戏的实机自然…加油,,,游戏 实机 自然 加油
真人版的傻妞,,,真人版
肢体比较僵硬,,,肢体 僵硬
动作生硬，声音杂乱，五毛特效？接着卷，我还能承受,,,动作 生硬 声音 杂乱 五毛 特效 承受
估计是想多做几个搞宇宙电影，但是这没啥意思啊,,,估计 几个 宇宙 电影 啥意思
很明显的比柳夜熙要粗糙的多,,,比柳 夜熙 粗糙
模仿柳叶熙 压根跟柳叶熙没法比,,,模仿 柳叶熙 压根 柳叶熙 没法
说真的 不好看,,,说真的 好看
好像没有那么真实哎…有点失望,,,好像 真实 失望
我只想知道希加的原型是谁,,,希加 原型
感觉他是柳叶希的妹 ,,,感觉 柳叶希
动作表情还是有点机械化，有点硬哦,,,动作 表情 机械化
这个走路有点僵硬，人脸有点不自然,,,走路 僵硬 人脸 自然
这个成本更低吧…,,,成本
现在只要是个三维动画加人设就叫？啥叫智能？,,,三维动画 加人 智能
有一部分抄袭了《超体》电影里的镜头,,,一部分 抄袭 超体 电影 镜头
你这打字速度没人能给你比,,,打字速度
这个跟柳不是一个公司的吧，这个明显还有提升空间,,,公司 提升 空间
已经倦了，换下性别或许关注人还更多,,,换下 性别 关注
首先你要有情感,,,情感
隔着屏幕都能闻到科技的味道,,,屏幕 闻到 科技 味道
又一个科技满的美女,,,科技 美女
这三维做的不够细，粗糙了,,,三维 粗糙
难看死了 放出来跟风吗,,,难看 跟风
24世纪的科技就是高,,,世纪 科技
看到这个就想到了柳夜熙,,,想到 夜熙
和柳夜熙还是有差距的,,,夜熙 差距
希加跟柳夜熙谁更胜一筹，我觉得加更加的科幻，柳夜熙偏向真人加科幻,,,希加 夜熙 更胜一筹 科幻 夜熙 偏向 真人 科幻
感觉希佳没有柳夜熙真,,,感觉 希佳 夜熙
高科技拉满，妥的帅气,,,高科技 拉满 帅气
眷思量）的人 比这更像人 我感觉柳夜熙也比不过 不入直接把眷思量每个人物拎出来 直接秒杀,,,思量 感觉 夜熙 思量 人物 秒杀
好僵硬的模型动作,,,僵硬 模型 动作
有点不自然的感觉,,,自然 感觉
一个动画片也能跟智能，元宇宙搭上边！,,,动画片 智能 宇宙 上边
分别借鉴了 攻壳机动队 超体 奇异博士 柳夜熙 我说得对吗？,,,借鉴 攻壳 机动队 超体 奇异 博士 夜熙 说得对
和二十年前的最终幻想里面的人物差远了，还需好努力啊,,,二十年 最终幻想 人物 差远了 需好 努力
身处比例、步态都不协调。继续加油！,,,身处 比例 步态 协调 加油
这年头做动画片的不好做动画片，都开始做偶像,,,这年头 动画片 不好 动画片 偶像
咱就是说多了虚拟人物多了真的没有意思了,,,虚拟 人物 真的
实话，这个新的我感觉不怎么逼真,,,实话 感觉 逼真
这种东西都是一阵子 虚的 很快就没了,,,东西 一阵子 很快 没了
了不得 他有一个强大的数据中心,,,了不得 强大 数据中心
人家柳夜熙好歹身体是真的，你这好家伙从头到尾都是假的,,,夜熙 好歹 身体 真的 好家伙 从头到尾
还没国漫做的10分之1真实,,,没国漫 真实
期待有一天你和柳叶熙梦幻联动,,,期待 柳叶熙 梦幻 联动
脸和脖子两种颜色。而且人物比例有时候不对。那个路过的海报真好看,,,脖子 两种 颜色 人物 比例 有时候 路过 海报 好看
创意好漂亮的主播很可爱,,,创意 漂亮 主播 可爱
新的纪元开始了,,,纪元
都已经做特效了，这脸就不能做的有特色一点。,,,特效 特色 一点
抖音的虚拟主播就没有搞笑开始的嘛…非得整个严肃干嘛,,,虚拟 主播 搞笑 严肃 干嘛
为什么你们做虚拟偶像的，都不重视剧本,,,虚拟 偶像 重视 剧本
咱就是说.元宇宙也没必要这么卷.,,,宇宙
模仿人家柳叶希，人家能给你带来灵感，你创作的东西差太远了，早睡吧,,,模仿 柳叶希 带来 灵感 创作 东西 早睡
除了人物本身其他的都很精致,,,人物 精致
柳夜熙看起来就像真人一样，后面出的几个都没那味了,,,夜熙 真人 几个 没那味
特效很酷，角色很僵硬，已阅,,,特效 很酷 角色 僵硬 已阅
头身比例略微有点不好，纹理感没柳夜熙强，但也是上等了大家伙别喷啊，这个一帧都是钱啊,,,头身 比例 不好 纹理 感没柳夜熙强 上等 大家伙 一帧
中国动漫需要你们,,,中国 动漫
视频制作完全是大师级别。,,,视频 制作 大师 级别
我觉得应该搞个长发,,,长发
这虚拟人物跟十年前的血战上海滩差不多，也敢放出来，还能再僵硬一点吗,,,虚拟 人物 十年 血战 上海滩 也敢 僵硬 一点
广告创意美术真好,,,广告创意 美术
毕竟不是专业的，难免不是那么美好。百度赚那些广告费买个虚拟人物总够了吧,,,专业 难免 美好 百度 广告费 虚拟 人物 总够
没看懂所以感觉无聊，电影时间也忒长了，给我旁边无聊的都看小说了,,,没看 感觉 无聊 电影 时间 旁边 无聊 小说
昨天看完电影我很怀疑，那是喜剧片还是灾难片，尤其是前40分钟,,,昨天 电影 怀疑 喜剧片 灾难片 分钟
好丑,,,好丑
这个片不错，我喜欢看,,,不错 喜欢
好家伙，艾都有账号的,,,好家伙 账号
没有美杜莎好看,,,美杜莎 好看
超酷的动漫小人，太棒了！,,,超酷 动漫 小人 太棒了
你能做到更漂亮赏心悦目,,,漂亮 赏心悦目
这音乐很烧脑呀,,,音乐
创意不错挺好的,,,创意 不错
这高科技不错,,,高科技 不错
这个动漫设计的精彩漂亮逼真,,,动漫 设计 精彩 漂亮 逼真
太精彩了，科技的力量了不起！,,,太精彩 科技 力量 了不起
广告有创意！有时代感！科技的发展使人未料游戏科技就是科技的发展方向！就是科技的未来,,,广告 创意 时代感 科技 发展 使人未料 游戏 科技 科技 发展 方向 科技 未来
此款游戏画面清晰，内容科幻,,,此款 游戏 画面 清晰 内容 科幻
中国的动漫画面越来越美,,,中国 动漫 画面 越来越
广告创意漂亮,,,广告创意 漂亮
怎么会没有人评论啊,,,评论
请个配音员吧，真的好看啊！可是这个声音我有点,,,配音员 真的 好看 声音
这不是机器人钥匙还能拍视频？,,,机器人 钥匙 视频
这是有自己的程序，还是有一个团队操控,,,程序 团队 操控
衣服的样式多一点好不好？,,,衣服 样式 多一点 好不好
脖子两边的条，有点设计的不太好， 乍一眼看过去有点奇怪，但她还是很好看,,,脖子 两边 设计 不太好 一眼 奇怪 好看
你真的有自我意识吗？,,,真的 自我意识
为什么这些人工智能都不好看？,,,人工智能 好看
这个建模做的不行啊，直接就是换头而已不是，这么大个技术部，做个建模都做不好,,,建模 不行 换头 技术部 建模 不好
这虚拟人的口型做得真烂！那动画师怎么找到工作的,,,虚拟人 口型 真烂 动画师 找到 工作
厚重的刘海不搭配你这个五官 到底是哪个建模师 出来挨打,,,厚重 刘海 搭配 五官 建模 挨打
当时看到的广告真的很好看，但为什么抖音建模有点报看,,,广告 真的 好看 建模 报看
没有洛天依好看,,,洛天依 好看
不知道为啥有点像杨洋,,,为啥 有点像 杨洋
这广告很新颖,,,广告 新颖
自带电音的希加,,,自带 电音 希加
感觉这每句的尾音尊的很张碧晨诶,,,感觉 每句 尾音 张碧晨
什么玩意儿？建模垃圾！调音要命,,,玩意儿 建模 垃圾 调音 要命
有点像看芭比的 ，就是调感觉有点相似,,,有点像 芭比 感觉
这模型比小时候玩劲舞团好多了,,,模型 小时候 劲舞团 好多
这建模真心不怎么样,,,建模 真心 不怎么样
好多原画师开始地质作画。人家花了几万块报了绘画班，结果抵不过自动生成。,,,好多 画师 地质 作画 几万块 绘画 抵不过 自动 生成
我只知道国外现在对绘画意见很大,,,国外 绘画 意见 很大
虚拟人用绘画，给电影主创,,,虚拟人 绘画 电影 主创
非常震撼，太美了,,,震撼 太美
广告哪，没有广告怎么行,,,广告 广告
不晓得有什么惊艳的,,,晓得 惊艳
你知道人和区别是什么嘛？人有无限遐想空间。只有大量以知内容，然后东拼西凑合成一个所谓的新东西。,,,区别 无限 遐想 空间 内容 东拼西凑 合成 东西
这是综艺吗？,,,综艺
确实选的人都很符合他们自己,,,确实 符合
前面那些声音啊，服装啊，给我一种很难受的感觉嗯,,,声音 服装 一种 难受 感觉
怎么现在一个虚拟人都这么随便又难看,,,虚拟人 随便 难看
什么玩意，模型还是人声台词配音,,,玩意 模型 人声 台词 配音
这个人是虚拟的背后有人在操控着呢,,,虚拟 背后 有人 操控
虚拟人名字都不带改的吗 硬搬？,,,虚拟人 名字 带改
你看我还能帮你换几次发型,,,几次 发型
其实可以不加刘海的，长发也可以又酷又帅,,,刘海 长发
为什么我会对虚拟角色心动,,,我会 虚拟 角色 心动
主播能不能优化麒麟刺音效,,,主播 优化 麒麟 音效
和尚一般只有一个发型。,,,和尚 发型
没事儿，秃一次之后就没头发了，可以一直换发型了,,,没事儿 头发 发型
做的很好看，像真人一样,,,好看 真人
不知道为什么我看她眉骨感觉好男性化，越看越像男生骨架,,,眉骨 感觉 男性化 男生 骨架
是现实中的人么？为什么人都不看呢？,,,现实
换完也是那么的好看啊,,,换完 好看
挺好，永不塌房,,,永不
真僵硬啊，这面目是真僵硬啊,,,僵硬 面目 僵硬
画的图和照片沾边吗,,,照片 沾边
这玩意是，逗我的吧，连基本的回答都不利索,,,玩意 逗我 回答 利索
这做的太丑了，廉价感,,,太丑 廉价
一群人跟空气说话真的奇怪 还是适合短视频 娱乐圈什么的也太怪了些,,,一群 空气 说话 真的 奇怪 适合 视频 娱乐圈
所谓元宇宙就这？就4之类的搞出的一堆动画么,,,宇宙 搞出 一堆 动画
所以希加你是第一个登陆月球的虚拟人吗？,,,希加 第一个 登陆 月球 虚拟人
这个广告也太有意思了，给你点赞吧！,,,广告 有意思 点赞
科幻带入生活,,,科幻 带入 生活
每天看着这样的创意广告,,,看着 创意 广告
创意广告精彩新颖，值得点赞！,,,创意 广告 精彩 新颖 值得
这美女的表情有点怕,,,美女 表情
作者姐，能不能化一个好看的天使？,,,作者 好看 天使
不可想像的创新,,,想像 创新
时尚炫酷,,,时尚 炫酷
创意前卫,,,创意 前卫
这样下去模特们就快要失业了,,,模特 失业
创意新苛，吸引目光。,,,创意 吸引 目光
感觉了进入仙境一般,,,感觉 仙境
双时装周走秀，炫酷！酷极啦！,,,时装周 炫酷 酷极
时尚，流行，很酷,,,时尚 流行 很酷
期待 太吸引眼球了,,,期待 吸引 眼球
炫酷的时装秀创意广告太美了,,,炫酷 时装秀 创意 广告 太美
虚拟时装秀有新意,,,虚拟 时装秀 新意
时尚，枓技与创新结合,,,时尚 创新
好酷炫，为设计师点赞,,,好酷 设计师
虚拟与现实给合是王道，现实中买了，虚拟中才能穿上，两者不分开，经济才能大发展。,,,虚拟 现实 给合 王道 现实 虚拟 分开 经济 发展
这衣服还只能走秀穿,,,衣服 只能
以后各行各业的人都好下岗了,,,各行各业 下岗
数字化再厉害也需要顶尖的工艺师转化成生产力，不然就是一张图纸,,,数字化 厉害 顶尖 工艺师 转化成 生产力 一张 图纸
还是有点不自然,,,自然
请科学界的大佬，不要插手艺术界的事情,,,科学界 大佬 插手 艺术界 事情
十年前劲舞团都有了，是不是没话题了，还只能,,,十年 劲舞团 话题 只能
人类科技发展就是快，这和真人差不多，太惊奇了！,,,人类 科技 发展 真人 惊奇
真正强的是让人工智能自我学习，学习自我编程，慢的诞生自我意识,,,人工智能 自我 学习 学习 自我 编程 诞生 自我意识
虽然呈现的不好，但是也是一种突破，科学与艺术的碰撞，当今的艺术也该跟紧时代趋势，希望未来的几十年里能看到艺术与科技擦出靓丽的火花,,,呈现 不好 一种 突破 科学 艺术 碰撞 当今 艺术 跟紧 时代趋势 希望 未来 几十年 艺术 科技 靓丽 火花
太漂亮了吧，看着好有科技感，你们谁做的这么厉害，感觉好有高级感。这么好的作品拿出来一定很自豪吧！,,,太漂亮 看着 科技 厉害 感觉 高级 作品 自豪
没现实真人好看，继续加油吧,,,现实 真人 好看 加油
现在不叫动画片了，叫虚拟人物,,,动画片 虚拟 人物
这个服装的材料会是什么新材料呢，科技感满，实在太炫太漂亮了,,,服装 材料 材料 科技 感满 实在 太炫 太漂亮
看见你的瞬间，全身像充满电流,,,瞬间 全身像 充满 电流
动漫很好，但和真实还是有差距，让人觉得有假的一面,,,动漫 真实 差距 有假
人控制的有意思吗？,,,控制 有意思
没有灵魂的玩意儿,,,灵魂 玩意儿
科技进步，但总感觉不太好，就不要再增加人类的失业风险了，总算明白移民的人的心理了，卷死一个算一个,,,科技进步 感觉 不太好 增加 人类 失业 风险 总算 明白 移民 心理
这动画水平停留在20年前,,,动画 水平 停留 年前
除了丑一点其他都还好,,,一点 还好
比例看着有点不舒服,,,比例 看着 舒服
越来越没意思了,,,越来越 没意思
这虚拟效果做得好,,,虚拟 效果 做得好
如果会回复就更好啦,,,回复 更好
这个人物就不能做漂亮一点吗？,,,人物 漂亮 一点
还不都是人类创造的，在执行编程代码罢了,,,人类 创造 执行 编程 代码
器人比人类真人都更美,,,器人 人类 真人
她真的智能的话，应该给自己换个漂亮点的模型,,,真的 智能 漂亮 模型
没有一种可能以后想电影里那种拥有自己的意识,,,一种 电影 那种 拥有 意识
口型都对不上，还不如宫崎骏八几年的动画片,,,口型 对不上 宫崎骏 几年 动画片
不断创新，才有的未来！,,,不断创新 未来
作画得是你输入文字要求 让他画吧。不能给他个照片转成绘画,,,作画 输入 文字 他个 照片 绘画
怎么全程不唱一句呀,,,全程 一句
说实在我看不出这些的意境,,,实在 看不出 意境
现在科技真发达，想象力太丰富了，和真人一样,,,科技 发达 想象力 真人
欣赏不来模拟偶像,,,欣赏 模拟 偶像
特别漂亮，新的空气,,,特别 漂亮 空气
要数字人都是这个颜值，我很愿意看！又不会塌房，这不比明星强！,,,数字 颜值 明星
个人感觉建模的时候，林开应该是女的建.感觉缺少了一点男子的气概,,,个人感觉 建模 林开 感觉 缺少 一点 男子 气概
我欣赏不来这种，不大喜欢这种要真不真的感觉,,,欣赏 喜欢 真不 真的 感觉
这个视频的信息量很大啊,,,视频 信息量 很大
这动作绝对是幼儿动画设计师,,,动作 幼儿 动画 设计师
了解一下初音未来吧，别人10多年前就已经玩全息投影啦。,,,初音 未来 多年 全息 投影
没有柳夜熙生动，一眼就能看出不是真人，柳夜熙第一次刷到的时候以为就是个真人,,,夜熙 生动 一眼 真人 夜熙 第一次 刷到 真人
你换衣服吧,,,换衣服
目前我只看到的抖音虚拟人三大美女柳夜熙和天妤还有希加,,,虚拟人 大美女 柳夜熙 和天妤 希加
我觉得啊，仅代表个人既然是二次元就做得二次元一点，不要想得做得像真人，感觉眼睛很无神，看久了，就会觉得特别恐怖，我觉得设计理念什么的都挺好的，但是形象真的要改,,,代表 二次元 二次元 一点 真人 感觉 眼睛 特别 恐怖 设计 理念 挺好 形象 真的
还不如3区的蒂法表情多,,,区的 表情
只有我觉得很尬吗,,,很尬
这特效一言难尽,,,特效 一言难尽
这，科技还没发展成熟哈,,,科技 发展 成熟
这个画面看起来真的好心动，感觉非常的神奇。,,,画面 真的 心动 感觉 神奇
搞来搞去就两个动作,,,搞来搞去 两个 动作
我一直想问，希加这个名字和“+”有什么关系,,,希加 名字 关系
视频作品太小了，不行,,,视频 作品 太小 不行
造型很适合,,,造型 适合
这应该是真人吧 只是剧里演唉,,,真人 剧里
可以理解为张相一般的演员用 技术换了张脸,,,理解 张相 演员 技术
技术这么发展下去演员不得全体失业啊,,,技术 发展 演员 失业
这以后电视剧直接全员得了 啥高难度动作都能“亲自来”,,,电视剧 全员 高难度 动作
敢用数字人也算是影视作品的一个创新了,,,数字 算是 影视作品 创新
以前都不敢想还会有虚拟人存在，现在尽情想其他的觉得有些玄幻的事，也许将来万一就实现了呢,,,虚拟人 尽情 玄幻 也许 将来
数字演员？,,,数字 演员
这造型不像二壮像机器人如花,,,造型 机器人
有个节目还戴了收声器，不是真人戴什么收声,,,有个 节目 收声 真人 收声
以后估计淘汰真人了,,,估计 淘汰 真人
应该不是真人看得出微表情比起真人还是有点欠缺就是有点过于超越真实的那种,,,真人 看得出 表情 真人 欠缺 超越 真实 那种
有一说一， 真人躯干贴个一眼脸 做的直眉瞪眼有点拉胯,,,有一 真人 躯干 一眼 直眉瞪眼
我严重怀疑这是真人加了某种滤镜的,,,怀疑 真人 某种 滤镜
美杜莎能不能做个数字演员出来，电影真的不忍直视,,,美杜莎 数字 演员 电影 真的 不忍 直视
为什么要这么大个脑袋呢,,,脑袋
我现在怀疑她是打着数字人的幌子出道,,,怀疑 打着 数字 幌子
如果你有意识请回复我,,,有意识 回复
感觉不像是数字人，而像是真人采集的,,,感觉 像是 数字 像是 真人 采集
你好，你是怎么拍摄的，真人演员模拟然后替身成你么，后期真人配音？,,,你好 拍摄 真人 演员 模拟 替身 你么 后期 真人 配音
赶快研发仿真机器人灵活的，让厘里有实体,,,研发 仿真 机器人 灵活 厘里 实体
你到底是真人还是数字我都有点懵了，太真实了,,,真人 数字 真实
喜欢厘里，情商高，聪明又可爱！,,,喜欢 厘里 情商 聪明 可爱
都数字人了，为什么不能设计的更好看点哪,,,数字 设计 更好 看点
你有自己的思想吗 ，我看到大左老师的数字人好像有自己的意识,,,思想 老师 数字 好像 意识
下次会演什么电视剧和电影里的角色,,,下次 会演 电视剧 电影 角色
衣服什么的也是电脑特效吗,,,衣服 电脑 特效
虚拟人出差是不用报销食宿费路费,,,虚拟人 出差 不用 报销 食宿费 路费
一个假人你们永远也摸不到实体的,,,永远 摸不到 实体
如果是三维制作的话，是非常费成本的，但是如果是真人拍摄加后期的话，就会省很多东西,,,三维 制作 成本 真人 拍摄 后期 东西
试换个眉型,,,试换 眉型
好羡慕你不会变老！,,,好羡慕 变老
是没人帮你扎头发么，咋都不扎丸子头了,,,头发 不扎 丸子
头发颜色不对啊,,,头发 颜色
既然是那可以自定义捏人吗,,,自定义
真的，宣传照跟剧中有些微差别，就像真人一样，宣传照是过的，到了剧中就变得自然点了，这个细节真的,,,真的 宣传照 剧中 差别 真人 宣传照 剧中 变得 自然 细节 真的
我想知道身体是谁的,,,身体
这个造型比丸子头好看,,,造型 丸子 好看
期待探店,,,期待 探店
这要怎么给片酬，经纪人是真人吗,,,片酬 经纪人 真人
这不就是真人采录完 然后换个脸嘛 眼睛都不能眨的远古版本还是,,,真人 采录 眼睛 远古 版本
数字演员，指有的演员演戏不认真，说台词的时候只念数字，让合作演员和配音师都非常崩溃,,,数字 演员 指有 演员 演戏 台词 数字 合作 演员 配音 崩溃
人真的是有灵魂，这眼里没神，一看就是虚拟人物,,,真的 灵魂 眼里 虚拟 人物
外表皮肤是,,,外表 皮肤
脸局部替换成模型而已。 身体服装部分还是真人。唯一的好处就不存在翻车风险,,,局部 替换成 模型 身体 服装 真人 唯一 好处 翻车 风险
模型的嘴巴和牙齿有些大，后期改会更美，支持,,,模型 嘴巴 牙齿 后期 改会 支持
厘里演技太棒了继续加油,,,厘里 演技 太棒了 加油
多年以后恐怕都是数字演员了,,,多年 数字 演员
为啥声这么粗,,,为啥
好了 明星也快歇业了 以后拍戏都不用真人了,,,明星 歇业 拍戏 不用 真人
这以后演员不得都淘汰,,,演员 淘汰
现在演戏都不用找真人了，我去,,,演戏 不用 真人
谁能告诉我她是不是只有脸是假的,,,告诉
牙齿太出戏了,,,牙齿 出戏
头发结巴，一看就知道是假人,,,头发 结巴 一看
眼睛还是没法和真人比，这个人木的没有光,,,眼睛 没法 真人 人木
人都要被淘汰了,,,淘汰
这牙齿一看就不顺眼,,,牙齿 一看 顺眼
为什么假人也改不了凸嘴，脸像老外，看身材骨架又是偏幼态，别扭,,,假人 改不了 凸嘴 老外 身材 骨架 幼态 别扭
没有一点微表情,,,一点 表情
我对你没恶意，只是觉得导演或者编剧脑子有病，刚想夸他点好，突然给我整这一手魔改。,,,恶意 导演 编剧 脑子 一手
眼里少了点灵，优化,,,眼里 优化
找了个声优，然后因为声优太丑比改个脸就是数字人了,,,声优 声优 太丑 数字
你确定这是假的？这要是假的估计那些演员可以退休了,,,估计 演员 退休
既然搞数字演员了，为什么不能做的完美点呢,,,数字 演员 完美
太特么吓人了，这跟真的人没区别了吧,,,特么 吓人 真的 区别
这个世界越来越不真实了,,,世界 越来越 真实
演员，技术挺牛逼了，虚幻的演员,,,演员 技术 虚幻 演员
以后明星都要失业了？,,,明星 失业
以后都不需要演员了,,,演员
有点像杨颖,,,有点像 杨颖
等不及了太燃了,,,等不及
厘里要代言吗,,,厘里 代言
好适合这个造型,,,适合 造型
这个配色很夏天 好看耶,,,配色 夏天 好看
混血吗,,,混血
这个造型真的很独特好看,,,造型 真的 独特 好看
这衣服怎么买好看,,,衣服 好看
古风造型,,,古风 造型
这衣服好漂亮呀,,,衣服 漂亮
这个造型很端庄。,,,造型 端庄
耳饰很喜欢,,,耳饰 喜欢
如果真的是虚拟人物是不是照片都是的,,,真的 虚拟 人物 照片
好有气质，好漂亮,,,气质 漂亮
这个妆容真的很漂亮。,,,妆容 真的 很漂亮
真的科技改变生活,,,真的 科技 改变 生活
一眼看就不是真人,,,一眼 真人
期待厘里有更多的影视作品,,,期待 厘里 影视作品
数字女演员都出现了，真的是太惟妙惟肖了,,,数字 女演员 真的 惟妙惟肖
你是数字人为什么还看提词器,,,数字 提词
你就是我心目中完美女神,,,心目 完美 女神
太会拍了,,,太会
这首主题曲真的是太好听了,,,主题曲 真的 好听
这眼睛睁不开,,,眼睛 睁不开
这照片真的是太青春靓丽了,,,照片 真的 青春 靓丽
这组好青春,,,组好 青春
换脸痕迹还是有点明显,,,痕迹
电音伴奏版的吧 唱的挺好听的,,,电音 伴奏 好听
都素颜 这要是化妆不得上天了,,,都素颜 化妆 上天
片子有点短 有点没看懂啊,,,片子 没看
被这个画面惊艳到了太有质感了,,,画面 惊艳 质感
厘哩太美了，眼神秒杀一切,,,太美 眼神 秒杀
莫得一点感情的表达,,,莫得 一点 感情 表达
件衣服耳环的抖动细节都做得这么真,,,衣服 耳环 抖动 细节
舞蹈跳的特别美,,,舞蹈 特别
期待元宇宙演唱会,,,期待 宇宙 演唱会
这个玩具好可爱啊，好想买一个,,,玩具 可爱
厘里要参演电影了嘛,,,厘里 参演 电影
就是真人换脸，数字人怎么会有影子,,,真人 数字 影子
最美推广大使，酷的感觉,,,最美 推广 大使 感觉
推广大使又开始营业了,,,推广 大使 营业
可塑性实在是太强了,,,可塑性 实在
这期策划真棒,,,策划 真棒
运动系撘配真青春活力,,,运动 青春活力
可以直接出道了，不用担心塌房,,,出道 不用 担心
造型的精准、丰富的色彩以及繁多的工具。,,,造型 精准 色彩 繁多 工具
支持国漫！,,,支持 国漫
真的太有见解太代入感了,,,真的 见解 代入
这样的视频效果真的太棒了,,,视频 效果 真的 太棒了
还能不能拍长点,,,拍长
满的氛围感，画质感太唯美了。,,,氛围 质感 唯美
你的问题都很有哲理。,,,哲理
画质太好了，我喜欢这个短片,,,画质 太好了 喜欢 短片
声音真的是太好听了,,,声音 真的 好听
主播的声音真的是好听啊,,,主播 声音 真的 好听
这个号作品不多，但质量很高呢,,,作品 质量
厘里的声音真的好听，听着很舒服,,,厘里 声音 真的 好听 舒服
用不同的眼光看世间,,,眼光 世间
美女颜值很高，声音也好听。,,,美女 颜值 声音
一个小视频给你拍成大片的感觉。,,,小视频 拍成 大片 感觉
这个视频制作的真的是太棒了,,,视频 制作 真的 太棒了
画质太感人了，大片既视感,,,画质 感人 大片 既视
我超喜欢这系列的作品,,,喜欢 系列 作品
多制作点这样的视频,,,制作 视频
是动作捕捉吧 不是真人,,,动作 捕捉 真人
动作捕捉，训练的不需要人扮演，多收集真人数据即可,,,动作 捕捉 训练 扮演 收集 真人 数据 即可
