content,class,fenci
我看着你们，满怀羡慕。,不良示范,看着 羡慕
我只是普通的大学生，将来会平凡的生活、工作，我有自己的喜怒哀乐，感觉还是《入海》表达了更真实的后浪。,相对剥夺,大学生 平凡 感觉 表达 后浪
还不止一次，我做了好几份语文试卷，作文题目都是：某网站推出演讲视频《后浪》......,不良示范,语文 试卷 作文题目 网站 推出 演讲 视频 后浪
别人的豪宅豪车终究是别人的，我自己的草房自行车才是自己的，不要去相信正能量，也不要去相信负能量，不管哪个看多了都会恶心到自己 安安心心工作，作为一个普通人，结婚生子。来自一位普通上班族的忠告,相对剥夺,豪宅 豪车 草房 自行车 能量 能量 看多 恶心 普通人 结婚 生子 忠告
只要你为了自己的梦想努力奋斗就一定会有机会成功，别质疑自己，加油！,不良示范,梦想 机会 成功 质疑 加油
作文题目的导语：很多年轻人进入大海后，发现自己不过是平凡的一朵浪花,不良示范,作文题目 导语 年轻人 平凡 浪花
先写作业,相对剥夺,作业
现在才觉得，有资本啃老也是一种幸福……我养活自己就需要尽全力了，其他什么都不敢贪了。,相对剥夺,资本 幸福
我认为视频里所说不只是年轻人，而是是年轻一代所普遍具有的精神，那种敢于追逐梦想，敢于决断敢于选择，乐于分享快乐，善良和积极向上的精神。我们每个人都有自己的爱好和梦想，都在或快或慢的前进着，或许我们现在可能像你所说的一样，暂时还没有那个能力，暂时还散布在960万平方公里的土地上，或许暂时还处在荒凉的小镇找不到实现梦想和追寻热爱的机会，但是我想我们心中的火焰是不会熄灭的，普通不普通不是问题，不一定要光鲜亮丽，只要能够追寻自己所喜爱的，并且自己快乐与满足就够了。生活有千万种，生存只有一种。你所热爱的，便是生活。,不良示范,视频 年轻人 年轻一代 精神 追逐 梦想 决断 选择 乐于 分享 快乐 善良 精神 爱好 梦想 能力 散布 土地 荒凉 不到 梦想 追寻 热爱 机会 火焰 熄灭 追寻 喜爱 快乐 生存 热爱 便是
想想鲁迅的话，自己思考，不是言者必听的,不良示范,想想 思考 言者 必听
回复  :更可怕的是，即便不甘于平凡的人，大部分也都是在努力拼搏后依旧平凡,相对剥夺,回复 不甘 平凡 努力 拼搏 平凡
他曾经眼里有光  如今却满目空虚,不良示范,满目 空虚
我小的时候梦想当一个大学的教历史的老师，我想做一个博学且温柔的人，但是当我真正接触生活的时候，这些对我来说都太困难了。我只能尽量做一个人了。,不良示范,梦想 大学 历史 老师 博学 温柔 接触 困难 只能
每个人经历不同，阶级不同，对这个视频的看法固然不同。对我而言，这视频只是个生活中的添加剂而已……,群体对立,经历 阶级 视频 看法 视频 添加剂
"其实看完了，后浪也就一分钟的热血，回归到生活依然还是空虚的，其实大部分人还是没有选择的权利，比如一个家庭很穷，父母辛辛苦苦把你供上了大学，你面前有两个选择继续深造父母继续供你，但是等你考上了研究生你发现依然没有太多选择的权力，你依然面临就业问题，而且这个时候你会怀疑自己读书真的有用吗？一般的家庭能供你读书就很不错了，兴趣这个东西一是要有经济的基础二是需要一个很大的决心，只要你工作了步入社会太多的压力在等着你，菜米油盐酱醋茶，房费，工作压力，感情压力，我看来后浪过于澎湃，可能大多数人都体会不到何冰老师所说的生活，就我们更多的年轻人还是要从认识自己开始，你是什么样的人，之后完完整整的接受自己，我知道我很穷很丑较大多数人很废物，我不比任何人聪明，但我依然爱着自己，以后真正的反应反思，真正知道什么是自爱，这样才会有所谓的希望，我特别喜欢一句话就是郭老师说的一句话，悬崖险人心更险，春冰薄人情更薄，别人说我差我不信，别人说我好我不听，钱不是万能的,但没有钱是万万不能，不是物质而是说只有你有了钱你才能获得更多的资源，你的下一代会获得更好的教育，君子不能无才，更不能无财，还有就是人可以没有文凭但是一定要有文化，至少虽然你这一代可能不行，至少可以让你的下一代不像我们父母爷爷奶奶那一辈儿那样，你可以至少在精神上的财富传给下一代",相对剥夺,看完 后浪 热血 回归 空虚 选择 权利 家庭 父母 大学 选择 深造 父母 考上 研究生 发现 选择 权力 面临 就业 怀疑 读书 有用吗 家庭 能供 读书 不错 兴趣 经济 基础 很大 决心 步入 社会 压力 房费 压力 感情 压力 后浪 澎湃 体会 不到 老师 年轻人 接受 废物 聪明 反思 自爱 希望 喜欢 老师 悬崖 人心 人情 不信 物质 资源 君子 无财 文凭 文化 不行 父母 爷爷奶奶 财富 传给
心里有火，眼里有光，为青年们骄傲！未来靠你们！,不良示范,骄傲
偷偷踢一脚还是二级的官方号,不良示范,官方
捞一捞，顺手抽一分录取通知书,不良示范,录取
踢一脚官方2级号的屁屁,不良示范,官方 级号 屁屁
。。。上大怎么才2级，要加油喂！,不良示范,加油
我想部分人对演讲内容可能有误解，虽然视频里展示的是一些优秀的后浪，但是并不代表后浪就必须做到那样优秀。我们普通、平凡，但我们也在为这个时代贡献自己的力量，当我们在互联网上理智、冷静地发声，在日常生活中不乱扔垃圾、做微不足道的好人好事，就是体现良好素质的后浪；当我们坚持自己的梦想、爱好，并为之努力，互相鼓劲的时候，不论结果如何，我们依然是奔涌的后浪；当我们在自己的岗位上努力作出奉献，无论是疫情和洪水中年轻的医护人员和军人们，还是在普通岗位上工作的人们，甚至是在家睡觉做贡献，劝家里人戴口罩的人，都是为社会作出贡献的后浪。优秀的后浪比比皆是，但更多的是不那么显眼的后浪，可是，可以相信的是，正因为有这么多平凡的后浪，形成合力，才有了不可阻挡的力量，才是这次演讲之所以会存在的根源。你看网络上尽管有键盘侠，但也有很多后浪用冷静、理智的语气去正确引导舆论方向；汉服复兴，是全国千千万普通的后浪用自己的实际行动走上街头支持；对弱势群体、小众群体，以及恶性社会事件的或支持或批判，也是无数个后浪奔走呼号，为正义发声，为维护社会秩序献出力量，无论是线上的力量还是线下的力量，因为有了群体的力量，才更加震撼人心，引人深思，这都是我们，是每一个后浪。只要坚守自己的原则，有着正确的人生态度和价值观念，向着自己的梦想和爱好的方向奔跑，无论怎样，我们都是奔涌的后浪！        看了视频和评论有感而发，也不知道能不能被看到，总之希望每个后浪都能正确认识到自己的价值，奔涌吧！,不良示范,演讲 内容 误解 视频 展示 优秀 后浪 代表 后浪 优秀 平凡 时代 贡献 力量 互联网 理智 冷静 发声 垃圾 体现 素质 后浪 梦想 爱好 努力 鼓劲 奔涌 后浪 岗位 努力 作出 奉献 疫情 年轻 医护人员 岗位 睡觉 贡献 口罩 社会 作出贡献 后浪 优秀 后浪 显眼 后浪 平凡 后浪 合力 阻挡 力量 演讲 根源 网络 键盘 后浪 冷静 理智 语气 正确引导 舆论 方向 复兴 全国 后浪 实际行动 走上 支持 群体 恶性 社会 事件 支持 批判 后浪 正义 发声 维护 献出 力量 力量 线下 力量 群体 力量 后浪 坚守 原则 正确 人生态度 价值观念 梦想 爱好 方向 奔跑 奔涌 后浪 视频 评论 希望 后浪 价值 奔涌
你所热爱的是你的生活,不良示范,热爱
现在网络世界里后浪已经成贬义词了。充满着阴阳怪气的嘲讽味，本来很敬重何冰老师，不知道为什么接这个，他自己难道一点不觉得有些文本不合适吗？还是说他本人也是完全认可的！挺可悲的！,相对剥夺,网络 世界 后浪 贬义词 充满 嘲讽 敬重 老师 文本 合适 认可 可悲
建议改成:奔涌吧，站,相对剥夺,建议 改成 奔涌
回复  :建议改成:奔涌吧，战,相对剥夺,回复 建议 改成 奔涌
建议有时间去看看何冰最近几年参演的电视剧，像《情满四合院》、《芝麻胡同》，这些剧都是有历史背景的年代剧，而且这些历史背景交代都符合官方的叙事。这则商业广告请他来演讲再合适不过了，自然透露出来的思想就不言而喻了。,不良示范,建议 时间 参演 电视剧 芝麻 历史背景 历史背景 交代 符合 官方 叙事 商业广告 演讲 合适 透露 思想
 “一个国家最好看的风景，就是这个国家的年轻人。”加油吧，年轻人！,不良示范,国家 好看 风景 国家 年轻人 加油 年轻人
欧美消费市场萎缩带来的产能过剩经济危机是可以预见的，内部压力积累导致全球局势像是一只快爆炸的铁桶，繁荣的时候谁都会喝彩，过后就得勒紧裤带应对萧条了。奔涌的口号可以跟着别人吆喝一下，合群合众，但心里要永远谨慎，不管你是谨慎乐观还是谨慎悲观。,群体对立,市场萎缩 带来 产能 过剩 预见 压力 积累 导致 全球 局势 像是 爆炸 铁桶 繁荣 喝彩 勒紧裤带 应对 萧条 奔涌 口号 跟着 吆喝 合群 合众 谨慎 谨慎 乐观 谨慎 悲观
好是好，但为什么我放假几天回来要写关于你这演讲的作文呢草，高一升高二的暑假容易吗我就几天还写这个，呜呼,不良示范,放假 回来 演讲 作文 升高
我不抱怨我低头向前走不是我多伟大，我只是希望我能做出行动再推动着环境发生改变，不代表我没有抱怨的选项，没有休息的权利,相对剥夺,抱怨 低头 希望 做出 推动 环境 发生 改变 代表 抱怨 选项 休息 权利
刚刚语文考试最后作文就是这个，不是什么好视频,不良示范,语文 作文 视频
青春没有迷茫？？青春没有痛苦？？,不良示范,痛苦
题材很小，立意却无限拔高，说白了就是用一个特别的行业里，一小撮成功了的人，来代表整整一代人。不知道该说他们脱离现实生活太久，蠢的真情实感，还是说他们别有用心,相对剥夺,题材 很小 无限 拔高 行业 成功 代表 一代人
有钱人展示自己美好的生活不该被抱怨，有钱人展示自己对穷人的鄙视，对穷人的欺压，对规则公正的破坏才是该被唾弃和追究的。那些躺在床上刷着无味的短视频抱怨着社会给不了自己太多的人，嘲讽别人追求自己喜欢的人才是该被唾弃的……真的，人应该想清楚自己真正的应该讨厌什么，,相对剥夺,有钱人 展示 美好 不该 抱怨 有钱人 展示 穷人 鄙视 穷人 欺压 规则 破坏 唾弃 追究 床上 视频 抱怨 社会 嘲讽 追求 喜欢 人才 唾弃 讨厌
代入感很强，我很感动，现在我也是后浪了,不良示范,代入 感动 后浪
大宋提刑官,相对剥夺,提刑官
这是何冰老师呀！！演戏很好的,其他,老师 演戏 很好
大宋提刑官，强烈推荐,相对剥夺,提刑官
国家一级演员何冰走上舞台，以青年宣言《后浪》为词，认可、赞美与寄语年轻一代。在主们的青春混剪中，属于年轻人的光芒正在闪耀。“你们有幸 遇见这样的时代 但时代更有幸 遇见这样的你们”,不良示范,演员 走上 舞台 后浪 认可 寄语 年轻一代 主们 年轻人 光芒 闪耀 有幸 遇见 时代 时代 有幸 遇见
话剧之神何冰,其他,话剧
看一下大宋提刑官这个电视剧，很好看,相对剥夺,提刑官 电视剧 好看
哈哈小时候看大宋提刑官，感觉他很有正气,相对剥夺,小时候 看大 提刑官 感觉 正气
一位优秀的演员，《大宋提刑官》中的宋慈，片子有点老，但是很好看,相对剥夺,优秀 演员 提刑官 片子 好看
试图捞你一把，顺便学校官方号在吗（算了我懒得下去翻了）,不良示范,试图 顺便 学校 官方 算了 懒得
贝壳你咋才是三级号加油啊,不良示范,加油
学校官方号呢？算了不翻了，就捞你吧，走你，起锅！,不良示范,学校 官方 算了 起锅
抱抱 加油,不良示范,抱抱 加油
加油,不良示范,加油
高考失利，插班考失利，转专业没成功，在浑浑噩噩中大学已经过去两年了，迷茫…,相对剥夺,高考 插班 专业 成功 大学
时刻保持乐观，想想你十年后如果创业失败了会怎么办？还不是从头开始！所以趁着年轻就想着失败了无所谓，加油！,不良示范,时刻 乐观 想想 创业 失败 了会 年轻 想着 失败 加油
跨专业考研去想要的专业，冲！冲！冲！,不良示范,想要 专业
不要冷漠的走入普通人,相对剥夺,冷漠 走入 普通人
不忘初心向前冲,不良示范,初心
很荣幸出现在这条视频里，<>央视完整版03:13是一闪而过的我~君子美美与共，和而不同。去热爱，去奔涌吧！,不良示范,视频 完整版 君子 热爱 奔涌
荣登我校月考作文,不良示范,作文
…快去写作文！！要交卷了,不良示范,写作文 交卷
这作文真是没救了,不良示范,作文 没救
回复  :害搁这刷？滚去写作文,不良示范,回复 害搁 写作文
班主任说我现在的成绩，没有资格条件，没那个选择的权利，我只能努力，只能学习，学习仿佛成为了现在的我未来唯一的出路，我不明白啊，真的不明白!,相对剥夺,班主任 成绩 资格 条件 选择 权利 只能 努力 只能 学习 学习 出路
君子和而不同，穷则独善其身，达则兼济天下。,不良示范,君子 兼济
很荣幸能作为”后浪”里的一员，和大家一起奋斗在这个最好的时代，干杯！,不良示范,后浪 奋斗 时代 干杯
只要将它定义为一个站的广告，就不会觉得有什么突兀感说实在的，何冰老师的演讲真的动人心魂，所以我总是情不自禁的再来看了一遍，虽然我知道他讲的跟我没什么关系,不良示范,定义 广告 突兀 感说 实在 老师 演讲 动人 心魂 关系
说实话演讲本身没问题，但是镜头里面的生活对我们来说有点遥远,相对剥夺,演讲 镜头 遥远
我来回复一下你吧，你可能不太清楚你所举出的发明都是家境殷实的人的创造，经历了无数次失败，无数次的金钱再投入。发明是由资本作为基础的。我们告诉年轻人，是因为我们就是年轻人，我们才是同类。踏入社会面临的是两三代人巩固的阶级壁垒。不要头破血流，安心发展一点自己的小爱好就可。当然如果你本身就是资本的后代当我没说，您过您的阳关道，我走我的独木桥。,群体对立,回复 举出 发明 家境 创造 经历 失败 金钱 投入 发明 资本 基础 告诉 年轻人 年轻人 同类 面临 阶级 壁垒 头破血流 安心 爱好 资本
共勉之吧,不良示范,共勉
这段话看出您真是踏实优秀的同龄人,不良示范,踏实 优秀 同龄人
老兄共勉,不良示范,老兄 共勉
我看这片里，除了蹦极跳伞出国潜水之类的玩不起，其他普通人没什么不能做到的啊？顶流老番茄是游戏解说，何同学是科技科普，有些是宅舞、小提琴，还有些生活区更是几乎没有门槛。您如果去看他们的早期视频的话，也可以看到一开始的视频都是很青涩的。大部分年轻人如果有心的话，是能够学会的吧？而且您是能够上站的，甚至能同时在站做到学习知识、技能，然后就能产出内容。就是因为他们站在风口获得成功，所以才会被树立为榜样，让我们去模仿啊？这些人也不是一开始就很帅，而是从和我们一样的人从发布了第一个视频以后不断改进而变帅的呀！如果您自己不觉得自己能变“帅”，也不打算打算去变“帅”的话，又如何能“帅”呢？你现在不是现在视频里的那些人，但视频里的那些人大部分的确都曾经是现在的你。,相对剥夺,蹦极跳 出国 潜水 普通人 顶流 番茄 游戏 解说 同学 科技 生活区 门槛 视频 视频 青涩 年轻人 有心 学会 上站 学习 知识 技能 产出 内容 风口 树立 榜样 模仿 发布 视频 变帅 打算 打算 视频 视频
时间，年轻人最大的财富，你懂得珍惜时间，就是说你是最大财富的支配者而不是挥霍者，你就是奔涌前行的奋斗者。不必活成前人期望的样子，也不必活成视频里的样子，用你的财富追逐你的梦想，活出自己的样子！,不良示范,时间 年轻人 财富 懂得 珍惜 时间 财富 支配者 挥霍者 奔涌 前行 奋斗者 活成 前人 期望 样子 活成 视频 样子 财富 追逐 梦想 样子
我还在复习准备期末考试我们只是普通人中的一员。,相对剥夺,复习 期末考试 普通人
回复  :抱确实大部分人都很普通，站成功是青年中的极少数，但这真的是很好的时代，至少可以去为自己爱的东西奋斗。所有年轻的劳动者加油(ง •̀_•́)ง,不良示范,回复 确实 成功 很好 时代 奋斗 年轻 劳动者 加油
回复  :才疏学浅，只能说一句辛苦了。感谢。,不良示范,回复 只能 辛苦 感谢
在此之前我也觉得我现在的工作和我的性格秉性都不符合 常常感叹自己 有时想像周围其他人一样 抛弃有想法的自己 当个任人宰割的无想法者 但又不甘心随波逐流 在好像很辛苦暂时看不到结果的现实社会 我想我们一定要坚持着自己的想法 和而不同！理解别人的同时 也要坚持着自己！半夜醒来突然想到一句 我们似乎总在追求青春 其实青春都在自己脚下！,不良示范,性格 秉性 符合 感叹 想像 抛弃 想法 想法 甘心 好像 辛苦 看不到 现实 社会 想法 理解 醒来 想到 追求
回复  :辛苦了！但我还是得说，这种辛苦很大程度上源于“战术勤奋，战略懒惰”。视频里的很多还只是学生，既要学习又要工作，请问您在学生时代做了什么？还有您有时间上站，翻到这条评论来回复我，您确定自己没有时间来学习一些东西来提升自己？所有人都很累，可机会只眷顾不怕苦不怕累的人，从这一点上，您是否在战术上勤奋都值得存疑。既然如此，就别抱怨为什么生活没有希望，是你自己放弃了希望。,不良示范,回复 辛苦 辛苦 很大 程度 源于 战术 勤奋 战略 懒惰 视频 学生 学习 请问 学生 时代 时间 翻到 评论 回复 时间 学习 提升 所有人 机会 眷顾 战术 勤奋 值得 存疑 抱怨 希望 放弃 希望
加油吧兄弟我也是一样,不良示范,加油 兄弟
我感觉只要有兴趣只要有参与其实也就是做出了贡献，主要是一种高于现实的精神。理想化不是错误的，如果将这种理想化作为自己的目标并且为之努力就算没有达到也比大多数人要更好了！加油，踏踏实实的年轻人必须要被满怀敬意,不良示范,感觉 兴趣 参与 做出 贡献 高于 现实 精神 理想化 错误 理想化 目标 努力 加油 年轻人 敬意
我想不管是哪一代的青年，都会有迷茫。而又终归成为世界的脊梁。迷茫，磨练，亦或者激情澎湃，唯身在其中，才可真正懂这一代人！,不良示范,世界 脊梁 激情 澎湃 一代人
我刚毕业从事土建的工作，看到国家的快速发展和强大的基础建设，疫情期间火神山雷神山等临时医院的建设，我感到无比的自豪，虽然我没有这些年轻优秀的主们过得洒脱，虽然我很羡慕他们的生活，但是为了生活我一定会坚持下去努力学习，我相信生活会越来越好。,不良示范,毕业 国家 强大 基础 疫情 火神 医院 感到 无比 自豪 年轻 优秀 主们 过得 洒脱 羡慕
每个人起码是昨天的自己的后浪，起码是自己父母的后浪，努力的认真的活着，超越昨天的自己甚至超越自己父母，不也是一种奔涌的后浪吗？,不良示范,起码 后浪 起码 父母 后浪 努力 活着 超越 超越 父母 奔涌 后浪
我个人觉得这部宣传片想要表达的就是希望我们能勇敢、自信，并没有说一定要求我们都去做视频里的那些，能在自己的岗位上发光发热，一点点进步就是奔涌的后浪了！,不良示范,宣传片 想要 表达 希望 勇敢 自信 视频 岗位 发光 发热 奔涌 后浪
回复  :我个人感觉后浪想要表达的就是希望我们能够勇敢和自信，并没有要求我们都去做视频里的那些，在自己的岗位上发光发热也是奔涌的后浪了，（不知道怎么称呼）哥哥加油咯,不良示范,回复 个人感觉 后浪 想要 表达 希望 勇敢 自信 视频 岗位 发光 发热 奔涌 后浪 称呼 加油
回复  :这才是生活常态。加油,不良示范,回复 常态 加油
回复  :我看到未来自己的影子 共勉 加油,不良示范,回复 影子 共勉 加油
我和你一样，加油吧。,不良示范,加油
回家了，先去看看奶奶，带一件妈妈喜欢的红色衣裳，给老爸带一声我很好，比以前好。这几年确实没什么成绩，买一条好烟孝敬孝敬。出去了我会好好工作，你们放心，要好好照顾身体，等我回来。,其他,回家 奶奶 妈妈 喜欢 红色 衣裳 老爸 确实 成绩 孝敬 孝敬 我会 放心 照顾 身体 回来
回复  :亲爱的？您好，您看我的回复了这么多人了，我也没喷谁，也很少被喷。我感到非常幸运1.针对您说的失败成本的问题：任何行业都有成功有失败，您说，要是马云当年失败了，他会陷入怎样的绝境呢？（尽管他现在人人喊打）现代社会是饿不死人的，失败了大可以再东山再起（当然，能东山再起的意志也只有少部分人有）。年轻人如果只想活命的话，大可以去鹤岗买房，去当清洁工，当采茶员。可是年轻人不愿意，就想要进城，想要面子，要努力工作换取积蓄以谋求阶层跃迁（当然，这不是坏事，我也想）那就起码就别把在这条路上成功的人批判一番啊... 2.针对您说的乐器问题：我仅仅举一个例子，实在不行，您上站翻找翻找，轻轻松松就能找到一大堆零成本（当然需要时间）的主。一切从模仿开始。生活区的自己写剧本自己演就可以，抖音快手这类的就更多了，快手上火起来的就是四线城市、乡村的这些人。（可惜这些人在知乎、站的“海底”们口中批判为“土嗨”）3.对于您说的眼界问题。能上站的诸位，我觉得不应该再拿眼界当借口了，互联网内人人平等，最起码也该知道模仿....除非您觉得那些都是在父母的熏陶下“你要去当啊！”才当的主。再说这些，一开始也不是出于眼界开当，比如现在站顶流老番茄，初中开始当主解说游戏（模仿另一位解说口袋妖怪，盗版资源，网上到处都是）一开始只不过是出于兴趣而已，没想到看的人不少，才开始准备多投入。互联网已经尽可能地把机会平等地放在能进入互联网的人面前了（极少数村通网的没办法，这是另一个问题）。,群体对立,回复 亲爱 回复 没喷 感到 幸运 失败 成本 行业 成功 失败 失败 陷入 绝境 社会 饿不死 失败 意志 年轻人 买房 清洁工 采茶 年轻人 想要 进城 想要 面子 努力 换取 积蓄 谋求 阶层 跃迁 坏事 起码 成功 批判 乐器 例子 实在 不行 翻找 翻找 找到 成本 时间 模仿 生活区 剧本 乡村 可惜 知乎 批判 眼界 眼界 借口 互联网 模仿 父母 眼界 开当 顶流 番茄 解说 游戏 模仿 解说 口袋妖怪 盗版 资源 兴趣 投入 互联网 机会 平等 放在 互联网 村通网 办法
看见了吗？这就是站，这就是我热爱它的原因，无时不刻传递着正能量！引领着我们的价值观！站不倒，陪你到老！奔涌吧，后浪！哔哩哔哩 - ( ゜- ゜)つロ 乾杯~哔哩哔哩 - ( ゜- ゜)つロ 乾杯~哔哩哔哩 - ( ゜- ゜)つロ 乾杯~,不良示范,热爱 原因 传递 能量 引领 价值观 奔涌 后浪 哔哩 哔哩 哔哩 哔哩 哔哩 哔哩
我发现视频里说老人们说一代不如一代，在这里我有一个疑问，中国的传统文化，包罗万象，视频里说暗含今天的年轻人，是有了担当，但是。我想问你不觉得视频中的所谓担当有些许片面吗？我觉得我们应当思考，今天的后浪，真的是视频中所描绘的那样吗？一代不如一代这句话我们放在文化与历史的角度上。今天，青年人的创新所带来的发展有目共睹，但是，我认为我们在原有文化的守护和继承上，嗯，并不好，追溯历史，我们不知道有多少门手艺被历史的洪流给冲刷掉了，但是今天，我们的很多手艺因为没有人继承，以至于失传，我相信看到这条评论的朋友或多或少是有了解的，再说继承，我想我接下来说的有朋友也会有了解，就是你传承和发展传统文化，你先要对这项艺术有足够的了解，不能以一己之见去曲解它，大家都知道“空穴来风”，这个成语他的原意是“空的洞穴容易引来风吹”它源自《风赋》想要了解的朋友可以看一下，而今义是比喻不存在的事，这个就不太恰当了，话，不要说得太满，鼓励年轻人是好的，我作为一个未成年，我看的也热血沸腾，但是我觉得说话应要字字斟酌。  可能我说得也很片面，如果有说错的地方，还请您告诉我，多谢，多谢。,相对剥夺,发现 视频 疑问 传统 文化 视频 暗含 年轻人 担当 视频 担当 片面 思考 后浪 视频 描绘 放在 文化 历史 角度 青年人 创新 带来 原有 文化 守护 继承 追溯 历史 手艺 历史 洪流 手艺 继承 失传 评论 朋友 继承 朋友 传承 传统 文化 艺术 足够 曲解 成语 洞穴 引来 风吹 源自 风赋 想要 朋友 比喻 鼓励 年轻人 说话 应要 字字 斟酌 片面 说错 地方 告诉
阿这个广告就是一个标签化的东西，那些优秀的人可以代表青年人，或者说代表青年中的精英，而不是代表“精英阶层的青年”。不知道那些这一点的人能否分清这两者的区别。一个宣传向的视频当然是片面的，可是在我看来，这恰恰是积极的一面，所以请不要苛责。那里面的主也都是展现着他们积极的一面，告诉你青年人的人生是可以这样的。生活的艰辛并不是只有你了解，你眼中再光鲜的人也面对着属于自己的难题。事实就是，随着社会的进步，选择的机遇就是比上一代在增加。这个增加或许很渺小，或许很多问题还没解决，但是你不能否定它，就像你不能否认社会还是有点进步的一样。然后，那些没那么光彩的地方谁来优化？解决问题对国家没有坏处，所以总是要有人解决的，未来仍然是现在的青年人去解决，试问改变从谁开始？如果青年人不思变，难道永远等着别人、等着下一代人去解决吗趁着年轻多观察、多思考，甚至可以多做点事，好处总比坏处多,不良示范,广告 标签 优秀 代表 青年人 代表 精英 代表 精英 阶层 分清 区别 视频 片面 苛责 展现 告诉 青年人 人生 艰辛 光鲜 面对 难题 事实 社会 选择 机遇 增加 增加 渺小 解决 否定 否认 社会 光彩 地方 解决问题 国家 坏处 解决 青年人 解决 试问 改变 青年人 思变 解决 年轻 观察 思考 做点事 坏处
"""奔涌吧！后浪！""",不良示范,奔涌 后浪
加油，目标不要太高的话，河北专接本还是很容易的,不良示范,加油 目标
少年强，则国强！少年富，则国富！少年强于欧洲，则中国强于欧洲！这是一百多年前的中国思想家梁启超说的话，那个时候中国正在处于积贫积弱的时期，被欧洲欺负，被美国欺负，连隔海相望的日本也可以在我们国家作威作福！为啥？他们强大啊！他们已经进入了工业文明，通过自身发展进入了世界强国！那他们资本哪里来的？年轻人！素质教育，爱国教育，思想教育！只有年纪人的教育才是立国之本，才是一个国家以后的未来！！年轻的时候是汲取知识，学习教育的时候，也是一个人塑造观念，塑造思想的时候！我们可以抱怨一下学习压力太大，但是这个不是你放弃学习的理由！父母老是希望我们好好学习，好好读书，父母的苦口婆心也是为了我们的未来着想！五四运动的青春风暴让那个羸弱的中国迎来了曙光，每一个青春的面孔成为了解放中国，建设中国，建设新时代不可或缺的力量！感谢中国，感谢党，感谢社会里面努力奋斗，前赴后继的人，让我们这些青春年华的人处在了一个最好的时代！60年代的前辈说70年代垮了，70年代的前辈说80年代人萎了，80年代的前辈说90年代的人废了，那90年代的前辈说我们00年代又是什么样的答案呢？所以，正在处于青春年华的我们应该努力学习，为了自己的未来而奋斗，不要给自己的未来找借口，我们这一代年轻人应该向那些质疑我们的前辈们大声说出：我们是成功的，我们是强大的，我们是祖国的未来，我们前途无量！站1亿正处于青春年华的年轻人，中国2-3亿的年轻人，让我们一起去开拓我们的未来，让我们成为祖国的乃至世界的栋梁之才！加油！青春！,不良示范,强于 强于 处于 时期 欺负 欺负 国家 作威作福 强大 工业 世界 强国 资本 年轻人 素质教育 思想 国家 年轻 汲取 知识 学习 塑造 观念 塑造 思想 抱怨 学习 压力 放弃 学习 理由 父母 希望 好好学习 读书 父母 着想 风暴 迎来 面孔 解放 时代 力量 感谢 感谢 感谢 社会 时代 前辈 前辈 前辈 前辈 答案 处于 奋斗 借口 年轻人 质疑 前辈 说出 成功 强大 祖国 处于 年轻人 年轻人 开拓 祖国 世界 加油
我有选择的权利，可我没有选择,相对剥夺,选择 权利 选择
突然想起了了站早些年拜年祭中的一句台词。为什么喜欢二次元，因为现实世界早已没有理想的容身之地了。我忘记原话是不是这样，不过大概这个意思。视频我看了没什么太深的感触，倒是有不少我喜欢的主，比如像影视飓风，彩蜂摄影生活杂志，何同学，，阿豪，当然还有很多以干货教程为主的并没出现。就连初中文凭的我，都可以做着影视相关从业者的工作，收入也还算不错，大家也别抱怨太多了。其实我也是个很丧的人，多年的中度抑郁症，但是日子总要过，看了很多人丧气的评论，我自己也有一丝同样的想法，如果是放在四五年前我可能也会跟他们说一样的话吧。可是我们是真的有选择的权利的，我文化不高，从底层摸爬滚打，都可以凭借着爱好，去攒钱买器材培养兴趣爱好，在站看各种相关的视频教程，科普学习。在站，你可以不花一分钱就学习到，，，，4等各种软件，甚至语言绘画舞蹈编程巴拉巴拉的，认真照照镜子看着自己，真的前路没有光明吗？不是有一大堆的选择可以走下去吗。不要因为起点不如别人就觉得怎么努力都没有，要知道起点在我们之前的人，都还在非常努力的提升自己。少给自己找借口，哪怕每天抽出一局游戏的时间放在自我兴趣爱好或者学术上的提升，都比说着丧气话干着丧气事来的要强。最后还要说再强调一下，你优秀的人每天都还在努力奋斗着，你又有什么理由原地踏步呢？加油吧！,不良示范,想起 了了 拜年 台词 喜欢 现实 世界 理想 忘记 原话 视频 感触 喜欢 影视 飓风 彩蜂 摄影 杂志 同学 干货 教程 文凭 影视 相关 从业者 收入 还算 不错 抱怨 很丧 日子 丧气 评论 想法 放在 选择 权利 文化 底层 爱好 攒钱 器材 培养 兴趣爱好 相关 视频教程 学习 一分钱 学习 软件 语言 绘画 舞蹈 编程 照镜子 看着 前路 光明 选择 起点 努力 起点 努力 提升 借口 抽出 游戏 时间 放在 兴趣爱好 学术 提升 丧气 要强 优秀 理由 加油
可惜啊，何冰老师你也始终只是扮演了宋慈啊。。。,其他,可惜 老师 扮演
作文考了这个来着 没看比较可惜 不然还能多得点分,不良示范,作文 可惜
怎么说呢，比较支持今年的观点，感觉去年的演讲都被弄鸡汤了,不良示范,比较支持 观点 感觉 演讲 鸡汤
