original_content,processed_content
　テスラは上海の都市封鎖によって現地工場が稼働停止に追い込まれた一方で、今春、米国やドイツの新工場で相次いで生産を開始した。テスラにＥＶ向け電池を供給しているパナソニックホールディングスも１４日、米国内に新工場を建設する計画を発表した。,テスラ 上海 都市 封鎖 現地 工場 稼働 停止 追い込ま 一方 今春 米国 ドイツ 工場 相次い 生産 開始 テスラ 向け 電池 供給 パナソニック ホールディングス 米国 工場 建設 計画 発表
Title: ［興論］三井ハイテック　三井康誠社長…電動車向け部品で存在感,三井ハイテック 三井 社長 電動 向け 部品 存在
温暖化を抑えるため、ハイブリッド車（ＨＶ）や電気自動車（ＥＶ）といった電動車の普及が加速する中、部品供給を担う 三井ハイテック （北九州市）が存在感を放っている。基盤となる金型づくりの技術力を生かし、電動車の性能を左右するモーターの中核部品「モーターコア」で約４割の世界シェア（市場占有率）を握り、業績は過去最高水準だ。三井康誠社長（５３）に強みや戦略を聞いた。（聞き手　経済部長・若松健一）,温暖 抑える ハイブリッド 電気 自動車 電動 普及 加速 部品 供給 担う 三井ハイテック 北九州 存在 放っ 基盤 づくり 技術 生かし 電動 性能 左右 モーター 中核 部品 モーターコア 世界 シェア 市場 占有 握り 業績 過去 最高 水準 三井 社長 強み 戦略 聞い 聞き手 経済 部長 若松 健一
　電動車のグローバル市場は、想定を超える速さ、力強さで成長しています。量的な規模だけではありません。地域的な広がりも勢いを感じます。自動車の電動化は不可逆的に進んでいくでしょう。,電動 グローバル 市場 想定 超える 力強 成長 量的 規模 ませ 地域 広がり 勢い 感じ 自動車 電動 不可逆 進ん いく でしょ
　モーターコア事業は、国内外で先行投資してきた工場の稼働率が上がり、売り上げ構成比が最も大きな分野に育ちました。当社は半導体の内部配線に使われる部品「リードフレーム」事業も手がけていますが、自動車に用いられる半導体もすごく増えていて、電動車向けがどんどん伸びています。,モーター コア 事業 国内外 先行 投資 工場 稼働 上がり 売り上げ 構成 最も 分野 育ち まし 当社 半導体 内部 配線 使わ 部品 リード フレーム 事業 手がけ 自動車 用い 半導体 すごく 増え 電動 向け どんどん 伸び
三井ハイテックの２０２２年１月期連結決算は売上高が前期比４３％増の１３９４億円、最終利益は４・５倍の１１７億円といずれも過去最高を記録し、２３年１月期も増収増益を見込む。電動車用のモーターコアは、１９９７年にトヨタ自動車のＨＶ「プリウス」向けに金型を開発して以降、日産自動車やホンダといった大手メーカーにも供給。モーターコア事業の売り上げ構成比は５割を超える,三井ハイテック 連結 決算 売上 前期 最終 利益 いずれ 過去 最高 記録 増収 増益 見込む 電動 モーター コア トヨタ自動車 プリウス 向け 開発 以降 日産自動車 ホンダ 大手 メーカー 供給 モーター コア 事業 売り上げ 構成 超える
　電動車向けモーターコアの特徴は、厚さ０・２５～０・３５ミリといった薄い電磁鋼板を使う点にあります。これを金型で打ち抜き、一般的に２００枚以上を積み重ねて部品をつくる。鋼板が薄ければ薄いほどエネルギーロスが少なく、効率の良いモーターになるんですね。,電動 向け モーター コア 特徴 ミリ 薄い 電磁 鋼板 使う 打ち抜き 一般 以上 積み重ね 部品 つくる 鋼板 薄けれ 薄い エネルギー ロス 少なく 効率 良い モーター
　ただ、この打ち抜きが難関なんです。材質が硬くてもろく、さらに薄い鋼板を一枚一枚、設計図通りに打ち抜くのは非常に難しい。極めて精度の高い金型が必要で、求められる調整レベルは１０００分の１ミリ以下です。長年培った技術によって、こうした精密な金型をつくれることが、大きな強みになっています。,打ち抜き 難関 材質 硬く もろく 薄い 鋼板 設計 通り 打ち抜く 非常 難しい 極めて 精度 高い 必要 求め 調整 レベル ミリ 以下 長年 培っ 技術 精密 つくれる 強み
　打ち抜いた鋼板は、適正な形状に積み重ねて部品のかたまりをつくり、針のないホチキスのように力で押し込んではめ合わせる。各工程の精度を満たしながら自動で一貫生産し、モーターコア製造のスピードアップにつなげています。電動車向けは直径がおおむね２００～３００ミリと大きく、精度を保つハードルは高くなりますが、安定した品質の製品を供給しています。,打ち抜い 鋼板 適正 形状 積み重ね 部品 かた まり つくり ホチキス 押し込ん はめ 合わせる 工程 精度 満たし 自動 一貫 生産 モーター コア 製造 スピードアップ つなげ 電動 向け 直径 おおむね ミリ 大きく 精度 保つ ハードル 高く 安定 品質 製品 供給
　モノづくりで努力を重ね、今までできなかったことができる。それが世の中の役に立つ。そうした達成感を追い求める姿勢が受け継がれています。必要なものがなければ、自分たちでつくろうという「創意工夫」を大切にしている。,モノ づくり 努力 重ね 世の中 役に立つ 達成 追い求める 姿勢 受け継が 必要 なけれ 自分 つくろ 創意 工夫 大切
　要となる金型部門を中心に、独自の技能検定制度も設けています。技能の習得はもとより、技術者の志の高さをはぐくむ意義も大きい。さまざまな工程を担う人たちがみずからの仕事に誇りを持ち、 研鑽けんさん を続け、ベストをめざしていく。そうした仕組みが会社の進化には重要です。,部門 中心 独自 技能 検定 制度 設け 技能 習得 もとより 技術 はぐくむ 意義 大きい さまざま 工程 担う みずから 仕事 誇り 持ち 研鑽 けんさん 続け ベスト めざし いく 仕組み 会社 進化 重要
　電動車市場が広がるほどにモーターコアの競争も激しくなるでしょう。それでも 切磋琢磨せっさたくま して性能の高い製品が普及すれば、地球環境の保全に貢献できる。トレンドに乗るのではなく、何のためにやるかを考えたい。正しいことのために絶対やりきる気持ちを持てば、困難を突破するエネルギーや知恵がわきます。,電動 市場 広がる モーター コア 競争 激しく でしょ 切磋琢磨 せっさたくま 性能 高い 製品 普及 すれ 地球 環境 保全 貢献 トレンド 乗る やる 考え たい 正しい 絶対 やり きる 気持ち 持て 困難 突破 エネルギー 知恵 わき
　電動車の潮流についていけるよう、日本、中国、北米、欧州の主要４拠点でモーターコアの生産能力を増強し、事業の拡大を図ります。競争力を磨き、勝負すべき市場を選びながら、最大限のシェアを狙っていきます。,電動 潮流 ついていける 日本 中国 北米 欧州 主要 拠点 モーター コア 生産 能力 増強 事業 拡大 図り 競争 磨き 勝負 べき 市場 選び 最大限 シェア 狙っ いき
　本社を置く北九州市は、モノづくりの街として製造業への期待や理解度が高い。けれども、域外へ流出する工学系の学生が多い状況です。我々の生産活動でも重要なプロセスを担い、グローバル展開を支えるのは本社周辺のエンジニアなんですね。会社の成長とともに、世界へ羽ばたこうとする若手人材が、地元で働きがいを持って活躍できる場を提供できるはずですし、そうしたいと考えています。,本社 置く 北九州 モノ づくり 製造 期待 理解 高い 域外 流出 工学 学生 多い 状況 生産 活動 重要 プロセス 担い グローバル 展開 支える 本社 周辺 エンジニア 会社 成長 世界 羽ばたこ 若手 人材 地元 働きがい 持っ 活躍 提供 はず そう たい 考え
Title: 中国要人の避暑地「北戴河」、テスラ車を進入禁止に…搭載カメラを警戒か,中国 要人 避暑 北戴河 テスラ 進入 禁止 搭載 カメラ 警戒
【北京＝比嘉清太】ロイター通信は２０日、中国河北省の避暑地・北戴河で７月１日から、米電気自動車（ＥＶ）大手テスラの車両の進入が２か月以上禁止されると伝えた。地元の交通警察関係者の話として報じたもので「国事」に関する措置だと語ったという。,北京 比嘉 ロイター通信 中国 河北 避暑 北戴河 電気 自動車 大手 テスラ 車両 進入 か月 以上 禁止 伝え 地元 交通 警察 関係 報じ 国事 措置 語っ
　北戴河は、党幹部や引退した長老らが集まり、人事や政策について意見交換や調整を行う舞台となってきたとされる。夏に警備が強化されるのが通例だ。党内では、 習近平シージンピン 国家主席が３期目政権をにらむ今年後半の党大会を控え、今夏も要人が北戴河に集まるとの見方がある。,北戴河 幹部 引退 長老 集まり 人事 政策 意見 交換 調整 行う 舞台 警備 強化 通例 党内 習近 シージンピン 国家 主席 政権 にらむ 今年 後半 大会 控え 今夏 要人 北戴河 集まる 見方
　ロイターによると、テスラの車両をめぐっては、搭載されたカメラに関する安全上の懸念から中国軍が昨年、関連施設への進入を禁止。今月上旬に習氏が四川省成都市を視察した際も、現地でテスラ車の走行が禁じられたという。,ロイター よる テスラ 車両 搭載 カメラ 安全 懸念 中国 昨年 関連 施設 進入 禁止 今月 上旬 習氏 四川 都市 視察 現地 テスラ 走行 禁じ
Title: レクサス電動化加速、ＲＸにＰＨＶ投入へ,レクサス 電動 加速 投入
トヨタ自動車は１日、高級車ブランド「レクサス」のスポーツ用多目的車（ＳＵＶ）「ＲＸ」で、家庭などで充電できるプラグインハイブリッド車（ＰＨＶ）を発売すると発表した。日本では秋ごろに発売し、北米や中国にも投入する。レクサスは２０３５年に全て電気自動車（ＥＶ）にする計画で、電動化を加速させる。（藤井竜太郎）,トヨタ自動車 高級 ブランド レクサス スポーツ 多目的 家庭 充電 プラグインハイブリッド 発売 発表 日本 ごろ 発売 北米 中国 投入 レクサス 全て 電気 自動車 計画 電動 加速 藤井 竜太郎
　トヨタが都内で開いた新型車披露会で、ＲＸ開発責任者の大野貴明チーフエンジニアは、ＰＨＶ投入の理由として、「コア（中核）モデルの使命として求められる多様性に応えた」と説明した。脱炭素化という目標に向け、レクサスの世界販売の約３割を占めるＲＸで、ユーザーの選択肢を増やす必要があるとの認識を示したものだ。,トヨタ 都内 開い 新型 披露 開発 責任 大野 貴明 チーフ エンジニア 投入 理由 コア 中核 モデル 使命 求め 多様 応え 説明 炭素 目標 向け レクサス 世界 販売 占める ユーザー 選択肢 増やす 必要 認識 示し
　新型ＲＸは５代目で、ガソリン車とハイブリッド車（ＨＶ）、ＰＨＶの３種類を展開する。レクサスのＰＨＶは、２１年に発売したＳＵＶ「ＮＸ」の新型に次いで２車種目だ。,新型 ガソリン ハイブリッド 種類 展開 レクサス 発売 新型 車種
　ＨＶとＰＨＶには、電気自動車（ＥＶ）専用モデル「ＲＺ」向けに開発した新たな四輪駆動システムを採用した。運転状況や路面状態に応じて前後の駆動力を自動でコントロールし、新たなハイブリッドシステムと組み合わせることで、伸びやかな加速を実現した。,電気 自動車 専用 モデル 向け 開発 新た 駆動 システム 採用 運転 状況 路面 状態 応じ 前後 駆動 自動 コントロール 新た ハイブリッド システム 組み合わせる 伸びやか 加速 実現
　約７年ぶりの全面改良に向け、トヨタは愛知県の「トヨタテクニカルセンター下山」のテストコースで改良を重ねてきた。プロのレーシングドライバーも開発に加わり、乗り心地や走行性能を高めた。,ぶり 全面 改良 向け トヨタ 愛知 トヨタテクニカルセンター 下山 テスト コース 改良 重ね プロ レーシングドライバー 開発 加わり 乗り 心地 走行 性能 高め
　ガソリン車などに比べて、一般的にＰＨＶやＥＶは価格が高く、高級車から普及していくとの見方が多い。トヨタがレクサスの電動化を急ぐのはそのためだ。,ガソリン 比べ 一般 価格 高く 高級 普及 いく 見方 多い トヨタ レクサス 電動 急ぐ
　レクサスの２１年の世界販売台数は前年比５・７％増の７６万１２台で、１９年に次いでこれまでで２番目に多かった。 牽引けんいん 役となったのは、ＨＶも含めた電動車（約２６万台）で、３分の１以上を占めた。特に主力市場の北米や中国では電動車の需要が盛り上がりを見せている。,レクサス 世界 販売 台数 前年 多かっ 牽引 けん いん 含め 電動 以上 占め 主力 市場 北米 中国 電動 需要 盛り上がり 見せ
　欧米や中国勢に後れをとってきた高級ＥＶ市場でも、巻き返しを図る。初のＥＶ専用モデル「ＲＺ」を今冬以降、日本や北米、欧州、中国などで順次、発売する。,欧米 中国 後れ とっ 高級 市場 巻き返し 図る 専用 モデル 今冬 以降 日本 北米 欧州 中国 順次 発売
　トヨタは３０年にレクサスのＥＶ販売を１００万台まで伸ばす目標を掲げており、３５年には全レクサスをＥＶにする方針だ。今後もレクサスの電動車を次々と投入していく予定で、ラインアップを強化し、さらに弾みをつけたい考えだ。,トヨタ レクサス 販売 伸ばす 目標 掲げ レクサス 方針 今後 レクサス 電動 次々 投入 いく 予定 ライン アップ 強化 弾み つけ たい 考え
　レクサスを担当する佐藤恒治執行役員は、「ＲＺの開発で培った電動化技術をすべてのレクサス電動車に展開していく」と話している。,レクサス 担当 佐藤 恒治 執行 役員 開発 培っ 電動 技術 すべて レクサス 電動 展開 いく 話し
　レクサスは１９８９年に米国で販売が始まった。それまでのトヨタは大衆車メーカーのイメージが強かったが、投入された「ＬＳ４００」（日本では「セルシオ」として販売）や「ＥＳ２５０」は圧倒的な走行性能、上質な室内空間などが高く評価された。翌９０年に行われた米調査会社による品質調査では、ブランド別で全米１位となった。,レクサス 米国 販売 始まっ トヨタ 大衆 メーカー イメージ 強かっ 投入 日本 セルシオ 販売 圧倒的 走行 性能 上質 室内 空間 高く 評価 行わ 調査 会社 品質 調査 ブランド 全米
　９６年には初のＳＵＶ「ＬＸ」（日本では「ランドクルーザー」）が発売され、９８年発売の「ＲＸ」（ハリアー）も大ヒットした。高級車ブランドとしての地歩を固め、２００５年には日本でも販売を開始した。,日本 ランド クルーザー 発売 発売 ハリアー ヒット 高級 ブランド 地歩 固め 日本 販売 開始
　リーマン・ショック後に一時、販売台数が落ち込んだものの、１０年からはおおむね順調に販売を伸ばしており、近年は世界最大の市場となった中国でも人気が拡大している。,リーマン ショック 一時 販売 台数 落ち込ん おおむね 順調 販売 伸ばし 近年 世界 最大 市場 中国 人気 拡大
　レクサスの２１年までの累計販売台数は約１２１７万台で、車種別にみると、ＲＸが約３５０万台で最も多く、ＥＳが約２８０万台、ＩＳ（アルテッツァ）が１２０万台で続く。地域別では、米国が約７０４万台、中国が約１５８万台、欧州が約１０８万台、日本が約７０万台だった。,レクサス 累計 販売 台数 車種 みる 最も 多く アルテッツァ 続く 地域 米国 中国 欧州 日本
Title: 中国ＢＹＤ、日本向け新型ＥＶバス開発…航続距離伸びバッテリー容量増加,中国 日本 向け 新型 バス 開発 航続 距離 伸び バッテリー 容量 増加
中国の電気自動車（ＥＶ）大手ＢＹＤは、日本市場向けの大型・小型ＥＶバスの新型車両を開発した。安全性を確保し、航続距離は大型が約２７０キロ・メートル、小型が約２２０キロ・メートルと従来型よりもそれぞれ２０キロ・メートル長くなったという。,中国 電気 自動車 大手 日本 市場 向け 大型 小型 バス 新型 車両 開発 安全 確保 航続 距離 大型 キロ メートル 小型 キロ メートル 従来 キロ メートル 長く
　ＢＹＤは２０１５年に国内市場でＥＶバスを投入し、高い占有率がある。小型バスは狭い道路がある路線や地域のコミュニティーバスとしての利用に適している。今回の改良で、バッテリーの容量が増え、航続距離が伸びた。,国内 市場 バス 投入 高い 占有 小型 バス 狭い 道路 路線 地域 コミュニティー バス 利用 適し 今回 改良 バッテリー 容量 増え 航続 距離 伸び
　納車は２３年末に始める見通し。ＢＹＤジャパンの花田晋作副社長は「航続距離が伸びたことで、（路線バスの）事業性のメリットも増える」と説明している。,納車 年末 始める 見通し ジャパン 花田 晋作 社長 航続 距離 伸び 路線 バス 事業 メリット 増える 説明
Title: トヨタ世界生産計画、最高の９７０万台…国内は３年ぶりに３００万台を回復,トヨタ 世界 生産 計画 最高 国内 ぶり 回復
トヨタ自動車は、２０２２年度の世界生産計画が、トヨタとレクサスの両ブランドで、過去最高の９７０万台になると発表した。国内は３年ぶりに３００万台を回復する。世界的な半導体不足を含め、サプライチェーン（供給網）の維持が今後も課題になる。（藤井竜太郎）,トヨタ自動車 年度 世界 生産 計画 トヨタ レクサス ブランド 過去 最高 発表 国内 ぶり 回復 世界 半導体 不足 含め サプライ チェーン 供給 維持 今後 課題 藤井 竜太郎
　世界生産は、これまでで最高だった１６年度の９０８万台を６年ぶりに上回る。国内が９％増の３００万台、海外が１５％増の６７０万台になる見通しだ。トヨタの山本正裕・経理本部長は１１日の決算記者会見で、「新型コロナウイルスの影響や半導体（不足）など、現時点でわかっていることを織り込んだ」と説明した。,世界 生産 最高 年度 ぶり 上回る 国内 海外 見通し トヨタ 山本 正裕 経理 本部 決算 記者 会見 新型 コロナ ウイルス 影響 半導体 不足 現時点 わかっ 織り込ん 説明
　トヨタは国内生産の「３００万台」を、雇用と技術を伝承していくための目安と位置づけている。コロナ禍や半導体不足などで工場の稼働停止が相次ぐ中でも、生産や人員は３００万台に必要な水準を維持してきた。今年度に再び大台を超えることで、世界で競争力を高める源泉としたい考えだ。,トヨタ 国内 生産 雇用 技術 伝承 いく 目安 位置づけ コロナ 半導体 不足 工場 稼働 停止 相次ぐ 生産 人員 必要 水準 維持 今年度 再び 大台 超える 世界 競争 高める 源泉 たい 考え
　もっとも、自動車メーカーを取り巻く環境は厳しい。トヨタであっても計画通りに進めるのは簡単ではない。トヨタは１月時点で、経済活動が正常化に向かう各地の需要を取り込み、部品メーカーに１１００万台になるとの見通しを示していた。,自動車 メーカー 取り巻く 環境 厳しい トヨタ 計画 通り 進める 簡単 トヨタ 時点 経済 活動 正常 向かう 各地 需要 取り込み 部品 メーカー 見通し 示し
　しかし、長引く供給網の混乱を受け、豊田章男社長は３月に４～６月の生産計画を「意志ある踊り場」として、現実に即したものに見直す考えを表明していた。２２年度の生産計画を１月時点よりも引き下げたのはこのためだ。,長引く 供給 混乱 受け 豊田 章男 社長 生産 計画 意志 踊り場 現実 即し 見直す 考え 表明 年度 生産 計画 時点 引き下げ
　中国では政府の「ゼロコロナ」政策によって、上海などの主要都市が封鎖（ロックダウン）された。このため、トヨタの国内工場は今月、一部停止に追い込まれる。ロシアのウクライナ侵攻などで物価の上昇も加速しており、欧米の景気を押し下げる可能性も指摘されている。,中国 政府 ゼロ コロナ 政策 上海 主要 都市 封鎖 ロック ダウン トヨタ 国内 工場 今月 一部 停止 追い込ま ロシア ウクライナ 侵攻 物価 上昇 加速 欧米 景気 押し下げる 可能 指摘
　トヨタの長田准執行役員は１１日の記者会見で「（コロナからの回復の）プラス要因とマイナス要因が混ざりながら今期は進行していくのではないか」と指摘した。,トヨタ 長田 執行 役員 記者 会見 コロナ 回復 プラス 要因 マイナス 要因 混ざり 今期 進行 いく 指摘
　トヨタは世界販売計画についても４・１％増の９９０万台になるとした。２０１８年度の９５４万台を上回って過去最高を更新する見通しだ。ハイブリッド車（ＨＶ）や電気自動車（ＥＶ）などの「電動車」は計３０７万台となり、全体の販売に占める割合（３１・０％）は初めて３割を超える。,トヨタ 世界 販売 計画 年度 上回っ 過去 最高 更新 見通し ハイブリッド 電気 自動車 電動 全体 販売 占める 割合 初めて 超える
　内訳はＨＶが１０・９％増の２８４・５万台、プラグインハイブリッド車（ＰＨＶ）が７・８％増の１２・５万台で、欧米や中国で市場が拡大しているＥＶは、約５・９倍の９・５万台を見込む。,内訳 プラグインハイブリッド 欧米 中国 市場 拡大 見込む
　トヨタの前田昌彦副社長は１１日の決算記者会見で、ＨＶについて「原油価格の高騰もあって今後も伸びていくと思うし、伸ばしていくべきだと考えている」とした。ＥＶについても「動きの加速度が増しており、期待値も高まっている」と述べた。,トヨタ 前田 昌彦 社長 決算 記者 会見 原油 価格 高騰 今後 伸び いく 思う 伸ばし いく べき 考え 動き 加速度 増し 期待 高まっ 述べ
Title: ＥＶ競争激化　日本の出遅れどう挽回するか,競争 激化 日本 出遅れ どう 挽回
電気自動車（ＥＶ）の競争が世界で激化している。出遅れが目立つ日本メーカーは開発と販売の戦略を一段と強化し、競争力を高めてほしい。,電気 自動車 競争 世界 激化 出遅れ 目立つ 日本 メーカー 開発 販売 戦略 一段と 強化 競争 高め ほしい
　ホンダは４月、今後１０年間でＥＶとソフトウェアの開発に５兆円を投じると発表した。２０３０年までに３０車種のＥＶを売り出す。また、ソニーグループと合弁会社を設け、共同開発したＥＶを２５年に発売する計画だ。,ホンダ 今後 年間 ソフトウェア 開発 投じる 発表 車種 売り出す ソニー グループ 合弁 会社 設け 共同 開発 発売 計画
　トヨタ自動車は、高級車「レクサス」で初のＥＶ専用車を発表した。トヨタは３５年にレクサス車を全てＥＶにする方針で、ＥＶでのブランド確立を急ぐ考えだ。,トヨタ自動車 高級 レクサス 専用 発表 トヨタ レクサス 全て 方針 ブランド 確立 急ぐ 考え
　独メルセデス・ベンツやスウェ,メルセデス・ベンツ スウェ
ーデンのボルボ・カーなど、欧州メーカーはすでに次々とＥＶへの移行を表明している。中国では、５０万円前後の低価格ＥＶが大ヒットしているという。ＥＶ化の流れは世界で急速に進んでいる。,ーデン ボルボ カー 欧州 メーカー すでに 次々 移行 表明 中国 前後 価格 ヒット 流れ 世界 急速 進ん
　日本勢も、ガソリン車で定評のある性能の高さをＥＶでも維持し、着実に販売を増やしたい。,日本 ガソリン 定評 性能 維持 着実 販売 増やし たい
　世界のＥＶ販売台数は、２１年に前年の２倍強の約４６０万台にまで伸びた。現状では、日本のメーカーは劣勢にある。,世界 販売 台数 前年 伸び 現状 日本 メーカー 劣勢
　世界１位の米テスラは２１年のＥＶ販売台数が約１００万台だったが、日本勢トップの日産自動車・仏ルノー・三菱自動車連合は２６万台で、トヨタとホンダは２万台以下にとどまっている。,世界 テスラ 販売 台数 日本 トップ 日産自動車 ルノー 三菱自動車 連合 トヨタ ホンダ 以下 とどまっ
　国内市場の伸び悩みが一因だろう。中国や欧州では２１年に新車販売の１０％程度をＥＶが占めたが、日本では１％を下回っている。,国内 市場 伸び悩み 一因 だろ 中国 欧州 新車 販売 程度 占め 日本 下回っ
　各国は二酸化炭素を出すガソリン車への規制を強め、ＥＶの普及を補助金や減税で推進している。日本政府も、充電インフラの整備を促進するほか、補助金や税制優遇を拡充し、国内市場の拡大を後押しする必要がある。,各国 二酸化炭素 出す ガソリン 規制 強め 普及 補助 減税 推進 日本 政府 充電 インフラ 整備 促進 補助 税制 優遇 拡充 国内 市場 拡大 後押し 必要
　その上で、各社が量産化によるコスト低減を通じ、ＥＶの低価格化を図ることが重要だ。ホンダとソニーのように、異業種連携などを通じて魅力ある車を作り出す試みを広げることも望まれる。,各社 量産 コスト 低減 通じ 価格 図る 重要 ホンダ ソニー 業種 連携 魅力 作り出す 試み 広げる 望ま
　基幹部品である電池の技術開発を加速することも不可欠だ。航続距離が長く、安全性に優れた次世代型の全固体電池の開発では、日本がリードしているという。実用化を急いでもらいたい。,基幹 部品 電池 技術 開発 加速 不可欠 航続 距離 長く 安全 優れ 次世代 固体 電池 開発 日本 リード 実用 急い もらい たい
　一方で、ＥＶの普及に伴い、ガソリン車と比べて必要な部品点数が大幅に減るため、部品メーカーの経営や雇用に悪影響が及ぶと懸念されている。政府は部品産業の動向に目を配り、事業転換などの支援に取り組むことが大切だ。,普及 伴い ガソリン 比べ 必要 部品 点数 大幅 減る 部品 メーカー 経営 雇用 悪影響 及ぶ 懸念 政府 部品 産業 動向 配り 事業 転換 支援 取り組む 大切
Title: ＥＶなどのバッテリー工場、国内新設コストが中国・北米の２倍以上…政府が追加支援策検討,バッテリー 工場 国内 新設 コスト 中国 北米 以上 政府 追加 支援 検討
電気自動車（ＥＶ）や再生可能エネルギーの普及に欠かせない蓄電池の製造工場を国内に建てる際の民間投資負担が、中国や北米の２倍以上に上ることが分かった。蓄電池の業界団体・電池サプライチェーン協議会が４月に行った会員アンケートで明らかになった。,電気 自動車 再生 可能 エネルギー 普及 欠か 蓄電池 製造 工場 国内 建てる 民間 投資 負担 中国 北米 以上 上る 分かっ 蓄電池 業界 団体 電池 サプライ チェーン 協議 行っ 会員 アンケート 明らか
　中国や北米は土地の取得費用が国内より安いケースが多く、建屋や設備にかかる投資の半分程度を政府や地方自治体が補助している。工場の誘致が雇用や税収増につながるためだ。米国は昨年、蓄電池の供給網整備に７０億ドル（約９０００億円）支援することを決めた。各国が蓄電池分野の競争力を強化しようと財政支出を拡大している。,中国 北米 土地 取得 費用 国内 安い ケース 多く 建屋 設備 かかる 投資 半分 程度 政府 地方自治体 補助 工場 誘致 雇用 税収 つながる 米国 昨年 蓄電池 供給 整備 ドル 支援 決め 各国 蓄電池 分野 競争 強化 しよ 財政 支出 拡大
　日本政府は２０３０年時点の国内製造能力を２０年の約７倍となる１５０ギガ・ワット時へ高める計画を立てた。国内では６ギガ・ワット時の車載用電池製造ラインを作るのに約１０００億円の投資が必要とされており、政府は追加の支援策を検討している。,日本 政府 時点 国内 製造 能力 ギガ ワット 高める 計画 立て 国内 ギガ ワット 車載 電池 製造 ライン 作る 投資 必要 政府 追加 支援 検討
Title: 【独自】蓄電池生産「２０３０年までに２０倍に」…補助金拡充し世界シェア維持へ,独自 蓄電池 生産 補助 拡充 世界 シェア 維持
政府は、国内企業の蓄電池製造を後押しするために、２０３０年に６００ギガ・ワット時の生産能力を確保する目標を設定する。２０年の２０倍となる高い目標で、民間企業の投資を促す補助金を拡充し、世界の市場占有率（シェア）を維持する。原材料の調達で優位になることを期待する。,政府 国内 企業 蓄電池 製造 後押し ギガ ワット 生産 能力 確保 目標 設定 高い 目標 民間 企業 投資 促す 補助 拡充 世界 市場 占有 シェア 維持 原材料 調達 優位 期待
　蓄電池は電気自動車（ＥＶ）のほか、太陽光や風力発電といった再生可能エネルギーの普及に欠かせない。経済産業省が近く目標を示し、夏までにまとめる政府の蓄電池産業戦略に支援策を盛り込む。,蓄電池 電気 自動車 太陽光 風力 発電 再生 可能 エネルギー 普及 欠か 経済 産業 近く 目標 示し まとめる 政府 蓄電池 産業 戦略 支援 盛り込む
　目標では、３０年までに国内に１５０ギガ・ワット時の生産態勢をつくる。これまでは、車載用を念頭に、１００ギガ・ワット時の能力を目標にしてきた。残り４５０ギガ・ワット時は、海外生産を想定している。,目標 国内 ギガ ワット 生産 態勢 つくる 車載 念頭 ギガ ワット 能力 目標 残り ギガ ワット 海外 生産 想定
　車載用の製造ラインを国内に作る場合、６ギガ・ワット時で、約１０００億円の投資が必要とされる。達成には、単純計算で１０兆円規模が必要となる。今後、数年間にわたって民間投資を促す補助金を拡充する方針だ。,車載 製造 ライン 国内 作る 場合 ギガ ワット 投資 必要 達成 単純 計算 規模 必要 今後 年間 民間 投資 促す 補助 拡充 方針
　日本の車載用蓄電池の世界シェアは１５年には４割を占めてトップだったが、２０年には中国や韓国勢に押されて、２割まで低下した。原料となるレアメタル（希少金属）の確保を巡って、各国の競争は激しくなっている。一定のシェアを占めることで、材料確保に一定の影響力を持たせることを目指す。,日本 車載 蓄電池 世界 シェア 占め トップ 中国 韓国 押さ 低下 原料 レアメタル 希少 金属 確保 巡っ 各国 競争 激しく 一定 シェア 占める 材料 確保 一定 影響 持た 目指す
　当面はリチウムイオン電池が製造の主体となるが、３０年頃には安全性に優れる「全固体電池」の実用化を目指すことも戦略に書き込む。,当面 リチウム イオン 電池 製造 主体 年頃 安全 優れる 固体 電池 実用 目指す 戦略 書き込む
Title: トヨタ電動車、世界累計販売２千万台突破…「プリウス」から２５年で達成,トヨタ 電動 世界 累計 販売 突破 プリウス 達成
トヨタ自動車は３０日、ハイブリッド車（ＨＶ）など電動車の世界累計販売台数が２月末で２０００万台を突破したと発表した。世界初の量産ＨＶ「プリウス」を発売した１９９７年から約２５年で達成した。世界的な脱炭素化の流れを受け、販売ペースはさらに加速している。,トヨタ自動車 ハイブリッド 電動 世界 累計 販売 台数 月末 突破 発表 世界 量産 プリウス 発売 達成 世界 炭素 流れ 受け 販売 ペース 加速
　トヨタは２月末時点でＨＶ、エンジンと大容量の電池を積むプラグインハイブリッド車（ＰＨＶ）、水素で走る燃料電池車（ＦＣＶ）、電気自動車（ＥＶ）を計２００３万２５８８台販売した。,トヨタ 月末 時点 エンジン 容量 電池 積む プラグインハイブリッド 水素 走る 燃料 電池 電気 自動車 販売
　このうち、国内が約８００万台、海外は約１２００万台だった。北米や中国を中心に販売を伸ばした。現在は約１００か国で６３車種の電動車を販売している。　トヨタは２０１７年、ＨＶとＰＨＶの世界累計販売台数が計１０００万台に到達。２０００万台はそれから５年で達成した。,国内 海外 北米 中国 中心 販売 伸ばし 現在 か国 車種 電動 販売 トヨタ 世界 累計 販売 台数 到達 達成
　トヨタは電動車の国内販売割合を、２１年時点の３８・３％から３０年には９５％に引き上げる計画だ。世界的に競争が激化しているＥＶは、３０年の世界販売目標を３５０万台としている。,トヨタ 電動 国内 販売 割合 時点 引き上げる 計画 世界 競争 激化 世界 販売 目標
Title: レクサス販売７６万台　過去２番目の多さ,レクサス 販売 過去 番目
