评论,fenci,情感分类,主题概率,主题类型
目前3以下的笔记本很少有货的，这个相对来说还算可以。配置比较全，带摄像头，整体做工尚可，装版的系统很容易搞定。,笔记本 有货 相对来说 配置 摄像头 整体 做工 尚可 装版 系统 搞定,pos,"[(8, 0.9225761)]",8
"配置高价格低,自带的三星2-1-800内存,质量比前段时间东京卖的同方80摸具提高不少,轻触功能键高技术含量,烤漆面板很大气,散热还可以",配置 价格低 自带 三星 内存 质量 前段时间 东京 同方 提高 轻触 功能键 技术含量 烤漆 面板 很大 散热,pos,"[(8, 0.4262598), (9, 0.52607745)]",9
买完就降，哎 郁闷不，还可以咯，三星屏，反正感觉还行，能用就  339546 有使用的朋友一起交流交流，基本没出啥问题,买完 郁闷 三星 反正 感觉 能用 朋友 交流 交流 没出,pos,"[(10, 0.10958969), (13, 0.81243336)]",13
虽说费了九牛二虎之力才把系统装上，感觉用着不错，速度很快，散热还好，屏幕完美屏，色彩显示不错。,九牛二虎之力 系统 感觉 不错 速度 很快 散热 还好 屏幕 完美 色彩 显示 不错,pos,"[(12, 0.9336586)]",12
"性价比非常高,2999元,能够配置比较高的笔记本电脑.非常合算.基本上的配置都有了.",性价比 配置 笔记本电脑 合算 配置,pos,"[(0, 0.011910179), (1, 0.011910101), (2, 0.011910129), (3, 0.011910103), (4, 0.011910152), (5, 0.011910107), (6, 0.011910083), (7, 0.8451685), (8, 0.011910141), (9, 0.011910098), (10, 0.011910138), (11, 0.01191009), (12, 0.011910103), (13, 0.011910104)]",7
性价比高，用过10寸的270上网本再用这14寸全尺寸键盘的，舒坦多了呵呵。,性价比 上网 尺寸 键盘 舒坦,pos,"[(0, 0.011946554), (1, 0.011946648), (2, 0.011946574), (3, 0.011946604), (4, 0.011946615), (5, 0.0119465655), (6, 0.01194658), (7, 0.011946625), (8, 0.52101886), (9, 0.011946633), (10, 0.011946683), (11, 0.011946759), (12, 0.011946625), (13, 0.33562165)]",8
全新的外观和16:9宽屏设计，采用当前主流的45芯及16:9黄金比例宽屏，紧跟随市面主流脚步。整机线条很圆润，“”内嵌盖正中央，灯管的照射下显得十分抢眼，屏幕方面则跟随主流市场，采用14寸背光屏，显示效果相当好，16：9规格的分辨率也更好地配合了高清影音，尤其值得称赞的是键盘运用了类似索尼笔记本特色的巧克力键盘，键位突出，并且多媒体快捷键的位置也重新设计。整机更扎实靓丽,全新 外观 设计 采用 主流 黄金 比例 跟随 市面 主流 脚步 整机 线条 圆润 内嵌 盖正 中央 灯管 照射 显得 抢眼 屏幕 跟随 主流 市场 采用 光屏 显示 效果 规格 分辨率 更好 配合 高清 影音 值得称赞 键盘 类似 索尼 笔记本 特色 巧克力 键盘 键位 多媒体 快捷键 位置 设计 整机 扎实 靓丽,pos,"[(3, 0.742085), (8, 0.24140882)]",3
屏幕 做工 都可以 价格公道 用装的雨林木风的系统 重启时引导出了点问题,屏幕 做工 价格公道 用装 林木 系统 重启 引导,pos,"[(8, 0.81739354), (9, 0.08727425)]",8
这个价位这个配置已经很不容易了，做工不错，其实还是磨具不错。发热量控制的还好,价位 配置 做工 不错 磨具 不错 发热量 控制 还好,pos,"[(8, 0.49041), (12, 0.4238204)]",8
样子还算美观，配置过的去，这个价位比较值，个人觉得是一个比较重的商务机（有蓝牙和指纹什么的高端商务机配置）,样子 美观 配置 价位 商务 蓝牙 指纹 高端 商务 配置,pos,"[(4, 0.7311783), (13, 0.1908831)]",4
价格够便宜，功能齐全，外型也还不错，上网本的价格买到这样的笔记本，很不错,价格 便宜 功能齐全 外型 不错 上网 价格 笔记本 不错,pos,"[(13, 0.9071277)]",13
总体来说都还算。就是安装系统的时候需要进那里把 模式改为才能安装。,总体 还算 安装 系统 模式 改为 安装,pos,"[(0, 0.8838802)]",0
总体来说还不错，完美屏，配置挺好，加了个2内存，工作用足够了，外观比较漂亮，塑料感稍重，但这个价钱还可以啦。,总体 不错 完美 配置 内存 工作 足够 外观 漂亮 塑料 价钱,pos,"[(1, 0.21921332), (4, 0.70934933)]",4
性价比很高，外观也很漂亮。,性价比 外观 很漂亮,pos,"[(0, 0.017857514), (1, 0.017857539), (2, 0.017857518), (3, 0.0178575), (4, 0.017857559), (5, 0.017857527), (6, 0.017857492), (7, 0.017857773), (8, 0.767852), (9, 0.017857503), (10, 0.017857498), (11, 0.017857535), (12, 0.017857533), (13, 0.017857503)]",8
屏幕相当好功耗低效果好,屏幕 功耗 效果,pos,"[(0, 0.017867297), (1, 0.017867308), (2, 0.017867291), (3, 0.017867291), (4, 0.017867465), (5, 0.017867286), (6, 0.017867345), (7, 0.017867295), (8, 0.7677249), (9, 0.0178673), (10, 0.017867368), (11, 0.017867286), (12, 0.017867295), (13, 0.017867293)]",8
外观漂亮，做工优秀，键盘手感很好，功能齐全，配置满足一般娱乐办公，屏幕，3，都是比较主流的配置，指纹 麦克，摄像头，读卡器，蓝牙，功能丰富，最主要的就是这个品牌这个价格，绝对性价比冠军！强烈推荐购买！,外观 漂亮 做工 优秀 键盘 手感 功能齐全 配置 娱乐 办公 屏幕 主流 配置 指纹 麦克 摄像头 读卡器 蓝牙 功能丰富 品牌 价格 性价比 冠军 强烈推荐 购买,pos,"[(4, 0.38200274), (8, 0.29769126), (9, 0.29005328)]",4
今天刚到手，只能大概说一下。第一感觉配置不错，对得其这个价位，性价比不错。第二本挺漂亮，蓝牙模块我也喜欢。,到手 只能 第一 感觉 配置 不错 价位 性价比 不错 第二本 漂亮 蓝牙 模块 喜欢,pos,"[(4, 0.93805355)]",4
个人觉得配置属于中高端，级别高，内存大，音响效果不错。,配置 高端 级别 内存 音响效果 不错,pos,"[(0, 0.010213515), (1, 0.010213538), (2, 0.010213513), (3, 0.010213506), (4, 0.86722416), (5, 0.010213513), (6, 0.010213507), (7, 0.010213564), (8, 0.010213518), (9, 0.010213536), (10, 0.01021357), (11, 0.010213501), (12, 0.01021352), (13, 0.010213514)]",4
"1.整体外观时尚大方,钢琴烤漆.",整体 外观 时尚 大方 钢琴 烤漆,pos,"[(0, 0.010205105), (1, 0.0102051), (2, 0.010205055), (3, 0.0102051515), (4, 0.010205091), (5, 0.010205064), (6, 0.010205075), (7, 0.010205163), (8, 0.8673339), (9, 0.010205093), (10, 0.010205072), (11, 0.010205083), (12, 0.010205048), (13, 0.010205042)]",8
外观漂亮，系统不是很难弄，刚开始看了很多评价说难弄，实际上没那么困难，将 选项第一选项选从起动，其它就直接安装了。我的是安装盘，不是的。内存是三星3-1066，不是3-800.测试是3-800.我用超级兔子测试是3-1066.友达屏，独显，满意，到手是完美屏，不错,外观 漂亮 系统 评价 实际上 困难 选项 第一 选项 选从 起动 安装 安装盘 内存 三星 测试 超级 兔子 测试 友达 独显 满意 到手 完美 不错,pos,"[(0, 0.83032715), (8, 0.13668118)]",0
在4535-72225与这款两者之间挑了比较长时间，当时两者都是3999，最后还是决定要了这款，看中它是平台，性能好些，而且3内存也是未来的趋势，又多个内置摄像头，而且多送100京券。,这款 两者之间 长时间 这款 看中 平台 性能 好些 内存 未来 趋势 多个 内置 摄像头 京券,pos,"[(4, 0.25799784), (7, 0.68839437)]",7
外型超漂亮，?像?清晰，??、?牙很方便，我加了?2的?存，?行超快！散?我?得可以啊，不?。,外型 漂亮 清晰 超快,pos,"[(0, 0.014290482), (1, 0.31462088), (2, 0.014290474), (3, 0.014290436), (4, 0.014290436), (5, 0.014290429), (6, 0.014290469), (7, 0.014290437), (8, 0.51389354), (9, 0.014290454), (10, 0.014290521), (11, 0.014290439), (12, 0.014290482), (13, 0.014290501)]",8
配置均衡，306 测试2405分。电池3小时左右。散热差了点。系统用深度9不稳定，会蓝屏。后来改用龙帝国 7一切正常。,配置 均衡 测试 电池 小时 散热 系统 深度 稳定 蓝屏 改用 帝国 一切正常,pos,"[(1, 0.79046667), (8, 0.14828016)]",1
便宜啊，性价比高，送了那个了那么多东西，呵呵，安装系统很方便，只要把硬盘传输改成，直接格调就可以装了，超级简单，哈哈，样子比想象的好，还是完美屏，不错不错,便宜 性价比 东西 安装 系统 硬盘 传输 改成 格调 超级 简单 样子 想象 完美 不错 不错,pos,"[(0, 0.12693787), (4, 0.82259727)]",4
完美屏，外观时尚，键盘也很漂亮，性价比高，预算有限要求不太高的话可以考虑，配合送的散热底座散热情况还是不错的。不带系统开机全是英文，改硬盘传输模式为就可以装了，机子自带驱动光盘。,完美 外观 时尚 键盘 很漂亮 性价比 预算 有限 配合 散热 底座 散热 情况 不错 系统 开机 英文 硬盘 传输 模式 机子 自带 驱动 光盘,pos,"[(1, 0.9628364)]",1
便宜，便宜没好货。唉 蕊片太次了，不散热，开机不到几分钟，就有吵音,便宜 便宜 太次 散热 开机 不到 几分钟,pos,"[(13, 0.8838618)]",13
就性价比不错。无插槽。键盘键程短手感偏硬。显卡比08年的台式机的显卡差太多了,性价比 不错 插槽 键盘 键程 手感 显卡 台式机 显卡 差太,pos,"[(7, 0.9155457)]",7
双核，三星3-1066，友达屏，独显，满意，到手是完美屏，不错。,双核 三星 友达 独显 满意 到手 完美 不错,pos,"[(4, 0.89680874)]",4
性价比还好，上看过近期好像降价了，3899，不过在这里买3999还送这么多东西，还好啦！,性价比 还好 看过 近期 好像 降价 东西 还好,pos,"[(8, 0.6216833), (10, 0.28302085)]",8
外观不错，价格便宜，这个价位能带这个独立显卡很不错了。插槽也符合自己的要求,外观 不错 价格便宜 价位 能带 独立 显卡 不错 插槽 符合,pos,"[(4, 0.7151249), (10, 0.20688082)]",4
性价比高，完美屏，通电时间只有3小时，主板是45，京东资料有误，还有蓝牙（这个比较好，省去拆机装蓝牙模块烦恼），硬盘是西数的，西数感觉比日立好，以前49系列用的日立盘每次启动都有咔咔声音，西数听不到。内存是现代的。,性价比 完美 通电 时间 小时 主板 京东 资料 有误 蓝牙 省去 拆机 蓝牙 模块 烦恼 硬盘 西数 感觉 日立 系列 日立 每次 启动 声音 西数 不到 内存,pos,"[(13, 0.96681976)]",13
性价比很好 ，双核，独立显卡，屏幕 3999的 价格 没得说 ，散热还可以，我运行半个小时的魔兽，稍微左手托，应该是硬盘位置有点热，但不烫。。平时用风扇半分钟转了下,性价比 双核 独立 显卡 屏幕 价格 没得说 散热 运行 半个 小时 魔兽 稍微 左手 硬盘 位置 平时 风扇 半分钟,pos,"[(7, 0.18187396), (8, 0.26365435), (13, 0.51516277)]",13
暂时没有问题。分区最好用分了，再重新建立.直接删除分区会出现的提示。这个真的不好呀......,暂时 分区 用分 建立 删除 分区 提示 真的 不好,pos,"[(13, 0.9070583)]",13
双核独显屏刻录机输出带发票，这个价钱还有什么可挑的，买之前去电脑城看了看，觉的16：9有些不习惯，但还是 买了 哈 。。。收到发现没什么不习惯了，可能是没有比较的原因，完全可以接受。。。觉得小的 可以去看看 10寸的本，那本都有人用。。。这 14的怎么就不行了呢。。呵呵,双核 独显 刻录机 输出 发票 价钱 电脑城 习惯 收到 发现 没什么 习惯 原因 接受 寸的本 有人 不行,pos,"[(4, 0.22249678), (12, 0.7298378)]",12
预装的可以省很多钱啊，性价比不错了，外观，还不错，还保修三年，送货的人员，服务也好,预装 性价比 不错 外观 不错 保修 三年 送货 人员 服务,pos,"[(4, 0.9155604)]",4
样子漂亮，键盘很帅，手感也很好,样子 漂亮 键盘 手感,pos,"[(0, 0.0142863095), (1, 0.8142778), (2, 0.014286282), (3, 0.014286314), (4, 0.014286372), (5, 0.014286304), (6, 0.014286339), (7, 0.014286311), (8, 0.014286342), (9, 0.014286312), (10, 0.0142863), (11, 0.014286296), (12, 0.014286311), (13, 0.014286324)]",1
系统很好装，屏是不错，就是16比9的比例看起来比较长，是14的屏。外观比较酷，适合年轻人，键盘模仿的，还不错。,系统 不错 比例 外观 适合 年轻人 键盘 模仿 不错,pos,"[(12, 0.9070765)]",12
装系统没向有些人说的那么困难 驱动也好弄，就是蓝牙驱动去官网下了个，官网布局不怎么地，找了半天才找到型号,系统 困难 驱动 蓝牙 驱动 官网 官网 布局 半天 找到 型号,pos,"[(3, 0.92254436)]",3
牌子够老，够响亮，冲着牌子去的，结果让人很伤心！唉。。。。。。。,牌子 响亮 冲着 牌子 伤心,pos,"[(0, 0.011918418), (1, 0.011918699), (2, 0.011918409), (3, 0.011918492), (4, 0.011918451), (5, 0.011918409), (6, 0.84506), (7, 0.011918409), (8, 0.011918428), (9, 0.011918409), (10, 0.011918413), (11, 0.011918517), (12, 0.011918449), (13, 0.011918457)]",6
1屏幕效果非常好，鲜亮，饱和度高；2键盘比较特别，我很喜欢，摸起来很舒服；3外观很时尚，商务特点浓；4整机性能非常均衡，办公、游戏、上网均宜。,屏幕 效果 鲜亮 饱和度 键盘 特别 喜欢 舒服 外观 时尚 商务 整机 性能 均衡 办公 游戏 上网 均宜,pos,"[(1, 0.69079196), (8, 0.26407737)]",1
喜欢的芯片，性价比不错。这款散热不错喜欢的芯片，性价比不错,喜欢 芯片 性价比 不错 散热 不错 喜欢 芯片 性价比 不错,pos,"[(4, 0.9155773)]",4
1.屏幕看起来很好，色彩很饱和，鲜艳！从06年买的3009到现在，总觉得的屏幕很好,屏幕 色彩 饱和 鲜艳 屏幕,pos,"[(0, 0.011911619), (1, 0.011911588), (2, 0.011911589), (3, 0.011911582), (4, 0.0119116), (5, 0.011911564), (6, 0.011911569), (7, 0.011911562), (8, 0.011911763), (9, 0.84514916), (10, 0.011911634), (11, 0.01191158), (12, 0.01191163), (13, 0.011911573)]",9
"性价比不错，设计的比较漂亮 ,外观也还不错，送的东西挺多的.送的瑞星改成别的就好了！",性价比 不错 设计 漂亮 外观 不错 东西 瑞星 改成,pos,"[(1, 0.3073509), (4, 0.35057002), (13, 0.2634668)]",4
性价比不错，外观也还不错，送的东西挺多的，还用了一张3000-150的券，挺划算的,性价比 不错 外观 不错 东西 还用 一张 划算,pos,"[(4, 0.8967537)]",4
看图片好像不咋的，但是实物挺漂亮的，有点像商务机，手感不错，配置也均衡，家用完全，,图片 好像 实物 漂亮 有点像 商务 手感 不错 配置 均衡 家用,pos,"[(1, 0.15405773), (3, 0.5399204), (4, 0.24050198)]",3
价格很实惠，但是配置一点都不实惠，我觉得家用这本本已经很强悍了。很喜欢它的造型和新键盘设计。散热还行，起码比我周围那些认得惠普家用本好多了。,价格 实惠 配置 一点 实惠 家用 本本 强悍 喜欢 造型 键盘 设计 散热 起码 认得 惠普 家用 好多,pos,"[(9, 0.53525555), (10, 0.20168164), (13, 0.22168106)]",9
价格优势，外观不错，钢琴烤漆很漂亮。送的几样东西都不错！送货比较快！,价格优势 外观 不错 钢琴 烤漆 很漂亮 几样 东西 不错 送货,pos,"[(4, 0.91553664)]",4
做工不错。音响音质还很不错！散热还成！京东送自取货挺快第一天早上定单，第二天中午就可以自取货了。,做工 不错 音响 音质 不错 散热 还成 京东 自取 挺快 第一天 早上 定单 第二天 中午 自取,pos,"[(4, 0.94531786)]",4
价格便宜，性能强，设计简约大方，屏幕很舒服，总之总之 我买过4个本本 这个绝对是性价比最高的，超级高！！！！！,价格便宜 性能 设计 简约 大方 屏幕 舒服 本本 性价比 超级,pos,"[(8, 0.91557777)]",8
喜欢的芯片，性价比不错。这款散热不错喜欢的芯片，性价比不错。这款散热不错,喜欢 芯片 性价比 不错 散热 不错 喜欢 芯片 性价比 不错 散热 不错,pos,"[(4, 0.9285662)]",4
1、款式漂亮，键盘感觉很酷，商务气息十足。,款式 漂亮 键盘 感觉 很酷 商务 气息 十足,pos,"[(1, 0.89674014)]",1
看图会觉得造型很烂，可是拿到手的实物款式很漂亮，虽然算不上经典款，但是做工大方，贵气，无论是办公还是家用 都很极品 性价比高,图会 造型 很烂 拿到 实物 款式 很漂亮 算不上 经典 做工 大方 贵气 无论是 办公 家用 极品 性价比,pos,"[(3, 0.7309919), (8, 0.22132975)]",3
设计的方方正正，键盘很好用，是款商务本,设计 方方正正 键盘 很好 商务,pos,"[(0, 0.011908272), (1, 0.01190828), (2, 0.011908219), (3, 0.011908256), (4, 0.011908274), (5, 0.01190825), (6, 0.011908248), (7, 0.8451926), (8, 0.011908316), (9, 0.011908238), (10, 0.011908242), (11, 0.01190823), (12, 0.011908238), (13, 0.011908294)]",7
用了几天还可以，就是有一个亮点!真是气死人，一个点又不在保修内，当时收货时又没看!,几天 亮点 气死人 一个点 保修 收货 没看,pos,"[(4, 0.8837472)]",4
应该算中档机吧，外观不错，烤漆面板应该不太会磨损，还是蛮有质感的， 下的速度还行，比想象中快。,中档 机吧 外观 不错 烤漆 面板 不太会 磨损 质感 速度 想象,pos,"[(9, 0.92257965)]",9
价格便宜，虽然没有介绍里提到的指纹识别，不过这个价位绝对对得起这个配置了！相当的不错！散热也相当好，基本不会感到烫手！钢琴烤漆的键盘摸上去感觉特别爽！配置不用说了，目前主流的软件运行起来相当流畅！,价格便宜 介绍 提到 指纹识别 价位 对得起 配置 不错 散热 感到 烫手 钢琴 烤漆 键盘 摸上去 感觉 特别 配置 不用说 主流 软件 运行 流畅,pos,"[(8, 0.96129215)]",8
散热效果不错，功耗很低，配置较高，运行时声音很小，屏幕挺舒服的，,散热 效果 不错 功耗 配置 运行 声音 很小 屏幕 挺舒服,pos,"[(4, 0.91556835)]",4
配置较高，散热很好，使用8小时也机体没有明显发热，背光管，接口设计合理。,配置 散热 小时 机体 发热 光管 接口 设计,pos,"[(8, 0.89677644)]",8
外观好看，做工好，散热非常不错，是见过最好的，比想象中的要好，，价格实惠，满意,外观 好看 做工 散热 不错 想象 价格 实惠 满意,pos,"[(4, 0.9071371)]",4
东西价格还不错！,东西 价格 不错,pos,"[(0, 0.017857268), (1, 0.017857298), (2, 0.01785727), (3, 0.017857289), (4, 0.7678552), (5, 0.017857274), (6, 0.01785736), (7, 0.017857278), (8, 0.017857261), (9, 0.0178573), (10, 0.017857298), (11, 0.017857274), (12, 0.017857287), (13, 0.017857328)]",4
入手三天，系统换成运行良好，散热不错，硬盘也还好。运行极品飞车12有一点点卡。音响很不错,入手 三天 系统 换成 运行 散热 不错 硬盘 还好 运行 极品飞车 一点点 音响 不错,pos,"[(1, 0.9380804)]",1
帮朋友买的。他用了一天，感觉挺好。价格虽不像京东说的这么夸张，但确实不贵了。外观、配置都不错。硬盘是日立的，没听见有什么异响。至于风扇，他空调开到22度，本子外壳都是凉的，所以没听见笔记本有声音，也不知道转起来是啥样子……我也不怎么懂笔记本的东西，照理说风扇如果有问题电脑是不可能正常启动和运转好几个小时的吧？,朋友 感觉 价格 京东 夸张 确实 不贵 外观 配置 不错 硬盘 日立 听见 异响 风扇 空调 开到 本子 外壳 听见 笔记本 声音 啥样子 笔记本 东西 照理说 风扇 电脑 启动 运转 好几个 小时,pos,"[(1, 0.97184634)]",1
散热效果不错，功耗很低，配置较高，运行时声音很小，,散热 效果 不错 功耗 配置 运行 声音 很小,pos,"[(1, 0.39367214), (4, 0.5110716)]",4
我5699入手的 性价比很高  外观很好看  接口丰富 散热很好  配置很高的了  我用足够的了,入手 性价比 外观 好看 接口 散热 配置 很高 足够,pos,"[(8, 0.90713465)]",8
没有任何优点，价格高，质量也不好，如果需要反面案例，完全可以拿来当样品。,优点 价格 质量 不好 反面 案例 拿来 样品,pos,"[(4, 0.8967102)]",4
外观时尚，秉承了华硕一贯的散热好的优点，接口位置比8系列的合理，感觉最爽的是音响效果不错，比4月买的81强多了,外观 时尚 秉承 华硕 一贯 散热 优点 接口 位置 系列 感觉 最爽 音响效果 不错 强多,pos,"[(4, 0.94191855)]",4
"觉得还好,很不错的电脑,20号配货给我,然而20号那天降价为何没帮我保值?21号又返现500,我真晕了.",还好 不错 电脑 配货 那天 降价 保值 返现,pos,"[(4, 0.36736852), (6, 0.5372443)]",6
接口丰富，做工比较精致，钢琴烤漆的键盘很有特色，触摸板触感一流，但是两个按键比较硬，散热性能很好！扬声器音质也不错！,接口 做工 精致 钢琴 烤漆 键盘 特色 触摸板 触感 一流 两个 按键 散热 性能 扬声器 音质 不错,pos,"[(8, 0.9483977)]",8
性价比不错，键盘比较舒服。屏幕的现实效果很好，小巧轻便。自带的视频软件比较好用。,性价比 不错 键盘 舒服 屏幕 现实 效果 小巧 轻便 自带 视频 软件,pos,"[(4, 0.58444077), (8, 0.349582)]",4
国际品牌，4411笔记本键盘做的打破了以往的风格。外观设计很时尚。有 小黑的个性,国际品牌 笔记本 键盘 打破 以往 风格 外观设计 时尚 小黑 个性,pos,"[(0, 0.14110546), (1, 0.45090157), (6, 0.10389757), (9, 0.23904511)]",1
"东西不错,一揽子买了内存等附件,其他东西价格也不便宜,不过电脑本身不错,毕竟不用去跑了.",东西 不错 一揽子 内存 附件 东西 价格 便宜 电脑 不错 不用,pos,"[(4, 0.9225596)]",4
首先，从外形上看，这款笔记本采用钢琴烤漆，显得格外时尚漂亮；创新的键盘设计颇感人性化，手感也尚佳。,外形 上看 笔记本 采用 钢琴 烤漆 显得 时尚 漂亮 创新 键盘 设计 颇感 人性化 手感 尚佳,pos,"[(0, 0.83109), (8, 0.1184564)]",0
除了内存小了点，加了个2三星内存，样子也还不错，具体性能有待进一步探索，   太猛了，不要轻易搞，要是-  不能用换个鼠标就行了,内存 三星 内存 样子 不错 性能 有待 进一步 探索 太猛 轻易 用换 鼠标 就行了,pos,"[(4, 0.93798107)]",4
惠普这款整机配置均衡，内存稍小，京东送个内存就太好了。本本外观简约，不愧为商用型。键盘设计很有特点。 屏显示效果很好，色彩较靓丽。,惠普 整机 配置 均衡 内存 京东 内存 太好了 本本 外观 简约 不愧为 商用 键盘 设计 显示 效果 色彩 靓丽,pos,"[(8, 0.30338833), (10, 0.6537356)]",10
整机配置均衡，就是内存稍小，京东要是能再送个内存就完美了^_^,整机 配置 均衡 内存 京东 内存 完美,pos,"[(10, 0.88391745)]",10
惠普的东西 做工精细 这款商务本外观沉稳大方又不失时尚，很不错。配置算是比较合理，启动和运行速度都还好，散热也不错，屏幕比例觉得有点太宽，可能看多了台式机不习惯。价格也算合适，如果能升级到2内存最好了。,惠普 东西 做工 精细 商务 外观 沉稳 大方 不失 时尚 不错 配置 算是 启动 运行 速度 还好 散热 不错 屏幕 比例 看多 台式机 习惯 价格 合适 升级 内存,pos,"[(4, 0.25079584), (8, 0.71963274)]",8
远不如以前的，现在做工差，模棱角及边缘有明显的划手，,远不如 做工 棱角 边缘 划手,pos,"[(0, 0.011915434), (1, 0.011915412), (2, 0.011915405), (3, 0.0119154155), (4, 0.01191542), (5, 0.011915409), (6, 0.011915427), (7, 0.011915411), (8, 0.011915467), (9, 0.011915407), (10, 0.011915408), (11, 0.84509957), (12, 0.011915423), (13, 0.011915409)]",11
镜面效果不错，声音挺小。特别喜欢屏幕前面的网罩那块，同事看了也买了个！,镜面 效果 不错 声音 特别 喜欢 屏幕 网罩 同事,pos,"[(0, 0.22454037), (1, 0.5627278), (9, 0.13407253)]",1
外观做工，外观我很喜欢，或者说我就是喜欢的外观，做工扎实。,外观 做工 外观 喜欢 或者说 喜欢 外观 做工 扎实,pos,"[(8, 0.907123)]",8
性价比高，散热好，底部一点都不觉得烫，风扇噪音也比较小。,性价比 散热 底部 一点 风扇 噪音,pos,"[(0, 0.010205634), (1, 0.7295939), (2, 0.010205613), (3, 0.010205618), (4, 0.010205649), (5, 0.0102056265), (6, 0.010205638), (7, 0.010205813), (8, 0.010205641), (9, 0.14793833), (10, 0.01020563), (11, 0.010205655), (12, 0.010205617), (13, 0.010205629)]",1
拿到电脑，自己把内存条装上，这个本本样子很漂亮，稳重，键盘用着很舒服，摄像头很清楚，还有鼠标很漂亮 。还可以做镜子。,拿到 电脑 内存条 本本 样子 很漂亮 稳重 键盘 舒服 摄像头 鼠标 很漂亮 镜子,pos,"[(3, 0.30768073), (7, 0.6310773)]",7
拿到电脑，自己把内存条装上，这个本本样子很漂亮，稳重，键盘用着很舒服，摄像头很清楚，还有鼠标很漂亮,拿到 电脑 内存条 本本 样子 很漂亮 稳重 键盘 舒服 摄像头 鼠标 很漂亮,pos,"[(3, 0.25944746), (8, 0.6746076)]",8
系统平均占用46%用系统才个位的占用,系统 平均 占用 系统 个位 占用,pos,"[(0, 0.010209672), (1, 0.010209716), (2, 0.010209671), (3, 0.010209675), (4, 0.010209672), (5, 0.86727405), (6, 0.010209719), (7, 0.010209677), (8, 0.010209674), (9, 0.010209665), (10, 0.010209732), (11, 0.010209723), (12, 0.010209679), (13, 0.010209684)]",5
性价比较好，自己已经升级到4内存，加装讯盘，安装，很好很强大。键盘好手感很好。,性价比 升级 内存 加装 安装 很好 强大 键盘 手感,pos,"[(7, 0.90711653)]",7
做工扎实，按键设计很人性化，散热很好，带有正版系统让人用着有点名正言顺的感觉。完美屏，很像镜面屏。这款是带有麦克风的，好像参数里没写，有点惊喜。解压系统很快，加装内存也方便，拆了两个螺丝抠下后盖就可以插了，说明书里有图解。赞一下京东送到赠品：原装包包我超喜欢，第一次拥有这么设计人性化的包包；三星内存条1，很容易安装，弥补了本本内存小的缺陷；小黑鼠标，好用可爱；,做工 扎实 按键 设计 人性化 散热 带有 正版 系统 名正言顺 感觉 完美 镜面 这款 带有 麦克风 好像 参数 没写 惊喜 解压 系统 很快 加装 内存 两个 螺丝 下后 说明书 图解 京东 送到 赠品 原装 包包 喜欢 第一次 拥有 设计 人性化 包包 三星 内存条 安装 弥补 本本 内存 缺陷 小黑 鼠标 可爱,pos,"[(10, 0.982131)]",10
价格不算便宜，但是有送三星内存和原装鼠标，相比较之下还有价格优势,价格 不算 便宜 三星 内存 原装 鼠标 之下 价格优势,pos,"[(4, 0.90708137)]",4
笔记本看起来感觉很不错,笔记本 感觉 不错,pos,"[(0, 0.017857824), (1, 0.017857673), (2, 0.01785763), (3, 0.01785767), (4, 0.7678502), (5, 0.017857635), (6, 0.01785767), (7, 0.017857708), (8, 0.017857678), (9, 0.017857628), (10, 0.01785766), (11, 0.017857607), (12, 0.017857663), (13, 0.017857708)]",4
性价比较高。 被收购后从贵族机子变成了大众机子，大家都可以过把瘾,性价比 收购 贵族 机子 大众 机子 过把瘾,pos,"[(5, 0.8838331)]",5
性价比较高。,性价比,pos,"[(0, 0.035714503), (1, 0.035714597), (2, 0.03571456), (3, 0.035714526), (4, 0.035714664), (5, 0.035714615), (6, 0.035714567), (7, 0.53571075), (8, 0.035714604), (9, 0.03571451), (10, 0.03571454), (11, 0.035714544), (12, 0.03571449), (13, 0.035714567)]",7
外观大部分还是的风格，内凹的显示器，不错的键盘触感，红点等等。。。,外观 大部分 风格 内凹 显示器 不错 键盘 触感,pos,"[(0, 0.18415469), (3, 0.72054476)]",3
这块铁牌子给了联想也还是依然对消费者有着强大的品牌效应，靠这个牌子就足以吸住眼球了。,这块 牌子 联想 依然 消费者 强大 品牌效应 牌子 足以 吸住 眼球,pos,"[(11, 0.9225604)]",11
性价比好。键盘手感挺好、配置也可以、价格再加上送的东西都还是不错的。,性价比 键盘 手感 配置 价格 东西 不错,pos,"[(4, 0.8839252)]",4
这个价位配置不错，键盘用起来舒服，长得也还好。送得东西也很实惠哈。,价位 配置 不错 键盘 舒服 还好 东西 实惠,pos,"[(4, 0.8968165)]",4
有品牌优势，做工细致 2 散热好，声音小 3 接口左右均有，设计较合理 4 键盘较舒适 5 附送1内存,品牌优势 做工 细致 散热 声音 接口 设计 键盘 舒适 附送 内存,pos,"[(8, 0.49811167), (11, 0.4304404)]",8
经典设计、便宜的价钱、差不多的配置，够用就行！！！,经典 设计 便宜 价钱 配置 够用,pos,"[(0, 0.0102050435), (1, 0.010205004), (2, 0.010205004), (3, 0.010205038), (4, 0.010205226), (5, 0.010205009), (6, 0.010204991), (7, 0.010204993), (8, 0.8673345), (9, 0.010204976), (10, 0.010205025), (11, 0.010205128), (12, 0.010205003), (13, 0.010205075)]",8
