评论内容,fenci
民宿设计很棒，很喜欢！在这里住了两晚，很宁静的一个民宿，这个我太喜欢了！民宿旁边的巷子竟然就是苏家巷丰盈西里等小巷子，吃吃喝喝超级方便。下次来长沙继续住～,民宿 很棒 喜欢 民宿 喜欢 民宿 巷子 丰盈
房间很好，这个床垫很舒服，软硬适中最解乏啦。。有的酒店床垫非常松软，但是睡觉有种陷落感，第二天醒了腰痛。。这家完全不是，枕头和床垫的质感都很好，也没有那种清洗的滞涩感，舒适！配备新风系统，位置也在五一商圈内，方便。,房间 床垫 舒服 软硬 适中 解乏 酒店 床垫 松软 睡觉 陷落 腰痛 枕头 床垫 质感 清洗 滞涩 舒适 配备 新风 系统 位置 商圈
尊嘟很爱这种色调的民宿，温馨感 位置在市中心附近，点外卖什么的都很方便 床也太软软软了叭！！！好喜欢 浴室和厕所是干湿分离，洗漱台在中间 马桶是智能马桶，用起来很舒适 房间放了一个小冰箱，买的东西怕坏的放里面保鲜就好啦，很贴心,色调 民宿 位置 市中心 外卖 太软 软软 喜欢 浴室 厕所 干湿 分离 洗漱 马桶 智能 马桶 舒适 房间 冰箱 贴心
位于网红的东茅街，是一个闹中取静的好地方，旁边还有是东茅街小学，日料啊，中古店还有各种小吃应有尽有，而且价格非常的实惠，不远处还有笨萝卜，他家的环境可以算是法式复古风跟现代的完美结合吧。东西都是用的最新的，而且奶油风让人特别的放松，管家很贴心。他家的牙具。还有拖鞋，质量都不错。洗澡的水非常的热，驱寒很好，茶杯我也很喜欢的，还有小冰箱下次有朋友来，我还要来这里,位于 网红 地方 小学 日料 小吃 价格 萝卜 环境 算是 法式 完美 是用 奶油 放松 管家 贴心 牙具 拖鞋 质量 不错 洗澡 驱寒 茶杯 喜欢 冰箱 朋友
闹中取静 出门的巷子就有茶颜很方便 离笨萝卜很近 去五一广场步行不到十分钟 很方便,出门 巷子 萝卜 步行 不到
环境非常整洁，房间很宽敞很有氛围，拍照很好看，阿姨服务态度不错，酒店很安静。,环境 整洁 房间 宽敞 氛围 拍照 好看 服务态度 不错 酒店
推荐入住这家民宿环境超级好 价格也很美丽 晚上睡觉很安静很舒适 设施：很棒卫生：干净环境：美服务：一级棒,推荐 入住 民宿 环境 价格 睡觉 舒适 设施 很棒 卫生 干净 环境
推荐长沙这家民宿，服务和床品质量都很好，环境安静性价比超高，就在黄兴广场附近，出门走一下就到了笨萝卜，别挑来长沙就住这家，真的超值的,推荐 民宿 床品 质量 环境 性价比 超高 广场 出门 萝卜 挑来 超值
房间出乎意料的好，价格也非常便宜。地段就在五一广场附近，但是很安静。走路一百米附近就有很多小吃店。超好的一次住房体验，以后来长沙还会住这里的。,房间 价格 便宜 地段 走路 小吃店 超好 住房 体验
房间的感觉让人很舒服，管家阿姨的态度也很好，民宿位置也很好，去哪都方便，而且路口就有茶颜悦色。笨萝卜也很近,房间 感觉 舒服 管家 态度 民宿 位置 萝卜
酒店位置出行超级方便，很近黄兴步行街的地铁站，走几步就有很多吃的和网红店，闹中取静，房间干净够宽敞，下次还来啊！,酒店 位置 出行 步行街 地铁站 红店 房间 干净 宽敞
环境很不错 性价比很高 服务很好 很划算 下次还会来住,环境 不错 性价比 划算
房间很干净，床睡的很软，楼下就有笨萝卜和茶颜，很方便，下次来还要住,房间 干净 很软 萝卜
房间设计的很漂亮，住着很舒服，阿姨很热情态度很好，下次来还会住这家。,房间 很漂亮 舒服 热情 态度
房间不错 卫生也搞的挺干净  环境和服务都物有所值性价比值得肯定,房间 不错 卫生 干净 环境 性价比 值得 肯定
房间很干净 装修也很漂亮 出行方便 阿姨也很热情～,房间 干净 装修 很漂亮 出行 热情
特别好！出门就是步行街，晚上很多好吃的！房间好看，干净舒服,出门 步行街 好吃 房间 好看 干净 舒服
房间很大，性价比很好，位置很好找。,房间 很大 性价比 位置 好找
很安静，卫生也很好,卫生
房间很干净很惊喜，比预想的空间还要大~很喜欢风格，床垫很软很舒适，很适合逛累了好好休息！ 民宿位置真的不错，闹中取静，又在市中心，又不会吵闹~,房间 干净 惊喜 预想 空间 喜欢 风格 床垫 很软 舒适 适合 逛累 休息 民宿 位置 不错 市中心 吵闹
房子位置处于黄兴街附近，出门右拐就是笨萝卜，在闹市中也不会有杂音吵，就是早晨小学生上学会吵到，不影响休息，房间里有投影，小桌，卫生间适合情侣使用，总体入住体检是不错的，值得再次入住,房子 位置 处于 出门 萝卜 闹市 杂音 学会 休息 房间 投影 小桌 卫生间 适合 情侣 总体 入住 体检 不错 值得 入住
民宿是独栋的，房间很大很干净，虽然在小学旁边原以为会很吵，但是还好不影响休息，位置很好，周围什么都有，步行几百米都可以到，赞赞赞！,民宿 房间 很大 干净 小学 还好 休息 位置 步行 赞赞
各方面都挺好的，特别是地理位置，非常好！ 阿姨也特别热情友爱，会主动问需要什么 就是旁边是学校，有点小小不隔音,挺好 地理位置 热情 友爱 学校 隔音
位置特别好，虽然不像高层有很好的视野，但是居住环境真的特别特别到位，出门就是步行街，好愉快的住房体验，投影房很是舒服！,位置 高层 很好 视野 居住 环境 到位 出门 步行街 愉快 住房 体验 投影 舒服
房间干净整洁，服务很好，住的很舒适，隔音效果好，休息的很好，出行很方便。住的很满意！值得推荐,房间 干净 整洁 舒适 隔音 效果 休息 很好 出行 满意 值得 推荐
房间设施设备齐全 环境好 客服小姐姐人也好 很喜欢他们家的洗护沐很香 推荐,房间 设施 环境 客服 喜欢 洗护 推荐
环境、服务，没得说。离五一广场也近，而且还安静。如果有下次还会选择这家。,环境 选择
房间大 和露台看日出很漂亮,房间 露台 日出 很漂亮
房间挺干净的,房间 干净
国庆来长沙旅游，长沙本地人朋友帮忙定了这家酒店：长沙蒲舍民宿（国金中心店）市中心，国金中心旁边独栋民宿，出门就是黄兴地铁站，在黄兴路步行街很方便，出去岳麓山橘子洲还有火车站都是地铁直达。就在网红店笨萝卜旁边，真的辣，味道的确好吃。旁边吃喝玩乐点满方便，舒适的五星级酒店同款床品，好梦连连床睡起来支撑性很好，房间颜值也高，住起来就是心情好，随便拍照很出片，舒服到不想退房……24小时私人管家服务，房间小冰箱放饮料和吃的蛮方便，换洗衣服可以给周姐洗干净、烘干,本地人 朋友 帮忙 酒店 民宿 国金 市中心 国金 中心 民宿 出门 地铁站 步行街 火车站 地铁 直达 网红店 萝卜 味道 好吃 舒适 酒店 同款 床品 支撑 房间 颜值 心情 拍照 舒服 不想 退房 小时 私人 管家 房间 冰箱 饮料 换洗 衣服 干净 烘干
设施：房间很大，很宽敞，躺在床上看投影超级奈斯.房间有个大浴缸，玩累了泡个泡泡浴很爽 服务：有求必应 环境：外面看一般，进来确实别有洞天，烧烤、露营、卡拉、泡温泉、游泳、围炉煮茶、围炉红酒都有都有…….,设施 房间 很大 宽敞 床上 投影 房间 浴缸 玩累 泡泡浴 很爽 环境 确实 烧烤 露营 围炉 煮茶 围炉 红酒
房间很舒适，很有特色的地方，外面坐上半天就很岁月静好的感觉。店员服务也很好，没有爱搭不理的样子，来长沙想住好的可以选择这边，靠近大学城，下面还有个公交站，交通很方便，停车场也有不过主要是不是旺季否则停车位会很少,房间 舒适 特色 地方 感觉 店员 不理 样子 想住 选择 靠近 大学城 公交站 交通 停车场 旺季 停车位
真的体验感太棒了 一进门就可以做围炉煮茶还有吃下午茶晚上我和朋友一起去泡了温泉 真的巨巨舒服 还有牛奶花瓣浴 泡完之后整个人特别的舒服 皮肤特别的光滑住的名宿也特别高级,体验 进门 围炉 煮茶 下午茶 朋友 舒服 牛奶 花瓣 舒服 皮肤 光滑 名宿
周末和小姐妹们出来聚会找了这一家民宿，可以围炉煮茶泡温泉而且房间的床很舒服，每个地方拍照都好看很出片，公司团建聚会可以选择在列表里面哦,姐妹 聚会 民宿 围炉 煮茶 房间 舒服 地方 拍照 好看 公司 团建 聚会 选择 列表
  是我在长沙发现的宝藏泳池民宿酒店，冬天不仅可以围炉煮茶还能泡温泉，池子非常干净，提前一小时放水。公共活动空间大，房间舒适温馨。,发现 泳池 民宿 酒店 围炉 煮茶 池子 干净 提前 小时 放水 空间 房间 舒适
以前没有住过民宿，住惯了酒店，在网上挑了半天，选了什么柠檬泳池名宿，很喜欢这个名字，来了之后，觉得很是温暖，比酒店温暖多了，有个帅小伙帮忙接行李，带我们办理入住，领我们去房间，房间整体很温馨，处处都体现了老板的用心，总之很不错,民宿 住惯 酒店 柠檬 泳池 名宿 喜欢 名字 温暖 酒店 温暖 帮忙 行李 办理 入住 房间 房间 整体 体现 老板 用心 不错
跨年我们选择了郊区，这里有私汤温泉，玫瑰牛奶浴，很舒服的过了一下午，泡完还有下午茶，酒店设施齐全安逸，早上还有管家准备的精美早餐~,选择 玫瑰 牛奶 舒服 下午茶 酒店设施 管家 精美 早餐
服务很好，柜台小姐姐很热心，周围环境也很不错，设施设备什么的都是很齐全的 还有牛奶玫瑰泡泡浴，喜欢和对象或者玩的好的朋友一起来都很不错喔,柜台 热心 不错 设施 牛奶 玫瑰 泡泡浴 喜欢 对象 朋友 不错
之前和团队团建来这里啦！这次和女朋友来住他家民宿！体验也很好餐食 卫生 环境都很好 女朋友很满意,团队 团建 女朋友 来住 民宿 体验 餐食 卫生 环境 女朋友 满意
房间环境和整个民宿环境都非常好！干净卫生！主要是娱乐项目也非常多！可以露营烧烤、唱歌、围炉煮茶、还有温泉！真的很！,房间 环境 民宿 环境 干净 卫生 项目 露营 烧烤 唱歌 围炉 煮茶
冬天到了，在长沙却意外发现了一个绝美的圣地——什么柠檬泳池民宿。简直温暖了我整个寒冬。听说什么柠檬泳池温泉是老板最近才搞好对外营业的，正好被我赶上了，简直一整个爱住。先来说说它的环境吧，一年前我就来过的地方，那个时候就感觉好美，有泳池、有民宿、有啤酒有炸鸡，还有外国人时不时会来聚会。真得非常热闹，也一直人气不减。居高不下。不过今年老板重新装修了下，搞得比之前更美了，瞬间提升了一个档次温泉的水老板都是现泡现放，而且不用担心会冷什么的，因为老板还很贴心的生起了炉子，水温也是可以自己调节的。所以泡在里面一点也不冷，真得特别舒服，下水的那一刻一整个人都会立马放松。老板还特意搞了牛奶和玫瑰花瓣，放在池子里，泡在里面真的是无比享受。泡完澡还有一些果子、糍粑、板栗什么的可以围炉煮茶，真的是一种极致的享受。对了，集美们下次来一定记得提前预约澡堂哟。设施：齐全智能 卫生：干净整洁 环境：优雅宜人 服务：热情周到,意外 发现 圣地 柠檬 泳池 民宿 温暖 听说 柠檬 泳池 老板 搞好 营业 正好 环境 地方 感觉 泳池 民宿 啤酒 炸鸡 外国人 聚会 热闹 人气 不减 老板 装修 了下 更美 提升 档次 老板 是现 泡现 不用 担心 老板 贴心 生起 炉子 水温 不冷 舒服 下水 放松 老板 牛奶 玫瑰 花瓣 放在 池子 无比 享受 完澡 果子 糍粑 板栗 围炉 煮茶 享受 记得 提前 预约 澡堂 设施 智能 卫生 干净 整洁 环境 优雅
小红书与本地宝推荐的打卡网红民宿。性价比啥的不说，但是绝对是情侣，朋友聚会，公司团建的首推民宿~夜晚可以烧烤，啥都好，有精致下午茶有早餐~下次再来玩~,推荐 打卡 网红 民宿 性价比 情侣 朋友 聚会 公司 团建 民宿 烧烤 精致 下午茶 早餐
去年来住过泳池房这次不记得了定的树屋，到民宿才发现定错了房型，管家知道后立马给我免费升级了房型，服务一如既往的好。听说私汤泡池马上建好了还会再来体验的！,泳池 记得 了定 树屋 民宿 发现 定错 房型 管家 房型 听说 私汤 泡池 建好 体验
这里环境很好，服务很用心，小姐姐很客气，东西也好吃，房间很舒服，很高级又干净整洁，温泉很舒服，玫瑰很香,环境 用心 客气 好吃 房间 舒服 干净 整洁 舒服 玫瑰
公司团建来过上次没住，觉得她们家太美了，赶紧就带上家人来了，民宿管家服务亲切，房间还配备下午茶，拍照很出片，早餐味道好，停车也免费，位置方便，妥妥的宝藏民宿,公司 团建 没住 带上 家人 民宿 管家 亲切 房间 配备 下午茶 拍照 早餐 味道 停车 位置 妥妥 民宿
有被这里惊喜到 环境超棒 超级出片 夏天有泳池 冬天有温泉 嘻嘻嘻 爱了爱了 适合爱拍照的小姐姐,惊喜 环境 超棒 出片 泳池 适合 拍照
比较差的一次，必须要写这个评价。国庆出来最后一天在长沙 房间隔音差极差在路边路上车子也多声音很吵；后面帮我换了个房间，早上洗澡看到了有史以来最大的蜘蛛，帅的他屁股疼，真的很无语，蜘蛛一点不夸张 怎么也有个十厘米 真的很吓人 本身就很怕这种爬虫。然后晚上想洗澡淋浴的水拧到最热；但是水也不热常温偏热一点点就；然后浴缸的水一直是冷水晚上热水供应很不足；早上洗澡这个水就是热的了。太差了这个卫生，太无语了 这个卫生这个设备优化一下吧 国庆本来就点都不便宜 花钱买恐怖了真的很无语这次,评价 房间 隔音 极差 车子 声音 房间 洗澡 蜘蛛 屁股 蜘蛛 夸张 吓人 爬虫 洗澡 淋浴 最热 不热 常温 浴缸 冷水 热水 洗澡 卫生 无语 卫生 便宜 恐怖
进入民宿就感觉很大，整个民宿有3栋还有一个很大的露营区域，服务很好卫生也干净。好笑的是长沙的天气变化也太大了前一天好好的穿薄外套睡一晚醒来就得穿羽绒服,民宿 感觉 很大 民宿 很大 露营 区域 卫生 干净 好笑 天气 外套 醒来 羽绒服
赶在周末带小朋友来住了一晚，他很满意玩的不亦乐乎。看到私汤泡池已经在收尾了小朋友吵着说到时候还要来泡温泉,小朋友 来住 满意 私汤 泡池 收尾 小朋友
夏天就很想来他们家体验泳池，冬天看到还有私汤温泉果断来了，室内室外都有，又舒服拍照又出片，而且还有围炉煮茶真的很惬意，管家服务也都很贴心～,想来 体验 泳池 私汤 舒服 拍照 围炉 煮茶 惬意 管家 贴心
民宿位置很好找有自己的停车场我们开车去市中心玩一会就到了。工作人员服务很好有求必应环境也很棒。民宿还养了一只小边牧也太可爱了又喜欢和人互动我和朋友了很久,民宿 位置 好找 停车场 开车 市中心 工作人员 环境 很棒 民宿 还养 可爱 喜欢 朋友
内部环境很优美，管家服务也很好，住的有私汤的，泡澡很舒服，有免费下午茶，坐在泳池边上和朋友品茶聊天很惬意，晚上夜景灯光也很不错，下次还会来入住,环境 优美 管家 泡澡 舒服 下午茶 坐在 泳池 朋友 品茶 惬意 夜景 灯光 不错 入住
到民宿第一反应是空气真的好清新哈哈哈，刚好拍到了夕阳真的美绝了～还碰到有同学聚会搞活动在那里氛围也很好我都想去参加了。有一说一民宿整体很干净，服务很棒,民宿 空气 清新 拍到 碰到 同学聚会 氛围 很好 参加 民宿 整体 干净 很棒
坏境超级好，很适合拍照，在民宿里面就可以玩一天，不想出去的那种。,坏境 适合 拍照 民宿 不想
房间质感很好，应该是长沙最优民宿了。整个环境配套都很齐全，也不会无聊，拍照也很出片。管家很热情，接送帮忙拿行李入住。,房间 质感 民宿 环境 配套 无聊 拍照 管家 热情 接送 帮忙 行李 入住
舒服 有格调 老板也好的 热情。当天还有乐队演出 赚大啦哈哈哈哈哈,舒服 格调 老板 热情 乐队 演出
很值得一去的一家民宿，环境很好,值得 民宿 环境
超赞的体验，住的还是挺好的。管家服务也都很亲切,超赞 体验 管家 亲切
很适合亲子出游的一家民宿！,适合 亲子 民宿
天气也太好了，民宿真的随便怎么拍都好看，天天天天蓝,天气 民宿 好看
房间干净整洁，是我喜欢的简约风。咖啡也好喝,房间 干净 整洁 喜欢 咖啡 好喝
民宿很好服务很好天气很好长沙很好下次还来,民宿 天气
体验很不错哦，值得期待,体验 不错 值得 期待
拍照超级出片！在收藏夹收藏了很久的民宿这次来住尊嘟很喜欢！和在大理住民宿的感觉一样啊啊啊啊啊下次还要来嘎嘎出片！柠檬是一只小狗噢也超级可爱,拍照 出片 收藏夹 收藏 民宿 喜欢 大理 民宿 感觉 出片 柠檬 可爱
服务很贴心，对人对宠物都很友好的一家民宿，很喜欢，下次还来,贴心 宠物 友好 民宿 喜欢
环境：非常好风格 设施：隔音也不错，床软乎乎的！ 服务：准备了非常精致的早餐哦！ 非常适合小姐妹一起来玩，拍照什么的，还有一个大的浴缸！嘿嘿,环境 风格 设施 隔音 不错 精致 早餐 姐妹 拍照 浴缸
非常的一次民宿入住体验，服务有求必应，入住送免费下午茶，管家还会发长沙旅游攻略，为我们在旅途上省去不少事，房间很温馨，床铺舒适，卫生也是极棒滴，很喜欢这种简约风格，下次有机会还来！,民宿 入住 体验 入住 下午茶 管家 攻略 旅途 省去 房间 床铺 舒适 卫生 喜欢 风格 机会
非常喜欢的一家民宿，来到这里感受到了真正的宁静与放松，超预期。秋天的旅途真的很舒服，抵达民宿的那刻很开心，管家提前调好的空调，进屋的温度很舒服，窗外的景色也很棒，主人还是很会选位置的，推荐推荐,喜欢 民宿 来到 感受 放松 旅途 舒服 抵达 民宿 开心 管家 提前 调好 空调 进屋 温度 舒服 景色 很棒 主人 位置 推荐 推荐
民宿是圣托里尼风格的，淡季人不多更能放松身心好好欣赏民宿的美。送的下午茶也很不错，听管家说老板现在在建泡池有点期待住了等天气再冷点再叫上朋友一起过来聚聚，长沙的美食也多大家快冲,民宿 风格 淡季 放松 身心 欣赏 民宿 下午茶 不错 管家 老板 在建 泡池 期待 天气 冷点 朋友 聚聚 美食
很舒服的酒店 设备齐全 工作人员有求必应 下次团建我也会选择这里,舒服 酒店 工作人员 团建 选择
他家民宿真的好舒服呀，而且离岳麓山很近，地理位置特别好，选了很多家民宿终于选到了他们家真的太幸运了，而且有一个特别大的泳池，关键是拍照很出片，我和姐妹来都拍了很多照片非常满意，房间设施特别齐全，而且还送牛奶，还有贴心的早饭和下午茶服务，只要入住就送真的好划算呀，感觉来这里住，省去了不少烦恼！！管家真的很好大家也来出片吧,民宿 舒服 地理位置 民宿 选到 幸运 泳池 关键 拍照 姐妹 照片 满意 房间 设施 牛奶 贴心 早饭 下午茶 入住 划算 感觉 省去 烦恼 管家
挺不错的，环境很好房间也很干净，服务不错,环境 房间 干净 不错
体验太棒了，非常值。,体验
景色很优美，服务态度好，谢谢老板热情款待。泡浴很好玩，十分高兴。景色很优美，服务态度好，谢谢老板热情款待。泡浴很好玩，十分高兴。,景色 优美 服务态度 老板 热情 款待 泡浴 好玩 景色 优美 服务态度 老板 热情 款待 泡浴 好玩
设施：满分哈哈哈，洗衣机 冰箱 还有热水壶，设施很齐全，除了厕所不是干湿分离无可挑剔 卫生：房间很干净， 环境：窗户后面有个小湖，风景赏心悦目啦 服务：服务也很好哦，而且感觉是半自助式的，适合社恐人士,设施 洗衣机 冰箱 水壶 设施 厕所 干湿 分离 卫生 房间 干净 环境 窗户 风景 感觉 适合 社恐 人士
首先，我是有升房权益的，按道理应该给一个环境设施较好的，再怎么样也应该是一个高大而不应该给我一个标间，其次，这个房间环境真的很差，进门就给人一种很的旅馆的感觉，床上也湿漉漉的，睡的很不舒服，另外，管家的服务真的很差，还没入住就说不要给差评，但是这种不给差评真的很难，这种酒店，大家谨慎入住，真实评价没有任何水分,有升 权益 道理 环境 设施 较好 高大 标间 房间 环境 进门 旅馆 感觉 床上 舒服 管家 入住 差评 差评 酒店 谨慎 入住 评价 水分
环境不是一般的好，设施也十分齐全，特别喜欢，经常在这里住旁边有一条小吃街交通也特别便利点赞，服务也特别好,环境 设施 喜欢 小吃街 交通 便利
房间有洗衣机 投影仪都可使用 卫生很干净 晚上也安静 100+的价格非常值得 前台的小姐姐态度很好 回复消息及时 性价比高 强烈推荐,房间 洗衣机 投影仪 卫生 干净 价格 值得 前台 态度 回复 消息 性价比
体验感有不错环境也好、下次还住,体验 感有 不错 环境
非常满意 环境：非常好,满意 环境
赠送免费停车券一张:条件好，非常方便,赠送 停车 条件
朋友推荐的，很满意，下次去长沙还住这家,朋友 推荐 满意
住的挺温馨的，环境很好，每次都住此家民宿,环境 民宿
设施环境服务都非常好,设施 环境
房间与图片基本一致,房间 图片
非常不错呢,不错
优点:是新开张的公寓酒店，外部环境不错，房间也干净整洁，还用权益免费升房，房间里面二居室，一张大床一张小床，适合一家人居住，房间有洗衣机，冰箱，投影，难得的是投影有会员可以免费看好多电影。 缺点:淋浴间没有帘子，和洗漱间没有干湿分离。,优点 开张 公寓 酒店 外部环境 不错 房间 干净 整洁 权益 升房 房间 大床 适合 一家人 居住 房间 洗衣机 冰箱 投影 投影 会员 看好 电影 缺点 淋浴间 帘子 洗漱间 干湿 分离
卫生好，服务好，环境好，很值得去哦 设施：设施完善，应有尽有，真的很好，环境也很高级 服务：前台小姐姐人非常好，很温柔，很细心，很体贴，保安大叔也很好哦，安保系统很完善,卫生 环境 值得 设施 设施 完善 环境 前台 温柔 细心 体贴 大叔 系统 完善
光线很好，很明亮的感觉，然后有冰箱，如果买点东西冰镇可以待一整天。飘窗也非常不错。美中不足的就是地漏有些瑕疵，下水有些慢。总的来说还是很不错的。,光线 明亮 感觉 冰箱 买点 冰镇 不错 地漏 瑕疵 下水 不错
很棒哦这个酒店，夜景也很好看，老板人也很好，卫生也很好，离开的时候还看到打扫阿姨来打扫了，住的很舒服,很棒 酒店 夜景 好看 老板 卫生 离开 打扫 打扫 舒服
挺干净的，很喜欢 设施：很好 卫生：很好 环境：很好 服务：很好 赠送免费停车券一张:好 真的很好,干净 喜欢 设施 卫生 环境 赠送 停车
酒店内干净整洁漂亮，还有冰箱，投影仪的电影也很全，观感体验好，整体来说不错,酒店 干净 整洁 漂亮 冰箱 投影仪 电影 观感 体验 整体 不错
还算可以酒店比较新，服务员态度不不错。就是房间空间不算大出差的基本算性价比高的重点比较干净,酒店 服务员 态度 不错 房间 空间 不算 出差 性价比 重点 干净
设施：很好 很赞 卫生：很干净 阿姨打扫的很到位 服务：非常贴心 环境：安静舒适,设施 卫生 干净 打扫 到位 贴心 环境 舒适
停车方便，入住很快，房间也很舒适、干净，价格不贵，入住首选，不错。,停车 入住 房间 舒适 干净 价格 入住 首选 不错
房间很干净很大很正经 都很好,房间 干净 很大
设施：齐全 卫生：干净 环境：整洁 服务：很好。 郑州来长沙旅游的，体验感真的不错,设施 卫生 干净 环境 整洁 体验 不错
环境设施挺好的，但是洗漱拖鞋质量不好，好大的味道，建议更换一下。,环境 设施 洗漱 拖鞋 质量 味道 建议 更换
环境好，设备齐全，房间卫生特别干净，服务周到，前台小姐姐也很好,环境 房间 卫生 干净 前台
我觉得住的挺好的 双人床很宽敞 房间也很干净 服务更好 住的很舒服,挺好 宽敞 房间 干净 舒服
卫生：干净舒适，没有异味 环境：四楼靠近马路边上还是有点噪音的,卫生 干净 舒适 异味 环境 靠近 噪音
住店体验很棒，已经第二次入住了，房间干净整洁，前台服务热情。,住店 体验 很棒 入住 房间 干净 整洁 前台 热情
每次过来长沙首选的地方！小姐姐人很好，环境优美，卫生,首选 地方 环境优美 卫生
很好，前台小姐姐很热情，设施也很好，很温馨～,前台 热情 设施
房间很棒，前台态度很好 环境：五星 卫生：五星,房间 很棒 前台 态度 环境 卫生
服务：老板人很好 卫生：房间非常干净，也很新，下次再来住,老板 卫生 房间 干净
房型非常不错 然后卫生也干净 地理位置离地铁站也近,房型 不错 卫生 干净 地理位置 地铁站
管家服务态度好 民宿卫生干净 靠山空气清新,管家 服务态度 民宿 卫生 干净 靠山
设施：完善 卫生：干净 环境：舒适 服务：非常好,设施 完善 卫生 干净 环境 舒适
真的很好！房间很简约很干净 外面风景也很好,房间 干净 风景
卫生好 环境也很不错 前台小姐姐很热情 下次还定这,卫生 环境 不错 前台 热情 还定
设施：齐全卫生：干净环境：好服务好,设施 卫生 干净 环境
设施：好 卫生：好 环境：好 服务：好,设施 卫生 环境
卫生：好 环境：好 服务：好 设施：齐全,卫生 环境 设施
刚住的还可以，住了怎么长时间，越住越差劲,差劲
环境：很好!空间很大卫生：干净,环境 空间 很大 卫生 干净
住过很多次了 房间很好 服务也很好,房间
非常方便，房间也舒适，和旁边的五星级一样,房间 舒适
老顾客了，房间干净整洁，交通也十分便利,房间 干净 整洁 交通 便利
环境不错，卫生干净，设施都比较齐全！,环境 不错 卫生 干净 设施
干净卫生，房间也挺大的，下次还来,干净 卫生 房间 挺大
还可以就是卫生间的水流的有点慢 很难干,卫生间 水流
住很多次了，离学校很近。环境也很好,学校 环境
房间干净卫生，设施很新，环境很好,房间 干净 卫生 设施 环境
性价比挺高的，来读书住还不错,性价比 读书 不错
房子是新的，户型有点小，总体一般,房子 户型 总体
非常喜欢 开心的住宿体验,喜欢 开心 住宿 体验
房间很干净整洁，设备也很齐全,房间 干净 整洁
大气上档次 真的不错 价格合理,大气 不错 价格合理
这个民宿很好，我的家人很满意。,民宿 家人 满意
房间挺好的，卫生也很好。,房间 卫生
环境非常的好，特别满意,环境 满意
居住体验挺好的，老板热情,居住 体验 老板 热情
浴室无干湿分离，其他的都挺好,浴室 干湿 分离
房间干净，服务态度较好。,房间 干净 服务态度
性价比高，挺卫生，挺宽敞,性价比 卫生 宽敞
很好很好，太高性价比了,很好
前台小姐姐超级有耐心滴！,前台 耐心
服务非常好，性价比高。,性价比
周边环境好，空间大，干净,空间 干净
设施很好，服务也很好,设施
住了很多次了，满意,满意
环境及卫生都很不错,环境 卫生 不错
很不错 环境很好,不错 环境
整体环境好，安静！,整体 环境
环境很好非常满意,环境 满意
环境和服务都非常棒,环境
环境很好，特别安静,环境
设备很新，环境很好,环境
挺好的卫生,卫生
位置环境都很好,位置 环境
高性价比的选择,选择
住好几次了不错,不错
新的民宿，还不错,民宿 不错
五星好评服务好,好评
服务好 卫生好,卫生
很满意的一次入住,满意 入住
可以的，推荐入住,推荐 入住
性价比挺高的,性价比
很喜欢 很安静,喜欢
喜欢 很舒服,喜欢 舒服
不错，值得信赖,不错 值得 信赖
很干净 很舒服,干净 舒服
很好房间大,房间
居住体验好,居住 体验
很不错,不错
环境非常好,环境
非常满意！,满意
房间干净整洁,房间 干净 整洁
不错的，干净,不错 干净
性价比高。,性价比
总体满意的,总体 满意
房间特别好,房间
别太美了别太美了我说！再这么美真生气了！房间里有抽湿机和电热毯，暖和暖和！早上去露台看日出，晚上去露台看江对面的灯光秀，看完还能去一楼酒吧喝酒 各种酒都很全，还能送到房间，简直就是行政酒廊。都给我订！我看谁不订！！！！ 设施：抽湿机，电热毯，电视（有会员），浴缸，空调，化妆镜。情侣闺蜜出游必选,生气 房间 电热毯 暖和 暖和 露台 日出 露台 对面 灯光 看完 一楼 酒吧 喝酒 送到 房间 行政 酒廊 不订 设施 电热毯 电视 会员 浴缸 空调 化妆镜 情侣 闺蜜 必选
今年第二次来长沙挑三拣四选了这家民宿给明智有眼光的自己点无数个 干净卫生达标 位置方便达标 橘子洲头一个地铁站 购物饮食也是很方便的 前台小姐姐推荐的嗦粉点更是爱了爱了 已经跟准备开的小伙伴无限安利期待下次再见,民宿 眼光 干净 卫生 达标 位置 达标 地铁站 购物 饮食 前台 推荐 小伙伴 无限 期待 再见
老板服务非常热情，这种楼下又有咖啡厅又有酒吧的民宿真的住着太舒服了~跨年的时候还放了,老板 热情 咖啡厅 酒吧 民宿 舒服
服务挺好，免费停车，前台小姐姐长得很漂亮，估计是几个合伙人。一楼是个不错的酒吧和咖啡厅，适合约会。房间硬件一般，相对价位来说性价比一般，如果便宜几百应该就很不错了。,停车 前台 很漂亮 估计 合伙人 一楼 不错 酒吧 咖啡厅 适合 约会 房间 硬件 价位 性价比 便宜 不错
非常棒的民宿，没有照骗。 有前后小院，顶楼是公共区域很适合聚会。 就是酒店外面马路在施工有点吵，等路改造结束应该就没啥缺点了吧,民宿 照骗 小院 顶楼 区域 适合 聚会 酒店 马路 改造 结束 缺点
服务态度很好，出行方便，服务员小姐姐帮忙领行李到楼上，环境好，有天台可看江景，下次来还住这里，非常棒,服务态度 出行 服务员 帮忙 行李 环境 天台 江景
房间干净整洁 体验感很好,房间 干净 整洁 体验
远离城区的喧嚣，白天和晚上是两幅不同的风景,远离 城区 喧嚣 风景
