评论内容,fenci
房间设施很好，离地铁也比较近。确实可以看到湘江。地区也比较安静，推荐。,房间 设施 地铁 确实 地区 推荐
房间很舒服，干净整洁，下次来长沙还住你们家酒店！,房间 舒服 干净 整洁 酒店
总体满意   美中不足沙发有点脏  床品不是很好,总体 满意 床品
满意，物美价廉，房间宽敞，卫生棒棒，马路对面就是冬瓜山,满意 房间 宽敞 卫生 棒棒 马路 对面 冬瓜
位置好，天宝兄弟就在楼下，可以在酒店等位,位置 兄弟 酒店 等位
这里环境是真的好 房间也很干净 强烈推荐,环境 房间 干净
住宿体验很好！,住宿 体验
还可以这样子,样子
环境很好。,环境
性价比很高,性价比
酒店服务极差，入住手续繁琐，走廊还是装修状态，走廊上铺着编织袋施工垫，房间里没有空调，最令人厌恶的是打客服电话不接，微信通话不接，所有服务都只能通过微信联系，回复速度极慢，态度蛮横。作为初次入住的客人，问房间怎么开门，客服回答是你说怎么开门呢？因为出差的分公司就在旁边，考虑就近入住，我们先后四位同事入住过这间酒店，都和客服发生过口头争执。可见主要是客服自身的问题。你们酒店内部的管理问题最好不要拿客人出气。我以后不会再住这间酒店。祝你们早日倒闭。,酒店 极差 入住 手续 繁琐 走廊 装修 状态 走廊 编织袋 房间 空调 客服 电话 通话 只能 回复 速度 态度 蛮横 入住 客人 房间 开门 客服 回答 开门 出差 分公司 入住 同事 入住 酒店 客服 发生 口头 争执 客服 酒店 客人 出气 酒店 倒闭
离地铁挺远的，900多米，如果旅程时间比较充裕的推荐住这里看了外卖平台，火的店都不送来这边卫生：不错，检查了一圈起码比如家干净设施：第一次用全屋智能，挺新奇的，有什么事就喊小度，灯开关说明书写着可手动，按了没反应，还是要喊小度，晚上太热喊小度调空调温度，全房都被吵醒环境：淋浴间一出来就是床，里面也没挂钩，衣服只能放玄关还是很推荐住这里的，老板态度也好，房间也舒服，晚上很安静,地铁 挺远 旅程 时间 充裕 推荐 外卖 平台 送来 卫生 不错 起码 干净 设施 全屋 智能 小度 开关 书写 手动 小度 小度 空调 温度 全房 吵醒 环境 淋浴间 挂钩 衣服 只能 推荐 老板 态度 房间 舒服
宝藏民宿，就在中南大学附近，离阳光地铁站也很方便。停车也方便！预定的时候被图片吸引了，价格也合适。入住后孩子很喜欢，有超大的投影，还有小度同学的智能遥控，还有舒服的河景。最重要的是老板人很好，服务很周到！体验感很好，妥妥的五星好评！,民宿 地铁站 停车 预定 图片 吸引 价格 合适 入住 孩子 喜欢 超大 投影 小度 同学 智能 舒服 河景 老板 周到 体验 妥妥 好评
老板和老板娘人很好哦 房间配色和布置很干净温馨，视野开阔，周围安静，对睡眠质量不太好的人非常友好 老板的狗狗来福也很可爱！,老板 老板娘 房间 配色 布置 干净 视野 开阔 睡眠 质量 不太好 友好 老板 狗狗 可爱
不错，环境很好值得入住，来长沙很推荐，不吵，人员流动又不杂，真的很推荐,不错 环境 值得 入住 推荐 人员 不杂 推荐
新装修，环境非常棒，整个房间设施小度小度就可以，大冬天有个智能马桶自动加热别提有多惬意！老板人也非常，有啥需要一讲就有，不过房间隔音没有那么好，应该是因为木门的缘故，有阳光的时候湖景非常不错哦,环境 房间 设施 小度 小度 智能 马桶 加热 惬意 老板 房间 隔音 木门 缘故 湖景 不错
民宿很有特色，搭建在水面上，最喜欢的就是打开窗帘就是一整片绿色水面映入眼帘，房间内的设计也很有特色，老板非常热情，住宿非常满意。,民宿 特色 搭建 水面 喜欢 打开 窗帘 绿色 水面 房间内 特色 老板 热情 住宿 满意
非常舒适，临水而居。屋内各种智能设施，小朋友非常喜欢。都不愿出门去景点玩，只愿待在房间里玩。,舒适 智能 设施 小朋友 喜欢 出门 景点 愿待 房间
设施：全智能，使用方便 卫生：非常干净 环境：邻水大床，无敌美景 服务：老板热情,设施 全智能 卫生 干净 环境 邻水 大床 无敌 美景 老板 热情
环境非常舒适，老板人超级好，下次还会来的～,环境 舒适 老板
环境很好，老板人也热情,环境 老板 热情
老板非常热情好客,老板
值得来住一晚的地方，体验很好,值得 来住 地方 体验
我和闺蜜的假期，这家店真的给到我们满满的惊喜，我们定了一间房想着来个小姐妹的聚会，店家看我们闺蜜喜欢拍照，私汤漂浮盘，茶水点心水果一应俱全，统统给安排上了，好开心，特别惊喜的服务，老板的用心我们感受到了，感谢，还会再来的！,闺蜜 惊喜 想着 姐妹 聚会 店家 闺蜜 喜欢 拍照 私汤 漂浮 茶水 点心 水果 统统 安排 惊喜 老板 用心 感受 感谢 再来
我是带着我们家小朋友一块儿去的，这家民宿后面有一个好大的草坪，民宿的店长还给了我们家小朋友一个筐子，带着我们家小朋友到露营平地去摘松果，下午的时候我们还一起做了棉花糖，小朋友吃糖吃的很开心，我觉得这家店服务做的蛮不错！下次再来长沙，这家民宿应该是我的不二选择,小朋友 民宿 草坪 民宿 店长 还给 小朋友 筐子 小朋友 露营 平地 松果 棉花 小朋友 吃糖 开心 不错 民宿 选择
经常刷到她们家，图片和实景没什么区别，环境很美，绿叶成荫，私密性很好，符合我们这种只想安安静静的找个环境好的民宿放松放松，管家服务也是非常细致细心，热情的介绍周边景点，餐厅，以及丰富的下午茶,刷到 图片 实景 区别 环境 绿叶成荫 私密性 符合 环境 民宿 放松 放松 管家 细致 细心 热情 介绍 景点 餐厅 下午茶
民宿内部设施和外部条件，不管软件还是硬件绝对是让我最满意的一次民宿体验了，特别喜欢他家老板亲自做的地道长沙米粉的味道，我一个人吃了两碗，休闲的度假体验也让人流连忘返，下次有机会还会选这家。,民宿 设施 条件 软件 硬件 满意 民宿 体验 喜欢 老板 地道 味道 休闲 度假 体验 机会
很温暖的一家民宿，像回家一样，干净整洁，泳池边上拍照太好出片了，下午草坪的夕阳美景拍照也太好看了吧，阿姨的早餐也是非常的美味。当天店长还给我们送了意面，太惊喜了。院子里的秋千小朋友就玩得不亦乐乎。下次还来！,温暖 民宿 回家 干净 整洁 泳池 拍照 出片 草坪 美景 拍照 好看 早餐 店长 还给 意面 惊喜 院子 小朋友
错峰出游，民宿地理位置很好，很安静，环境很不错，简直享受这难得的慢下来的时光，服务人员都很热情，态度点赞，阿姨做的早餐很好吃，随手拍了几张，一天就这样坐在房间很安逸，舒服～,错峰 民宿 地理位置 环境 不错 享受 时光 人员 热情 态度 早餐 好吃 坐在 房间 舒服
本次居住体验感觉很好，真的有远离城市的感觉，院子很精致，每个地方拍照都很出片，小孩子可以坐坐秋千，房间比我预想的要大，设施很齐全，房间内挺干净的。因为是临时决定出行，出门前其实没怎么做功课，店里的小姐姐和阿姨都很热心，会贴心的告诉我们附近的景区并给到定位方便游玩，阿姨做的早餐也很好吃，份量也足，如果还有机会来玩的话大概率还会选择这家店,居住 体验 感觉 远离 感觉 院子 精致 地方 拍照 小孩子 坐坐 房间 预想 要大 设施 房间内 干净 出行 功课 店里 热心 贴心 告诉 景区 给到 定位 游玩 早餐 好吃 份量 机会 概率 选择
公司团建来过上次没住，觉得她们家太美了，赶紧就带上朋友来了，民宿服务亲切，大厅很多零食随便吃，房间还配备下午茶，早餐味道好，停车免费，位置方便，拍照好看,公司 团建 没住 带上 朋友 民宿 亲切 大厅 零食 房间 配备 下午茶 早餐 味道 停车 位置 拍照 好看
房间很大，设施很好，空调给力，这几天的长沙感觉很冷，在民宿静静地呆一整天8太舒服了，民宿的早餐特别值得推荐，很美味，很惊喜，只是当时没有拍照！,房间 很大 设施 空调 感觉 民宿 舒服 民宿 早餐 值得 推荐 惊喜 拍照
这家店我是真的很爱，环境优美，靠山的独栋，绿树成荫，呼吸着满满的负离子。设施齐全，服务周到，进店就安排上了咖啡，零食，水果，管家式服务有问必答，有求必应，虽然靠山，但是卫生也是妥妥的，很干净，这次住宿我很满意！,环境优美 靠山 呼吸 负离子 设施 进店 安排 咖啡 零食 水果 管家 靠山 卫生 妥妥 干净 住宿 满意
简直是我住过的一家宝藏酒店，民宿界的天花板了！酒店位置：离城市中心不远的独栋山景，周边都是很好吃的特色餐馆，出行方便，打车随叫随到，对自驾的朋友更是特别友好，因为酒店有自己的独立停车场。酒店卫生：本人是个细节控，这家店没得挑，每个区域都整理得干干净净，卫生无死角。酒店服务：这点我要特别表扬，服务可以说是万里挑一，从入住后，管家和店里的店长就是各种主动咨询我的需求，各种送好吃的点心水果，很贴心很暖心。真是超级棒的入住体验！我会推荐给我身边的朋友们！,酒店 民宿 天花板 酒店 位置 中心 山景 好吃 特色 餐馆 出行 打车 自驾 朋友 友好 酒店 独立 停车场 酒店 卫生 细节 没得 区域 整理 卫生 死角 酒店 表扬 入住 管家 店里 店长 需求 好吃 点心 水果 贴心 入住 体验 我会 推荐 朋友
短途假期找到了心灵栖息之地，放松修心。山林之间万事皆美！民宿的服务更是让人感觉到非常的舒心与贴心，更像是跟家人相处一般。人生美好，快乐的时光总是过得非常快，推荐敬野舍，下次我还会回来的！,找到 心灵 栖息 放松 修心 万事 民宿 感觉 舒心 贴心 像是 家人 人生 美好 快乐 时光 推荐 回来
民宿位于岳麓山附近，周边有很多家湘菜馆，民宿的氛围感很好，晚上的夜景非常好看，服务也非常到位，早餐非常美味，强烈推荐,民宿 位于 湘菜馆 民宿 氛围 夜景 好看 到位 早餐
很不错的民宿，服务也非常细致，因为太舒服，结果两天全摆烂在民宿，安静的环境，清新的空气，每天人都很轻松，可惜快乐的时光总是短暂的……,不错 民宿 细致 舒服 摆烂 民宿 环境 清新 空气 轻松 可惜 快乐 时光 短暂
非常不错的一次民宿入住体验，服务有求必应，入住送下午茶，还会发长沙攻略，为我们省去不少事，房间温馨，床铺舒适，卫生也是极棒滴,不错 民宿 入住 体验 入住 下午茶 攻略 省去 房间 床铺 舒适 卫生
临时安排预定了一晚，意外发现这家山景私汤民宿，可谓是一步一景，看装修和布置足以体会到老板的用心打理，很喜欢，住得很舒服！,安排 预定 意外 发现 山景 私汤 民宿 可谓 一景 装修 布置 足以 体会 老板 用心 打理 喜欢 舒服
这家设计风格个人很喜欢，夜景很有氛围感，非常出片。有户外露营区域，泳池私汤，睡觉前泡个温汤，别提有多惬意，爱了爱了～,风格 喜欢 夜景 氛围 出片 露营 区域 泳池 私汤 睡觉 惬意
三面环山，与城市中截然有寂静与热闹的不同感受，安心～民宿设计感很强，忙中偷闲，舒服，推荐！,环山 寂静 热闹 感受 安心 民宿 偷闲 舒服 推荐
服务好，环境好，非常好 很满意下次会带朋友来哟,环境 满意 会带 朋友
很有艺术感很安静舒服的一家民宿，非常适合情侣~,艺术 舒服 民宿 情侣
干净卫生，老板娘服务热情。室内有泡池，室外温泉跑起来很舒服，孩子们很开心,干净 卫生 老板娘 热情 泡池 舒服 孩子 开心
住的很舒服 小姐姐人特别好 很热心！,舒服 热心
老板很贴心哦,老板 贴心
这是一家让你有意外惊喜的民宿，刚开始是被它的环境吸引，一楼是偏三亚感觉，二楼又是别样的野外山林，总是给你一种想不到的感觉，体验了她们服务后会觉得物超所值，房间舒适，卫生干净，设施齐全，服务完美，有社恐的人来了不用担心，老板，店长和管家每一位都热情似火。来长沙出游伙伴强烈推荐住她们家,意外 惊喜 民宿 环境 吸引 一楼 感觉 二楼 感觉 体验 房间 舒适 卫生 干净 设施 完美 社恐 不用 担心 老板 店长 管家 热情 伙伴
民宿靠山位于岳麓山附近，周边还有农家自种小菜，感觉回到了家乡。民宿的氛围感超好的，老板肯定是个会生活的人，服务也是非常，管家小姐姐很健谈，和她聊天还蛮开心，晚上我们要喝红酒，还特别贴心的放了一束花在房间，第二天退房的时候还送了定制款香薰。谢谢你们的热情。,民宿 靠山 位于 农家 小菜 感觉 回到 家乡 民宿 氛围 老板 肯定 管家 健谈 开心 红酒 贴心 一束花 房间 退房 定制 热情
影院泡池房牛奶泡泡浴、玫瑰花:很舒服 还有管够的烧烤项目很 老板娘很热情,影院 泡池 牛奶 泡泡浴 玫瑰花 舒服 管够 烧烤 项目 老板娘 热情
环境卫生整治，服务态度很好，个人非常喜欢,环境卫生 整治 服务态度 喜欢
价格偏高，一个概念吧，室外设施好，室内设施还要提升,价格 概念 设施 设施 提升
环境舒适，慢生活的优选民俗，店长也很好,环境 舒适 优选 民俗 店长
很不错 环境 服务 卫生,不错 环境 卫生
环境布置的不错,环境 布置 不错
挺好的，不错,不错
挺不值的.,不值
环境不错哦,环境 不错
非常喜欢的民宿，干净安静，装修风格也很喜欢，店里的管家和小琴店长以及小姐姐们都很可爱，早上和晚上都给我们煮了好吃的粉，还有下午茶咖啡，晚上还一起烤火聊天到十一点多，服务非常贴心和走心。,喜欢 民宿 干净 装修 风格 喜欢 店里 管家 店长 可爱 好吃 下午茶 咖啡 烤火 贴心 走心
非常好，店家主动给升级了子月房型，人也非常热情。屋子装修很有氛围感，投影也很爱。周围晚上很安静，就是巷子需要找一下。 最满意的是床品，真的特别舒服，进门也有家的感觉。下次回长沙还会再来的，非常喜欢,店家 房型 热情 屋子 装修 氛围 投影 巷子 满意 床品 舒服 进门 感觉 再来 喜欢
闹中取静的地方，从巷子里走进去有眼前一亮的感觉。房东会提前加微信告知注意事项，都是密码锁。内部装饰很好，诧寂风，如果有朋友一起去，推荐荷月，带一个四人的小茶室，很舒服。,地方 巷子 走进 感觉 房东 提前 告知 注意事项 密码锁 装饰 诧寂 朋友 推荐 茶室 舒服
蒲舍点评： 1.有洗衣机的民宿真心不错，而且管家阿姨非常贴心，居然还帮忙晾衣服。 2.民宿带有私家天台，要拍雪景简直不能太棒。 3.位置很方便，去各个景点均很近。,点评 洗衣机 民宿 不错 管家 贴心 帮忙 晾衣服 民宿 带有 私家 天台 雪景 太棒 位置 景点
非常不错，离笨萝卜很近，一定要去。住的很干净,不错 萝卜 干净
比较特别的居住体验，干净卫生床舒服，虽然下车要走一小段，但是位置好到哪里都方便～ 优点：酒店的质感和环境都很特别！非常有设计感，比肉眼比图片好看！在紧邻的居民区，在一个古色古香的小巷子里面，有种隐于市的感觉，适合我这种追求不一样的居住体验的游客 缺点：不适合要求高度安静的人，我和我朋友平时都是睡的很踏实的那种，对噪音算是可以接受。1. 住的几天遇上隔壁危房改造，装修声非常刺耳，老板和客服及时进行了协调延迟钻墙时间到9点，但估计近期难免受装修噪音的影响；2. 隔壁是小学，周一八点多会有升旗仪式，周二到周五九点多会有眼保健操课间活动，声音在关窗后还是不能完全隔绝 再就是有的设计有改进空间，比如浴室没有做到很好的干湿分离，洗完澡地上湿漉漉的，加个浴帘可能都好一点,居住 体验 干净 卫生 舒服 下车 位置 优点 酒店 质感 环境 肉眼 图片 好看 紧邻 居民区 古色古香 隐于 感觉 适合 追求 居住 体验 游客 缺点 适合 高度 朋友 踏实 噪音 算是 接受 遇上 危房改造 装修 刺耳 老板 客服 协调 延迟 钻墙 时间 估计 装修 噪音 小学 眼保健操 课间 声音 关窗 隔绝 改进 空间 浴室 很好 干湿 分离 洗完 浴帘
以后会再来的,再来
离黄兴广场很近很近，吃喝非常方便。 坐地铁也很方便。 房间很有艺术感，该有的都有。 唯一的缺点就是空调不能调大小… 整体感觉非常好，很值得！好评,广场 吃喝 房间 艺术 缺点 空调 整体 感觉 值得 好评
设施：齐全 卫生：干净 环境：优雅 服务：到位,设施 卫生 干净 环境 优雅 到位
交通便利，环境优雅，曲径通幽，就是难订,交通 便利 环境 优雅 难订
还不错啦，服务很耐心,不错 耐心
来长沙出差路过这里偶然看到很漂亮的一个民宿，虽然凌晨才入住但是服务员小哥的服务还是特别好，一进门就帮着拿行李，还提醒免费早餐时间，而且早上醒来看着房间采光真的非常不错，因为工作原因不能在这久留，准备下次带着老婆孩子来这玩玩,出差 路过 很漂亮 民宿 入住 服务员 小哥 进门 行李 提醒 早餐时间 醒来 看着 房间 采光 不错 原因 久留 老婆 孩子 玩玩
前段时间在网上看到了这家店，感觉非常好看，就带着女朋友过来抱着试试的态度订了间房，结果真的物超所值，房间真的非常大，卫生间的泡池也挺大，我和女朋友两个人进去都还挺宽松，尤其是这个露台，这把白色毛毛椅子是我女朋友的最爱，而且房间就在泳池上面夏天肯定更好玩，女朋友也准备到时候夏天再来一次,前段时间 感觉 好看 女朋友 态度 间房 房间 卫生间 泡池 女朋友 宽松 露台 白色 椅子 女朋友 最爱 房间 泳池 肯定 好玩 女朋友
早就在网上刷到过这家民宿了，环境真的非常好，服务员也都很热情，因为在来的路上打滴滴女朋友不小心刮到了一下手，和服务员提前说了一下这个事，到店后服务员也非常贴心的送上了碘伏，房间也挺好的，投影幕也很大观看效果挺好的，冰箱里准备了免费的酒水饮料，晚上还送了个小吃拼盘服务真的没得说！而且这个泳池真的超大，等夏天一定要再带女朋友再来一次！,刷到 民宿 环境 服务员 热情 滴滴 女朋友 小心 服务员 提前 服务员 贴心 送上 房间 挺好 投影幕 很大 观看 效果 冰箱 酒水 饮料 小吃 拼盘 泳池 超大 女朋友
出差来长沙 找到了一家非常高端的民宿，设计感十足，我点了杯咖啡坐在院子里看看风景，那感觉贼爽！还能在这里玩游戏机，一下子就感觉回到了小时候，房间也非常棒 有投影还有浴缸，早上还有管家在服务群里提醒吃早餐 ，可惜这次走的急，下次再来一定要叫上朋友来露营搞一下烧烤。,出差 找到 高端 民宿 咖啡 坐在 院子 风景 感觉 游戏机 感觉 回到 小时候 房间 投影 浴缸 管家 群里 提醒 早餐 可惜 朋友 露营 烧烤
先说下整体感受，挺失望的。过年带了两只狗子从河北回深圳途径长沙住了一晚，看到小红书有很多博主推荐且宣称宠物友好，挑来挑去选了这家。当天因为堵车凌晨2点多才到，还在路上的时候管家给打了电话并拉了一个微信群，里面有厨房负责人、饮品咖啡负责人（没任何*用）他随后晚上8点半给我发了一条微信，说没有早餐，只能叫外卖，不接受可以退订单。都已经这么晚了，这会儿给我说这个，我还带着两只狗临时怎么换地方，这是第一点服务差，没有任何服务意识。第二，酒店设施差，外面营地看起来还，房间内都是样子货，一点不实用，几瓶饮品放了个很大的冰箱，整个空间特别小，（700多的这个房间，连快捷酒店都不如），没有挂衣服的地方，最后衣服只能放在冰箱上。地板一走一个脚印，卫生间干湿不分离，洗完澡卫生间里全是水，走出来脚印更多。第三，去的晚停车停在垃圾堆，只有几个停车位；第四，当天停好车都已经3点了，给管家交了500人民币押金（我给的现金）第二天退房他退给我600，我看都没看，我们离开后他微信问我有没有给多，我才拿出来看到微信转回给他，只想说做事太粗心了。最后，我们走的时候也没提早餐的事儿，提着行李箱，带着两只狗都开不了门，最后还是一个快递小哥路过给开的门,整体 感受 失望 狗子 途径 博主 推荐 宣称 宠物 友好 挑来 挑去 堵车 管家 电话 厨房 负责人 饮品 咖啡 负责人 给我发 早餐 只能 叫外卖 接受 订单 地方 意识 酒店设施 营地 房间内 样子 实用 饮品 很大 冰箱 空间 房间 快捷酒店 衣服 地方 衣服 只能 放在 冰箱 地板 一个脚印 卫生间 干湿 分离 洗完 卫生间 全是 脚印 停车 垃圾堆 停车位 管家 人民币 押金 现金 退房 没看 离开 有没有 转回 做事 粗心 早餐 事儿 行李箱 快递 小哥 路过 给开
1.首先位置离五一广场20多分钟，民宿旁就是是停车场，很方便。 2.一对一的专属管家服务很贴心，送了点心和欢迎水果。有什么问题都可以问管家。民宿有很多适合拍照的地方，晚上泳池也超好看的，还可以围炉煮茶。 3.房间很大，零时需要布置老板也帮我们马上解决了。相当愉快的情人节…,位置 民宿 停车场 专属 管家 贴心 点心 水果 管家 民宿 适合 拍照 地方 泳池 好看 围炉 煮茶 房间 很大 布置 老板 解决 愉快 情人节
带女朋友出去玩 找了一家非常出片的民宿 还能吃西餐 非常适合情侣来 ，还去五一广场逛了一天 吃了日料 ，又是幸福的一天,女朋友 出去玩 出片 民宿 西餐 情侣 日料 幸福
酒店设施非常新，有户外烧烤营地，夏天还有户外泳池，非常适合小孩子玩耍。店家态度非常好，春节由于自己行程有变，只住了一晚，店家非常配合，只收了少部分费用，真的很感谢店家的理解,酒店设施 烧烤 营地 泳池 小孩子 玩耍 店家 态度 行程 有变 店家 配合 费用 感谢 店家 理解
名宿真的太不错了！而且宠物友好！超级友好！房间超级大然后暖气也很足！房间虽然是白色的，但是打扫的干干净净，住起来超级舒适！早餐也很不错！这次来的很匆忙，下次要再来一次！,名宿 不错 宠物 友好 友好 房间 暖气 很足 房间 白色 打扫 舒适 早餐 不错
上午订了房，中午就来这了，打卡围炉煮茶和小吃，周围环境绿化挺好的，晒晒太阳，拍拍照，超级好,打卡 围炉 煮茶 小吃 绿化 晒太阳 拍拍
晚餐意面和小吃拼盘挺好吃的，这里泳池真的超大，非常棒,晚餐 意面 小吃 拼盘 挺好吃 泳池 超大
房间挺好的，挺大一间，服务也挺好的，户外公区很大，在山边，放松的一天,房间 挺好 公区 很大 放松
我感觉是长沙民宿天花板了，对货对版，老板人也很好,感觉 民宿 天花板 对货 对版 老板
民宿大厅挺安静的，装修风格也挺不错，值得来体验,民宿 大厅 装修 风格 值得 体验
晒晒太阳，慵懒的一天又过去了，很棒的体验,晒太阳 慵懒 很棒 体验
果然是蒂芙尼蓝泳池！真的超大,泳池 超大
老板人挺热情。服务也周到,老板 热情 周到
泳池很大，房间也超级大，房间里的池子也非常大，除了大就是大，服务无敌好，早餐的面非常好吃,泳池 很大 房间 房间 池子 无敌 早餐 好吃
环境很赞，美食绝绝子，服务态度也很到位。,环境 美食 服务态度 到位
惬意的一天结束了，下次见,惬意 结束
服务很棒,很棒
环境不错，设施很齐全，像个小公寓。离地铁站不算远，性价比比较高。 没有明确的门店标识，找起来有点困难，需要联系店家问路。 卫生间卫生需要再注意一下，其他的不错。,环境 不错 设施 公寓 地铁站 不算 性价比 门店 标识 困难 店家 问路 卫生间 卫生 不错
酒店是去年新开业的，房间比较多。 在中一九骏小区对面，出行比较方便。 离金星路地铁口大概1公里。楼下有美宜家。,酒店 房间 小区 对面 出行 地铁口
交通很方便 房间很大 还有沙发和小桌子 但是没有椅子,交通 房间 很大 椅子
这个酒店太好啦，是我住过来最好的酒店，设施先进、价格优惠、环境优美，值得一赞！,酒店 酒店 设施 先进 价格 环境优美 值得
环境挺不错的，小姐姐也很耐心讲解入住流程,环境 耐心 讲解 入住 流程
环境很好，晚上睡觉也很安静，价格公道，前台小姐姐服务态度很好,环境 睡觉 价格公道 前台 服务态度
酒店的位置很好找，一下的士就到了，是很新的公寓酒店，给我们的感觉就是很正规，有前台接待处。服务员服务很好，热情，一直跟我们嘱咐说有问题直接给反馈给管家，进入房间，干净整洁，明亮开阔。配备的卫浴设施是很足的。对面就是长沙梅溪湖金茂了，下次有机会还来~,酒店 位置 好找 的士 公寓 酒店 感觉 正规 前台 服务员 热情 嘱咐 反馈 管家 房间 干净 整洁 明亮 开阔 配备 设施 很足 对面 机会
房间有冰箱洗衣机，如果长住也是可以的的哈哈哈，毛巾很干净，地板上也很干净，管家小姐姐服务很好  ，还主动给我推荐了长沙哪里好玩，周边就有地铁2号线，很方便，出门不远就是地铁站金星路，出行也巨方便，房间的采光性也很好，窗户很大，很通透。,房间 冰箱 洗衣机 长住 干净 地板 干净 管家 推荐 好玩 地铁 号线 出门 地铁站 出行 房间 采光 窗户 很大
首先说最大的优点，少见的安静的民宿，这点很赞，床也睡的舒服，该有的都有，但是可能是才开业的缘故，住的并不舒服，存在的问题有，投影仪遥控板没电池，空调遥控板没有，吹风机没有，不过以上问题跟客服讲后都解决了，但真的心累，弄很久要。还存在的是厕所排水口是堵的，已亲自动手解决，没有干湿分离等，不过相信下一个住的应该体验不错，因为我给你解决了大部分,优点 少见 民宿 舒服 开业 缘故 舒服 投影仪 电池 空调 吹风机 客服 解决 心累 厕所 排水口 亲自动手 解决 干湿 分离 体验 不错 解决
环境特别好，干净利落，投影空调都很好用，看了会奥特曼，窗外风景也好。 客服姐姐真的特别好，联系一直秒回，还会再来的。,环境 干净利落 投影 空调 好用 风景 客服 姐姐 再来
卫生干净，前台服务人员态度好，环境好，有湖边公园可散步，青山绿水十分惬意，房间还有大幕布电视投影，感觉非常好！,卫生 干净 前台 人员 态度 环境 公园 散步 惬意 房间 幕布 电视 投影 感觉
公寓非常整洁，无异味，比一般酒店要好很多，晚上睡觉很安静不会被打扰可以好好休息，公寓管家的服务非常周到、亲切，性价比很高。,公寓 整洁 异味 酒店 睡觉 打扰 休息 公寓 管家 周到 亲切 性价比
民宿有冰箱 投影 居住条件便利 卧室里有窗台 方便观景 附近还有公园 环境优美 楼下有保安 管家小姐姐很热心服务也很好,民宿 冰箱 投影 居住 条件 便利 卧室 窗台 观景 公园 环境优美 管家 热心
不错 干净卫生 还有冰箱 附近就有车站 就是附近没什么吃东西的地方 但是点外卖还是很好的,不错 干净 卫生 冰箱 车站 地方 外卖 很好
很不错，一开始看这么便宜还有点担心，安全系数很高，安静，有个大屏幕,不错 便宜 担心
房间宽敞，非常干净，服务热情周到。有机会来长沙，还要选择这个酒店。,房间 宽敞 干净 机会 选择 酒店
环境没的说，是真的不错，有一点简约风，房间整体是比较亮堂的。还有一个大窗。,环境 不错 房间 整体 亮堂 大窗
新开业的民宿，房间设施都挺新的，就是有点难找。前台小姐姐人很好，服务很到位。,民宿 房间 设施 前台 到位
真的很好，特别新，装修也好，那个投影也太棒了！！！音质画面都特别好！推荐！,装修 投影 音质 画面 推荐
环境优美，位置不错哦，靠着岳麓山，来附近旅游，住在这里，可以看山看湖，管家服务态度不错哦，热情引导我们入住，需要什么会马上安排。推荐来旅游的朋友可以来体验一下哦，价格实惠,环境优美 位置 不错 管家 服务态度 不错 热情 引导 入住 安排 推荐 朋友 体验 价格
环境以及隔音效果都不错，卫生也很干净，值得一住,环境 隔音 效果 不错 卫生 干净 值得
室内设施齐全 干净整洁 环境不错 服务态度超好,设施 干净 整洁 环境 不错 服务态度 超好
房间卫生味道太差，其次灰尘太重。,房间 卫生 味道 灰尘 太重
还行，就是进出电梯有点不方便,进出 电梯
交通便利 环境优美 不二之选,交通 便利 环境优美
干净舒适，房间面积也大。,干净 舒适 房间 面积
不错哦，就是枕头有点高,不错 枕头
房间很干净整洁 服务很好,房间 干净 整洁
地理位置很好 很不错,地理位置 不错
住了一晚还不错 很干净,不错 干净
除了有点偏 很完美,完美
感觉挺好的，房间很干净,感觉 房间 干净
多人入住超值性价比,入住 超值 性价比
非常好 老板也好,老板
挺好的，感觉不错,感觉 不错
很好噢蛮舒服的,舒服
很卫生很安静,卫生
环境好服务好,环境
很好 很干净,干净
干净 很新！,干净
房间还不错,房间 不错
性价比很高,性价比
公寓式酒店,公寓式 酒店
在小红书上看到的，然后在携程上预订的，我的房间426元，我们就是周末江西南昌到长沙，就住了一个晚上，管家特别好，帮助我把箱子扛到了四楼，然后帮我调电视（宝宝要看动画片）入住愉快，孩子也特别喜欢管家，去橘子洲头很方便，去海信广场去龙虾也很方便。很值得的一次旅行。酒店很不错，值得入库，还有酒吧  楼上还有画展。,携程 预订 房间 管家 箱子 电视 动画片 入住 愉快 孩子 喜欢 管家 广场 值得 酒店 不错 值得 入库 酒吧 画展
这次去长沙，为爱冲锋。找了家民宿想着住一宿就好，结果万万没想到，找到了这家宝藏民宿。在门口的时候说了句好像和照片不太一样，结果进到房间之后，诚不欺我，就是照片那样的房间，这你受得了吗！老板和前台的美女小姐姐人很好，交谈好亲切！点了外卖本来想自己下去拿结果他们送上来了！客房服务很好，很贴心。房间设计清新脱俗，窗外的风景很不错，是他们的小花园，搭着大大的落地窗，满眼都是映入帘眼的心旷神。怡他们一楼还是个酒咖，环境很好，也跳的鸡尾酒一口入魂。下次来长沙还住这里！（希望下次已经在长沙定居）,冲锋 民宿 想着 找到 民宿 好像 照片 房间 照片 房间 老板 前台 美女 交谈 亲切 外卖 送上来 客房 贴心 房间 清新 脱俗 风景 不错 花园 落地窗 映入 帘眼 一楼 环境 鸡尾酒 希望 定居
